x_um,y_um,dx_from_center_um,dy_from_center_um,r_um,theta_rad,cell_area_um2,inside_node,I2_nM,S2_free_nM,Th2_nM,S2_I2_nM,S2_Th2_nM,S2_total_nM
2657.1286304053106,2466.0806316028306,7.12863040531056,-33.919368397169364,34.660365317151665,-1.363647057184074,1.8831100708821396,True,66.63522777915561,2.9999078052468,36.400103547982056,33.30615997915422,363.9849014162146,400.2909692006156
2672.482662232534,2478.205990708558,22.48266223253404,-21.794009291441853,31.312121327972434,-0.7698460138083346,2.1602952110324622,True,69.35170830044522,2.6464789213267017,40.77188390403079,30.57680164858777,359.66692021194723,392.8902007818617
2665.432111069888,2505.842217537502,15.432111069887924,5.842217537502165,16.500956270133415,0.36190157224948266,6.145119419754792,True,71.05257342547416,2.438593484022524,43.87633208241498,28.863077913270427,356.6479224518644,387.9495938491574
2651.7883692873347,2496.9781544209322,1.7883692873347172,-3.021845579067758,3.511383689033917,-1.0364179893377354,2.09536967567783,True,70.00532978514613,2.5650113515716257,41.93919604581683,29.91339680500461,358.57510958822945,391.0535177448057
2657.8628828864607,2467.9943115360306,7.8628828864607385,-32.00568846396936,32.95738189448395,-1.329895753592623,2.138930473292021,True,67.11082912494456,2.935928477554325,37.12093135430502,32.827918209043695,363.27618661916745,399.04003330576546
2649.4323906890186,2531.1833416747672,-0.5676093109814246,31.183341674767235,31.188507151436212,1.5889966416204335,2.295940556165988,True,66.29870361325402,3.0455979620255484,35.90346614158476,33.642947886500664,364.4869160027814,401.1754618513076
2615.1281257959977,2501.672913355311,-34.871874204002324,1.6729133553108113,34.91197859752638,3.093656263514537,2.026854881384679,True,60.53712386346842,3.908573953896438,28.536103504280273,39.4290049818433,371.7817907336095,415.1193696693492
2672.2394444328634,2473.7402098894636,22.239444432863365,-26.259790110536414,34.411763473147424,-0.868104102560192,2.201653176477521,True,68.56761127465766,2.7456973339344506,39.44114505694619,31.365630143699917,360.97237369384646,395.0837011714808
2651.715946204485,2503.8504095785356,1.7159462044851352,3.8504095785356185,4.215462643550027,1.1515633251798292,2.252975593143674,True,69.98085842131388,2.5680185027960447,41.89510090600359,29.938038695314415,358.618058338423,391.12411553653345
2648.3670979534927,2494.002096340383,-1.6329020465072972,-5.997903659616895,6.216206029688323,-1.8365998655370197,2.247118727158295,True,69.39274901154137,2.640837893725142,40.85603179134891,30.52912653608756,359.64092028883374,392.81088471864643
2621.7898777992764,2519.5749695728687,-28.210122200723617,19.574969572868667,34.33643004679569,2.534973210782165,2.4158094666545367,True,61.70187000144839,3.7211378544883904,29.867159417221867,38.259624639021965,370.4626664799332,412.4434289734436
2647.905607806319,2468.7976999628204,-2.09439219368096,-31.20230003717961,31.272511991701762,-1.6378187975844645,3.0452796391109587,True,66.1382565811732,3.0675942678773556,35.66875891209224,33.80409359785163,364.71950042158795,401.5911882873169
2622.1072489928742,2514.389744622858,-27.892751007125753,14.389744622857961,31.385829749372316,2.665309662592125,3.06630911211505,True,62.32588416749903,3.623539212844259,30.611175001794983,37.63242720295603,369.7324173235581,410.98838373935837
2650.540188127549,2468.116808909272,0.5401881275488449,-31.883191090727905,31.88776689172536,-1.5538552230375582,3.0204606695442635,True,66.38670971667638,3.033593664290174,36.03274223971058,33.55474361085341,364.3574681266706,400.9458054018142
2618.294530962669,2495.0098949939215,-31.705469037331113,-4.9901050060784655,32.095761633724344,-2.9854838518912183,3.204781648581047,True,61.58361158623699,3.7397979751480896,29.729554541642273,38.377842685944366,370.60505952473824,412.7227001858307
2672.2547199280616,2492.351124399222,22.254719928061604,-7.648875600777956,23.532485143576285,-0.33104848091982003,6.7705489646887145,True,70.93897069267761,2.4523030342937315,43.65528091719922,28.979292251091533,356.8461492349042,388.27774452028945
2668.8690933987687,2525.4388562087856,18.869093398768655,25.438856208785637,31.67298676952848,0.9326006789550247,2.74053863987956,True,68.78995906764872,2.7172636140451902,39.814245795122694,31.14109672680938,360.61343629154186,394.47179663239643
2681.0052883450367,2501.8987429271083,31.00528834503666,1.8987429271082874,31.06337280563896,0.061162942356183005,3.1356938894859923,True,70.51388545868055,2.5036192135864024,42.85217675236071,29.409330453839633,357.6116200604202,389.52456972784626
2615.604999703572,2502.59038050838,-34.39500029642795,2.5903805083798943,34.492406650877136,3.066421857337642,1.3827258989795155,True,60.66993227873401,3.8868331867463937,28.684434152709887,39.29561574083808,371.63555871708354,414.818007644668
2637.768560585564,2469.7271749164966,-12.231439414435954,-30.27282508350345,32.650452503532215,-1.954780806954004,2.417729995073387,True,64.45704440911224,3.3046874328368174,33.32057460434158,35.49281883313081,367.04276763837794,405.84027390434557
2649.3596479634584,2469.2236886202036,-0.6403520365415716,-30.776311379796425,30.78297245031561,-1.5915999782217143,3.867940654998165,True,66.45611513041574,3.024106037346525,36.13596725114531,33.48467129101637,364.2584317971874,400.7672091255503
