Time (hours),I2 (nM),S2_free (nM),S2_total (nM)
0.0,99.99645304935105,0.012076591038701191,0.2991850558888928
0.016666666666666666,99.98718631887019,0.031657098996679185,1.0675020049421826
0.03333333333333333,99.97183477528725,0.05287144870859587,2.3254945015258772
0.05,99.95080185075344,0.07309780010125788,4.033439745087071
0.06666666666666667,99.92466038708335,0.0917381361984186,6.139217969524931
0.08333333333333333,99.89392722490301,0.10894783171837082,8.595614374707756
0.1,99.85901027563027,0.1250653694763189,11.364152503170942
0.11666666666666667,99.8202128071036,0.14042168781565503,14.414570234620497
0.13333333333333333,99.77775141307934,0.15529346399934343,17.723286332474423
0.15,99.73177404437591,0.16990175436434568,21.271889760860226
0.16666666666666666,99.68237480467226,0.1844218363188304,25.045896614407642
0.18333333333333332,99.62956466562022,0.1989955225642234,29.036854739284838
0.2,99.57339558307422,0.21373578293864354,33.23279794026345
0.21666666666666667,99.51385778594727,0.22873622719642314,37.626060451438406
0.23333333333333334,99.45091916960915,0.24407572299125266,42.21017047027606
0.25,99.38452913148822,0.25982172053323876,46.97949692805978
0.26666666666666666,99.31462158601343,0.2760328205769386,51.92896528211881
0.2833333333333333,99.24111737731099,0.2927606508694974,57.05382508271054
0.3,99.1639262500313,0.3100512348749649,62.34945700062284
0.31666666666666665,99.08294849554056,0.3279459893603987,67.81121055189526
0.3333333333333333,98.99807635990643,0.34648244810680595,73.43426630859798
0.35,98.90919527809749,0.3656947809704119,79.21351822610423
0.36666666666666664,98.81618498299801,0.3856141577909885,85.14347305325022
0.38333333333333336,98.71892052638523,0.4062689927536044,91.21816476604575
0.4,98.61727324064371,0.42768509499008184,97.43108267796443
0.4166666666666667,98.51111166381236,0.44988574423104805,103.77511239939936
0.43333333333333335,98.40030244593761,0.4728917053492127,110.2424891935453
0.45,98.28471125119754,0.4967211920956955,116.82476353911997
0.4666666666666667,98.16420366753302,0.521389787831462,123.51277888531959
0.48333333333333334,98.03864613334115,0.5469103293266606,130.29666168766968
0.5,97.90790688896242,0.5732927585566334,137.16582385675133
0.5166666666666667,97.77185695909668,0.6005439467364586,144.10897774372833
0.5333333333333333,97.6303711707971,0.6286674945169523,151.1141637336942
