Time_hours,I2_norm_nM,I2_fast_nM,I2_diff_nM,I2_percent_diff,S2_free_norm_nM,S2_free_fast_nM,S2_free_diff_nM,S2_free_percent_diff,S2_total_norm_nM,S2_total_fast_nM,S2_total_diff_nM,S2_total_percent_diff
0.0,99.9861093847238,99.98611392112352,4.536399714538675e-06,4.537029935912038e-06,0.0471217249451551,0.0471266386358248,4.913690669704207e-06,0.010427654495719849,1.1691313202817688,1.1689758276340902,-0.00015549264767855675,-0.013299844506867024
0.0166666666666666,99.95721663926304,99.95722181534116,5.176078119006888e-06,5.1782935670236865e-06,0.0988979574297645,0.0989160285430295,1.807111326500299e-05,0.018272483815286844,3.542124027558737,3.542249753433248,0.00012572587451131767,0.003549448679186117
0.0333333333333333,99.91591697769351,99.91590582077136,-1.1156922155919347e-05,-1.1166311127795742e-05,0.1428599888851325,0.1428858008423015,2.581195716902518e-05,0.018068010063881115,6.878309535442762,6.880002755789607,0.001693220346845159,0.024616809379110986
0.05,99.86444921538292,99.86443057719298,-1.863818994252142e-05,-1.8663488447548993e-05,0.1799560255486322,0.1799622993428508,6.27379421860863e-06,0.0034862929426684687,10.978240837466226,10.980521746364566,0.002280908898340428,0.02077663381692454
0.0666666666666666,99.80426646156538,99.80424125449797,-2.5207067409382944e-05,-2.5256502856108045e-05,0.2127849737015782,0.2127931810513693,8.207349791095053e-06,0.003857109667248172,15.70698756136509,15.709795446788611,0.0028078854235218387,0.01787666420789988
0.0833333333333333,99.73620360104196,99.73617236216668,-3.12388752803372e-05,-3.1321500270149485e-05,0.2433561229908582,0.2433680619462523,1.1938955394086292e-05,0.004905960551703392,20.97848070889323,20.98175874716197,0.0032780382687391807,0.01562571815484021
0.1,99.66069997332404,99.66066308265182,-3.689067222012454e-05,-3.701626842877783e-05,0.272968016277773,0.2729841776153087,1.616133753568061e-05,0.005920597495654871,26.73655390352357,26.740250368597295,0.003696465073723232,0.01382551052413707
0.1166666666666666,99.57793915335088,99.57789684355464,-4.23097962425345e-05,-4.248912620834325e-05,0.3024697962186583,0.3024905078520494,2.0711633391068407e-05,0.006847504659968021,32.94338788439842,32.94745626767924,0.0040683832808241505,0.012349620188125479
0.1333333333333333,99.4879330694422,99.48788543786962,-4.7631572584805326e-05,-4.787673350451322e-05,0.33244198742145,0.3324675453934694,2.5557972019418784e-05,0.0076879494728257424,39.57245313631197,39.576850798018654,0.004397661706683209,0.01111293679857285
0.15,99.39057315241917,99.39052017296464,-5.297945452298336e-05,-5.3304305270216505e-05,0.3633034605766546,0.3633341647783889,3.070420173434396e-05,0.008451392586684592,46.60410111124276,46.60878767299732,0.004686561754560614,0.010056114468067767
