param_value,I2_center_final_nM_mean,I2_center_final_nM_std,S2_free_center_final_nM_mean,S2_free_center_final_nM_std,S2_total_center_final_nM_mean,S2_total_center_final_nM_std,half_time_center_hr_mean,half_time_center_hr_std,wall_time_s_mean,wall_time_s_std,n_cells_mean,n_cells_std
3e-05,11.381207276787746,,4.725451031515292,,490.8207991163149,,1.5740832159687206,,160.76929141703295,,11024.0,
4e-05,14.82723096709788,,4.631643703109572,,486.3794633470882,,1.562656047007954,,1112.5039430130273,,11024.0,
5e-05,18.137342905280043,,4.539432014916372,,482.044215562018,,1.5516062013475311,,1121.7199818771333,,11024.0,
6e-05,21.316631920466723,,4.448753713432053,,477.809102776146,,1.5409621541145202,,167.19895090698265,,11024.0,
7e-05,24.370130407666405,,4.359552060220437,,473.6681964256709,,1.5306629913410463,,1155.0366028733552,,11024.0,
7.5e-05,25.851257548424577,,4.315488688860284,,471.6312326469434,,1.5256696220878008,,169.41442414501216,,11024.0,
8e-05,27.30278299010558,,4.271775567053587,,469.61562427805546,,1.5207476049064428,,1153.2935099601746,,11024.0,
9e-05,30.119421652760625,,4.1853777287346015,,465.6455961752949,,1.5111870859231222,,170.59143393300474,,11024.0,
0.0001,32.82474653678081,,4.100316757164262,,461.7524244375618,,1.501953874168889,,1159.367347477004,,11024.0,
0.00011,35.423311513274115,,4.016555319904892,,457.9305398319517,,1.4930789518451837,,1160.078441137448,,11024.0,
0.00012,37.91951383088108,,3.934060285176704,,454.1745038372929,,1.484482738614803,,172.71296721202089,,11024.0,
