param_value,I2_final_mean,I2_final_std,S2_final_mean,S2_final_std,S2_total_final_mean,S2_total_final_std,half_time_mean,half_time_std,wall_time_mean,wall_time_std
100,0.0030778300562100173,,0.09454067200025577,,5.1801122610515336,,0.26666666666666666,,16028.725672960281,
200,0.004878472732835767,,0.05854281294263338,,5.133830860974567,,0.45,,31973.528762102127,
400,0.010567530676359072,,0.025417330344114128,,5.063681935349255,,0.9333333333333333,,34957.93558192253,
500,0.014925725919125419,,0.017124637269811588,,5.023361815608634,,1.2333333333333334,,36407.92567396164,
600,0.022329695208654264,,0.010456427521007559,,4.954748306343497,,1.65,,37734.33873820305,
700,0.036698865797268165,,0.005187018770747185,,4.803810485474633,,2.3333333333333335,,24226.389111042023,
800,0.06140964956679269,,0.0019141484996571037,,4.367966973197145,,3.2,,27317.91769695282,
900,0.08382210187231977,,0.0005889683196523599,,3.328212663434819,,3.4833333333333334,,27647.92444872856,
1000,0.09443937734185605,,0.00017882166480111099,,1.8637492384646517,,3.45,,28508.121601581573,
1100,0.0984843161683264,,4.6793053409043875e-05,,0.6677514432887204,,3.316666666666667,,29645.14416408539,
1200,0.09925139752867508,,2.2895286252461357e-05,,0.35044219513295444,,3.1,,28252.115932941437,
1400,0.09963079396901994,,1.1221703214510982e-05,,0.17827399919084844,,2.8333333333333335,,29581.112865924835,
1500,0.09981962737137183,,5.4650020279954924e-06,,0.0884587406614837,,2.683333333333333,,26066.36896586418,
