Time (hours),I_1 (nM),S_1_free (nM),S_1_total (nM),I_2 (nM),S_2_free (nM),S_2_total (nM),I_3 (nM),S_3_free (nM),S_3_total (nM)
0.0,100.0,,,99.99605784292365,0.013377580608063558,0.33245626343277307,99.99604262444198,0.013429226054401909,0.3337387806219646
0.016666666666666666,100.0,,,99.98588931872932,0.03474662969415886,1.1752886790477928,99.9858377862844,0.03487080360066891,1.1795693439834347
0.03333333333333333,100.0,,,99.96916203650923,0.05762567685151323,2.5451953304431933,99.96905518816186,0.05781659464479712,2.55396995298778
0.05,100.0,,,99.94636428608422,0.07925315271081983,4.394717494143277,99.94618815310159,0.07949493917233925,4.409036787905042
0.06666666666666667,100.0,,,99.9181404442431,0.0990721470297342,6.665229675823614,99.91788672499658,0.09934646767865361,6.685659203765244
0.08333333333333333,100.0,,,99.88505761795956,0.1173074678362553,9.304765313065836,99.8847237566593,0.11759536320424191,9.331389813195232
0.1,100.0,,,99.8475569716623,0.13435355041460087,12.27146228464886,99.84714634307036,0.13463506107964826,12.303883559350298
0.11666666666666667,100.0,,,99.80596324119584,0.15058015685572634,15.532602050574438,99.80548560751754,0.1508333769069528,15.569918915788403
0.13333333333333333,100.0,,,99.76050657813532,0.16629007204793558,19.062756614458355,99.75997881033369,0.1664902098127429,19.103528980121173
0.15,100.0,,,99.7113431396495,0.18172209648161425,22.84206615495551,99.71079015427078,0.18184068198108,22.884268392201612
0.16666666666666666,100.0,,,99.65857153815477,0.19706388204156752,26.85485774005288,99.65802740549877,0.19706810756004114,26.895826020131185
0.18333333333333332,100.0,,,99.60224533014964,0.2124643983706282,31.08858527072415,99.60175452492877,0.212316542375965,31.124962333474368
0.2,100.0,,,99.54238237670528,0.2280438092747646,35.53302293542688,99.54200115609817,0.22770069816835573,35.56070269623681
0.21666666666666667,100.0,,,99.47897188149469,0.24390080199654615,40.17964771624253,99.47876978496619,0.24331327781759948,40.19372144054901
0.23333333333333334,100.0,,,99.41197974051185,0.2601179046574122,45.02116048961622,99.41204121133273,0.25923027945634164,45.01586590143439
0.25,100.0,,,99.34135267037755,0.2767653215938728,50.0511087256871,99.34177880150467,0.2755148083913001,50.01978327129679
0.26666666666666666,100.0,,,99.26702145133966,0.29390370230407836,55.26358432046984,99.26793185917126,0.2922198186791122,55.198623792888604
0.2833333333333333,100.0,,,99.18890352586855,0.3115861466997116,60.65297779355314,99.19043835505363,0.30939009097781406,60.545801574378366
0.3,100.0,,,99.10690512620424,0.3298596611346588,66.21377557883407,99.10922718760328,0.32706366365341527,66.05479982844703
0.31666666666666665,100.0,,,99.02092305662414,0.34876621599011975,71.94039103470001,99.02422009895832,0.34527286957220554,71.71901123107209
0.3333333333333333,100.0,,,98.9308462226049,0.3683435109406289,77.82702257243704,98.93533333645033,0.36404508586661305,77.53160684367327
0.35,100.0,,,98.83655697518772,0.38862552299927583,83.86753428341333,98.84247912585504,0.3834032726814326,83.48542898657892
0.36666666666666664,100.0,,,98.73793232176315,0.40964289087306005,90.05535586992856,98.74556700529435,0.4033663552283284,89.57290482948633
0.38333333333333336,100.0,,,98.63484504213085,0.43142317409104936,96.3833997116094,98.6445050561627,0.42394948838292884,95.78597843859954
0.4,100.0,,,98.52716473966204,0.4539910147669073,102.84399363857423,98.5392010582549,0.445164232482911,102.1160597023542
0.4166666666666667,100.0,,,98.4147588507274,0.47736822234755266,109.42882850976345,98.42956358943445,0.4670186615278615,108.55398902550175
0.43333333333333335,100.0,,,98.29749363056713,0.501573796351921,116.12892006210572,98.31550308502378,0.4895174196974661,115.09001698902742
0.45,100.0,,,98.17523512999627,0.5266238982902368,122.93458474013599,98.1969328681358,0.5126617383535432,121.7137983594949
0.4666666666666667,100.0,,,98.04785017440351,0.5525317812489041,129.8354293622399,98.07377015906174,0.5364494230374518,128.41439992400728
0.48333333333333334,100.0,,,97.91520735416458,0.5793076837388186,136.82035454762362,97.94593706933202,0.5608748181168534,135.18032164707046
0.5,100.0,,,97.77717803365702,0.6069586931369092,143.8775718313517,97.81336158399664,0.5859287554652856,141.99953060951415
0.5166666666666667,100.0,,,97.63363738438736,0.6354885832651745,150.99463434412644,97.67597853389431,0.6115984927260432,148.859507110405
0.5333333333333333,100.0,,,97.48446544620617,0.6648976302529446,158.15848083766548,97.53373055809847,0.6378676462100662,155.74730220161547
0.55,100.0,,,97.3295482191028,0.6951824107484543,165.3554927031186,97.38656905526949,0.664716123224417,162.64960579105687
0.5666666666666667,100.0,,,97.16877878656268,0.7263355867345607,172.57156346587567,97.2344551212569,0.6921200585591741,169.5528243032835
0.5833333333333334,100.0,,,97.00205846988065,0.7583456816193187,179.79218005206363,97.0773604689474,0.7200517599211916,176.44316673333978
0.6,100.0,,,96.82929801110538,0.7911968528775638,187.002514916774,96.91526832502755,0.748479667245585,183.3067377789649
0.6166666666666667,100.0,,,96.65041878041556,0.8248686672766559,194.18752790861097,96.74817429701734,0.7773683309929512,190.12963659478564
0.6333333333333333,100.0,,,96.46535400167869,0.8593358855839714,201.33207652684663,96.57608720264273,0.8066784147073134,196.89805958666057
0.65,100.0,,,96.27404998772205,0.8945682645741585,208.42103301402537,96.39902985237349,0.8363667272204537,203.59840556111735
0.6666666666666666,100.0,,,96.07646737447268,0.9305303850684087,215.43940652629996,96.21703977478855,0.8663862898966741,210.21738146945847
0.6833333333333333,100.0,,,95.87258234063866,0.967181515572101,222.3724684443616,96.0301698733921,0.8966864441725431,216.74210694345246
