Time_s,Time_hours,C_center_nM,C_edge_nM,C_far_nM
0.0,0.0,138.51753493989034,41.556424547169556,0.009526960366165951
60.0,0.016666666666666666,1225.39930065683,689.3571570119931,90.04463384256356
120.0,0.03333333333333333,1248.9634935051283,711.557084417841,105.69941736812535
180.0,0.05,1250.8445102127555,713.4050909231607,107.37967242887623
240.0,0.06666666666666667,1250.9970689249635,713.5568267348762,107.52716941235757
300.0,0.08333333333333333,1250.9970689249635,713.5568267348762,107.52716941235757
360.0,0.1,1250.9970689249635,713.5568267348762,107.52716941235757
420.0,0.11666666666666667,1250.9970689249635,713.5568267348762,107.52716941235757
480.0,0.13333333333333333,1250.9970689249635,713.5568267348762,107.52716941235757
540.0,0.15,1250.9970689249635,713.5568267348762,107.52716941235757
600.0,0.16666666666666666,1250.9970689249635,713.5568267348762,107.52716941235757
