dt_s,dx_um,nx,ny,n_cells,n_steps,final_time_hr,final_I2_uM,final_S2_free_uM,final_S2_total_uM,runtime_s,converged
1.0,40,250,25,6250,22300,6.194444444444445,0.08017765291917389,0.0008309281085407123,3.6703763555737687,44550.987068891525,True
2.0,40,250,25,6250,14400,8.0,0.07878068955862676,0.0008608124199343655,3.7192311280139623,32013.437627077103,False
5.0,40,250,25,6250,5760,8.0,0.07782717892139253,0.0008778161139451765,3.7462247298796747,11251.067606687546,False
10.0,40,250,25,6250,2880,8.0,0.07747457898272803,0.0008828044852628697,3.7547101922485835,6483.493672847748,False
20.0,40,250,25,6250,1440,8.0,0.07733461035159275,0.0008838939131108449,3.7588471098678946,3822.516180038452,False
30.0,40,250,25,6250,960,8.0,0.07740144205100732,0.0008836328985884616,3.7569942471165816,1911.762523174286,False
