param_value,I2_center_final_nM_mean,I2_center_final_nM_std,S2_free_center_final_nM_mean,S2_free_center_final_nM_std,S2_total_center_final_nM_mean,S2_total_center_final_nM_std,half_time_center_hr_mean,half_time_center_hr_std,wall_time_s_mean,wall_time_s_std,n_cells_mean,n_cells_std
0.05,58.80014133331415,,4.2042402244158685,,418.7624873456242,,1.0535979325619553,,159.19797704555094,,10728.0,
0.1,42.21061625919637,,4.107300349368421,,434.6690804928568,,0.9263545024993407,,159.4410499036312,,10728.0,
0.15,33.03374169504587,,4.054471543334997,,443.4627974537202,,0.8492516640849579,,159.44455143250525,,10728.0,
0.2,27.16913624848321,,4.021012783079302,,449.0805548195485,,0.7947728122430489,,160.30929584987462,,10728.0,
0.25,23.08656964257281,,3.99786122169488,,452.9903717068604,,0.7528686410225977,,160.6713429968804,,10728.0,
0.3,20.07693592952169,,3.9808681863700777,,455.8721789854111,,0.7189496616724012,,160.34132503531873,,10728.0,
0.35,17.764714128616504,,3.9678557353091817,,458.0859207389135,,0.690542265763488,,160.92399801127613,,10728.0,
0.4,15.931867432480669,,3.9575675625319024,,459.8405352852229,,0.6661564059746874,,162.15891903452575,,10728.0,
0.45,14.44291137848294,,3.949227005015581,,461.26582754000185,,0.6448624871998873,,161.69796653836966,,10728.0,
0.5,13.209137052596768,,3.942327626480784,,462.4467742396018,,0.6260009356643139,,163.31412096507847,,10728.0,
