param_value,t_down_hr,t_up_hr,midpoint_nM,I2_at_t0_nM,I2_at_shutoff_nM,I2_min_nM,on_converged,off_converged
0.0,1.206658846426118,,50.0,100.0,1.0734655747453521e-18,7.461032075901164e-19,True,True
6.122448979591837e-07,1.206221271060879,,50.0911617171691,100.0,0.1823234343381957,0.1823234343381957,True,False
1.2244897959183673e-06,1.2057840735854235,,50.182157410764376,100.0,0.364314821528751,0.364314821528751,True,False
1.836734693877551e-06,1.205347255329988,,50.272987313987386,100.0,0.5459746279747677,0.5459746279747677,True,False
2.4489795918367347e-06,1.2049108176290302,,50.363651660780086,100.0,0.7273033215601649,0.7273033215601649,True,False
3.0612244897959185e-06,1.2044747617979157,,50.45415068574149,100.0,0.9083013714829724,0.9083013714829724,True,False
3.673469387755102e-06,1.2040390891348285,,50.544484623740104,100.0,1.088969247480213,1.088969247480213,True,False
4.2857142857142855e-06,1.2036037997412734,67.84716593706804,50.63465371046637,100.0,1.2693074209327384,1.2693074209327384,True,False
4.897959183673469e-06,1.2031688970693952,62.22940670511418,50.72465818216353,100.0,1.449316364327058,1.449316364327058,True,False
5.510204081632653e-06,1.202734381296922,57.026319684639724,50.81449827597406,100.0,1.628996551948125,1.628996551948125,True,False
6.122448979591837e-06,1.2023002526145636,53.53018220093241,50.90417422844391,100.0,1.8083484568878136,1.8083484568878136,True,False
6.73469387755102e-06,1.2018665142837037,50.66941317949247,50.993686277731314,100.0,1.9873725554626316,1.9873725554626316,True,False
7.346938775510204e-06,1.2014331653201313,48.285179342305675,51.08303466242387,100.0,2.1660693248477463,2.1660693248477463,True,False
7.959183673469388e-06,1.2010002091762721,46.26751880338511,51.17221962117147,100.0,2.3444392423429403,2.3444392423429403,True,False
8.571428571428571e-06,1.2005676459202743,44.537887747162706,51.26124139344519,100.0,2.522482786890373,2.522482786890373,True,False
9.183673469387756e-06,1.2001354767060255,43.038684964633944,51.35010021912966,100.0,2.700200438259312,2.700200438259312,True,False
9.795918367346939e-06,1.1997081430907381,41.72671073667468,51.438796338564515,100.0,2.8775926771290274,2.8775926771290274,True,False
1.0408163265306122e-05,1.1992832396195352,40.568928529224294,51.52732999271173,100.0,3.054659985423451,3.054659985423451,True,False
1.1020408163265306e-05,1.1988587415009548,39.53964558505328,51.615701422751094,100.0,3.2314028455021884,3.2314028455021884,True,False
1.1632653061224491e-05,1.1984346485946693,37.7852403839955,51.703910871449274,100.0,3.407821742898552,3.407821742898552,True,False
1.2244897959183674e-05,1.1980109619622257,36.95615391823448,51.79195857913168,100.0,3.583917158263364,3.583917158263364,True,False
1.2857142857142856e-05,1.1975876813309103,36.20591289911878,51.879844789410306,100.0,3.75968957882061,3.75968957882061,True,False
1.346938775510204e-05,1.1971648102435848,35.52376915378944,51.9675697453748,100.0,3.935139490749607,3.935139490749607,True,False
1.4081632653061225e-05,1.1967423484692576,34.90084124348806,52.05513369056285,100.0,4.110267381125697,4.110267381125697,True,False
1.4693877551020408e-05,1.1963202956639318,34.32973291454368,52.142536868843735,100.0,4.285073737687474,4.285073737687474,True,False
1.530612244897959e-05,1.195898655381559,33.804225176107735,52.22977952456901,100.0,4.459559049138019,4.459559049138019,True,False
1.5918367346938776e-05,1.1954774273311526,33.31905821344934,52.31686190245781,100.0,4.633723804915624,4.633723804915624,True,False
1.653061224489796e-05,1.195056611108334,32.86975275709524,52.40378424761478,100.0,4.807568495229559,4.807568495229559,True,False
1.7142857142857142e-05,1.1946362102676336,32.45246696502706,52.49054680552047,100.0,4.981093611040934,4.981093611040934,True,False
1.7755102040816327e-05,1.1942162231120659,32.06389060240938,52.57714982190883,100.0,5.154299643817661,5.154299643817661,True,False
