time_hours,I2_center_nM,S2_free_center_nM,S2_total_center_nM,I2_avg_nM,S2_free_avg_nM,S2_total_avg_nM
0.0,100.0,0.0,0.0,100.00000000000001,0.0,0.0
0.016666666666666666,100.00000000000001,2.8804571009987707e-09,2.8804571009987707e-09,100.00000000000001,3.1783943538187506e-06,3.1783943538187506e-06
0.03333333333333333,99.99999999827176,2.085343412547144e-08,8.714088413555603e-07,99.99999809296357,2.2943405280095183e-05,0.0009614751761621348
0.05,99.99999998579024,8.159535068050588e-08,7.0748150994677115e-06,99.99998436064932,8.95415767310542e-05,0.007786313406906182
0.06666666666666667,99.9999998490387,2.2977953353465025e-07,7.49479324743829e-05,99.99983463879825,0.00025157908458901514,0.08209615718678168
0.08333333333333333,99.99999954028358,5.230881936680813e-07,0.00022836878371034757,99.99949729899123,0.0005715379877583087,0.24970488763327672
0.1,99.99999893905755,1.02486132586657e-06,0.0005274186761810246,99.99884164557228,0.0011177015953503094,0.5757364333423876
0.11666666666666667,99.99999789098798,1.7964257785356655e-06,0.0010491750295647186,99.9977006853187,0.001955791788673017,1.1433866304162463
0.13333333333333333,99.99999621320603,2.891216440890233e-06,0.0018850275926628724,99.99587722239836,0.003142583322459349,2.0507485270752945
0.15,99.99999370160681,4.3514846168511655e-06,0.003137056372662864,99.99315197446116,0.004722321045538157,3.4065246561603573
0.16666666666666666,99.999990138513,6.2073891637910346e-06,0.004914197347388388,99.98929215719237,0.006725699792372728,5.325399184818273
0.18333333333333332,99.99998529970965,8.477809851752207e-06,0.007328715800725293,99.98405943418773,0.00917068917896345,7.923633549522267
0.2,99.99997896026235,1.1172162135645713e-05,0.010493284597889434,99.9772166035354,0.012064430068704326,11.315223033221448
0.21666666666666667,99.99997089888981,1.4292629052274295e-05,0.014518784906035635,99.96853277168715,0.015405579624610016,15.608767862189538
0.23333333333333334,99.99996090090131,1.7836414801246313e-05,0.019512825418218565,99.95778701991645,0.01918668406860739,20.90508585282171
0.25,99.99994875984775,2.1797792493042417e-05,0.02557890662362201,99.9447707146122,0.02339633621973821,27.295517833893854
0.26666666666666666,99.99993427809686,2.6169841632021965e-05,0.03281612534650845,99.92928867945766,0.028021004580547845,34.860838654672946
0.2833333333333333,99.99991726655455,3.094585014207573e-05,0.04131930813487377,99.91115946347459,0.03304650404848587,43.67067270256303
0.3,99.99989754374056,3.61204009985407e-05,0.05117946955874394,99.89021492571958,0.03845912600449349,53.783313580956644
0.31666666666666665,99.99987477312912,4.1739099314665556e-05,0.06259111286255055,99.8661903784908,0.04428417508469854,65.31284810626079
0.3333333333333333,99.99984888579549,4.771638340842672e-05,0.07556397793886249,99.83900656264542,0.05044496799121431,78.24755164903982
0.35,99.99981970240817,5.4091846741889e-05,0.09018783161631867,99.80852075632109,0.0569625362263851,92.61620793714982
0.36666666666666664,99.99978704211836,6.0873019769043205e-05,0.10655315498984529,99.77459740099144,0.06383201639884009,108.43817961568995
0.38333333333333336,99.99975072113574,6.807021414000284e-05,0.1247518927939419,99.73710696488021,0.07105078223777606,125.72389763038652
0.4,99.99971055052295,7.569758296912144e-05,0.14487855896928428,99.69592445345623,0.07861888001942312,144.47554140886228
0.4166666666666667,99.99966633393154,8.377328153879817e-05,0.1670313702103876,99.6509279540822,0.08653903403607038,164.68774384991366
0.43333333333333335,99.99961786531537,9.231957324583025e-05,0.19131339062431954,99.6019972612386,0.09481657866015859,186.34829371434955
0.45,99.99956492662697,0.00010136292686231808,0.2178336847861977,99.54901260377686,0.10345935536825553,209.43882058224995
0.4666666666666667,99.99950728549292,0.00011093412005127138,0.24670848093979503,99.49185348672745,0.11247758890286977,233.93545280130695
0.48333333333333334,99.99944469286032,0.00012106835781441898,0.27806234859907253,99.43039765517067,0.12188375041697316,259.80944230517343
0.5,99.99937688060223,0.00013180541145976535,0.3120293963578853,99.36452018461604,0.13169241220063052,287.0277527000218
0.5166666666666667,99.99930355906912,0.00014318978163328137,0.34875449663980385,99.29409270053506,0.14192009644713077,315.55360888694116
0.5333333333333333,99.99922441457136,0.00015527088748811525,0.388394544597838,99.21898272874724,0.15258511901583718,345.34700786344104
0.55,99.9991391067784,0.00016810328298388577,0.43111975852714435,99.13905317797834,0.16370742811550568,376.3651913387199
0.5666666666666667,99.99904726601996,0.00018174690051689737,0.4771150290728504,99.05416195585958,0.17530843716845126,408.56308148849905
0.5833333333333334,99.99894849047497,0.0001962673215128844,0.5265813242689769,98.96416171972966,0.18741085075761565,441.89368163219484
0.6,99.99884234323513,0.00021173607322129133,0.579737157087524,98.86889976368458,0.20003848245733752,476.30844389031483
0.6166666666666667,99.99872834923015,0.00022823095070325505,0.6368201217535131,98.76821804326664,0.21321606346683392,511.75760601465936
0.6333333333333333,99.99860599200332,0.0002458363628845286,0.6980885046299923,98.66195333889162,0.22696904127138567,548.190499611108
0.65,99.99847471032625,0.00026464370153736336,0.7638229750303728,98.54993755850954,0.2413233680200507,585.5558319207877
0.6666666666666666,99.99833389464315,0.0002847517321546798,0.8343283609048552,98.43199817902308,0.25630527889979066,623.801943211572
0.6833333333333333,99.99818288333493,0.0003062670058798689,0.9099355140018635,98.3079588246292,0.271941061469361,662.8770416757617
0.7,99.99802095879438,0.00032930429195013143,0.9910032688506183,98.17763997850444,0.2882568176529748,702.7294175463467
0.7166666666666667,99.99784734330379,0.00035398703049050075,1.077920499770223,98.0408598221615,0.30527822083808587,743.3076379463969
0.7333333333333333,99.99766119470637,0.0003804478059449722,1.171108280102077,97.89743519442744,0.3230302712240536,784.5607237852411
0.75,99.99746160186255,0.00040882884192967926,1.2710221479977482,97.7471826594319,0.3415370531765859,826.4383098213508
0.7666666666666667,99.99724757988143,0.0004392825188137799,1.3781544833771269,97.58991967036624,0.36082149880560366,868.8907888340333
0.7833333333333333,99.99701806511699,0.00047197191584443947,1.4930370010956124,97.42546581322831,0.38090516225587184,911.8694406916336
0.8,99.99677190991754,0.0005070713800977887,1.6162433659078232,97.253644112448,0.4018080092453166,955.3265469786709
0.8166666666666667,99.99650787711519,0.0005447671249226977,1.7483919354622919,97.07428237835339,0.42354822618532123,999.2154917519938
0.8333333333333334,99.99622463424113,0.0005852578608168255,1.890148638271372,96.88721457501862,0.4461420527690913,1043.4908489382801
0.85,99.99592074745034,0.0006287554618107699,2.04222999433108,96.69228218624177,0.4696036412379047,1088.1084568612698
0.8666666666666667,99.99559467513859,0.0006754856704223188,2.205406286771608,96.48933555731081,0.49394494466995054,1133.0254803940456
0.8833333333333333,99.9952447612326,0.0007256888440787147,2.38050489355611,96.27823519085017,0.5191756356395112,1178.2004612644414
0.9,99.99486922813328,0.0007796207456036779,2.5684137887730953,96.05885297638281,0.5453030555342244,1223.5933570935913
0.9166666666666666,99.99446616929113,0.0008375533799542197,2.7700852234548097,95.83107333522209,0.5723321937693282,1269.1655698110815
0.9333333333333333,99.99403354139221,0.0008997758789065817,2.98653959608005,95.59479426481644,0.600265695171581,1314.879964157189
0.95,99.99356915613278,0.0009665954348749943,3.2188695229777466,95.34992826956825,0.6291038929846582,1360.7008770456125
0.9666666666666667,99.99307067156063,0.0010383382845471458,3.468244118743595,95.09640316827746,0.6588448643187712,1406.5941186123566
0.9833333333333333,99.99253558296175,0.001115350742580002,3.735913496535054,94.83416277156043,0.6894845044578289,1452.5269658129735
1.0,99.99196121327095,0.0011980002852580043,4.02321349774973,94.56316742571084,0.7210166162559718,1498.4681494478168
1.0166666666666666,99.99134470298607,0.0012866766838011722,4.331570660156036,94.28339442236906,0.7534330108897421,1544.3878354919786
1.0333333333333334,99.99068299956562,0.0013817931869436221,4.662507433075777,93.99483827594527,0.7867236164563867,1590.2576015835214
1.05,99.98997284629102,0.0014837877524917647,5.017647647759369,93.69751087292596,0.8208765912843687,1636.0504094823161
1.0666666666666667,99.98921109104027,0.0015977835579743201,5.398986349041298,93.3914688427806,0.8569835704124146,1681.63242009606
1.0833333333333333,99.98839366228736,0.00171556545354721,5.808159060960584,93.07670487144165,0.8929321940669843,1727.089682277704
1.1,99.98751668518571,0.0018416053206725565,6.247100771228448,92.75329808287034,0.929662982922231,1772.3972768809067
1.1166666666666667,99.98657596947632,0.001976577762786367,6.717900419616389,92.4213312310344,0.9671890303551514,1817.5328515122762
1.1333333333333333,99.98556705006912,0.0021210780521785846,7.222782960901835,92.0809012795314,1.0054959866801725,1862.4756454170995
