value_one,value_two,replicate_id,I2_center_final_nM,S2_free_center_final_nM,S2_total_center_final_nM,I2_edge_final_nM,S2_free_edge_final_nM,S2_total_edge_final_nM,half_time_center_hr,half_time_edge_hr,n_samples,wall_time_s,n_cells
0.0,0.0,0,3.9857783579238666e-05,13.941193060271145,513.9411532024877,6.648745336701872e-06,15.15193588619016,515.1519292374447,1.067812193350336,0.8509937877566157,481,117.58759780973196,10728
0.0,3.333333333333333e-05,0,0.0001689506535912,11.643860775861,511.6436918252074,2.8435393088104786e-05,12.842553547155632,512.8425251117625,1.0826793916604123,0.859895714334232,481,117.2903444673866,10728
0.0,6.666666666666666e-05,0,0.0004879303058373,10.215415872830658,510.214927942523,8.287565301567835e-05,11.403662248786494,511.4035793731336,1.097716275899663,0.8688071321438458,481,116.98558318428695,10728
0.0,9.999999999999999e-05,0,0.0011034642565114,9.256314510977347,509.2552110467211,0.0001891474968184,10.43516143463589,510.4349722871393,1.11289692478917,0.877795508537017,481,115.04901067353785,10728
0.0,0.0001333333333333333,0,0.0021200387119633,8.565804094219418,508.5636840555071,0.0003667045029551,9.735987445040529,509.7356207405378,1.1282128672035747,0.8868055748688439,481,114.1220708694309,10728
0.0,0.00016666666666666666,0,0.0036359371189177,8.038613175185475,508.03497723806646,0.0006345324244147,9.200684046233205,509.2000495138098,1.1436552638998758,0.895865072649183,481,114.18008954636753,10728
0.0,0.00019999999999999998,0,0.0057432734063437,7.616870447467253,507.6111271740608,0.0010110841298557,8.771263196749008,508.7702521126187,1.1592149968421372,0.9049611136953857,481,115.13344324752688,10728
0.0,0.00023333333333333328,0,0.0085288165250919,7.267125503914729,507.2585966873895,0.0015143603288859,8.414196331921758,508.4126819715937,1.1748827285309789,0.9140767426482078,481,114.0186912715435,10728
0.0,0.0002666666666666666,0,0.012074601617354,6.969032355530953,506.9569577539135,0.0021619643058121,8.109082339066816,508.106920374761,1.190648985194224,0.9232459301988231,481,114.15368699096143,10728
0.0,0.0003,0,0.0164582513808924,6.709587813319476,506.6931295619373,0.0029711135420955,7.842877374721906,507.83990626118,1.206504222965582,0.9324033002400691,481,113.0169348679483,10728
1e-05,1e-05,0,1.806768103584163,11.125687867685636,508.959328595447,1.6820362006761584,11.925044428214123,509.9075473354142,1.3604535949738612,1.1256183700718583,481,133.02578055672348,11012
1e-05,5e-05,0,2.2287871334599827,8.897797178325403,506.21972026129305,2.046117491850819,9.679731257756377,507.2206152831198,1.39036434132297,1.144800575675064,481,133.0115171186626,11012
3.333333333333333e-05,0.0,0,4.795686662971089,13.490967227011106,507.7084596578253,4.3809932318569045,14.783873540973318,509.5023097919103,1.0792778495549444,0.852853445687166,481,152.65936133638024,10728
3.333333333333333e-05,3.333333333333333e-05,0,5.662626141657372,11.231060252288929,504.384127380324,5.101893125978488,12.511482119498774,506.3462725074679,1.0881324724734573,0.8567458443052148,481,152.9579655174166,10728
3.333333333333333e-05,6.666666666666666e-05,0,6.389672646225452,9.826697458160956,502.0843916519393,5.692620356712598,11.0963418388844,504.20546430721447,1.0980110320071261,0.8614957680289492,481,152.0123001150787,10728
3.333333333333333e-05,9.999999999999999e-05,0,7.001640454417095,8.884183698586947,500.3871598714795,6.180536028004466,10.14417540148404,502.6534275025012,1.108815180683839,0.8669281881407782,481,149.5411887075752,10728
3.333333333333333e-05,0.0001333333333333333,0,7.526816210825274,8.20584885463007,499.0606486708814,6.592816162982578,9.456974706435862,501.4591509530077,1.1202875543563195,0.8729389556439561,481,150.1661133300513,10728
3.333333333333333e-05,0.00016666666666666666,0,7.98831205196545,7.68809950126865,497.9729431080928,6.950458771646015,8.930942236707446,500.4930667770544,1.132286050497918,0.8792947618998106,481,150.85198471695185,10728
3.333333333333333e-05,0.00019999999999999998,0,8.402971927915386,7.274011772364771,497.0463678441697,7.268282830482936,8.509025395376119,499.6798786466483,1.144723051775577,0.8859277549578123,481,145.3833582084626,10728
3.333333333333333e-05,0.00023333333333333328,0,8.782586384923222,6.9306928669385615,496.23349332355326,7.556444919114854,8.158246133556176,498.9741063817696,1.1574535640219215,0.8927867250986821,481,138.81297170743346,10728
3.333333333333333e-05,0.0002666666666666666,0,9.135360326652563,6.638139904566109,495.50421407033696,7.8219092523523805,7.858542280606822,498.3471281737669,1.1704138475919166,0.8997560858031339,481,135.42694733291864,10728
3.333333333333333e-05,0.0003,0,9.467068504056538,6.383570594276548,494.8386527078864,8.069525819739265,7.597088376445986,497.78016898633336,1.1835567867275092,0.9069033739000737,481,133.3259383365512,10728
5e-05,1e-05,0,8.795595544650075,10.609102994570652,499.9350232674676,8.139259229415533,11.506593944638764,501.6350303353545,1.3807426607033106,1.129944898281528,481,154.7349285054952,11012
5e-05,5e-05,0,10.72817359673556,8.426566584387295,495.3375570799005,9.792448686715682,9.305652104074351,497.37442449303614,1.3978295966842844,1.1377055643592153,481,144.81822433508933,11012
6.666666666666666e-05,0.0,0,9.43112513820618,13.051527028409357,501.5855742958708,8.583555859490751,14.42462415129308,503.9993781626956,1.091121702636924,0.8545992511985769,481,184.25084316544235,10728
6.666666666666666e-05,3.333333333333333e-05,0,11.070731325592948,10.829591397791129,497.3101567167764,9.937794476528762,12.189431521034134,500.0748796316017,1.0937465708586427,0.8534724198416945,481,173.39037693664432,10728
6.666666666666666e-05,6.666666666666666e-05,0,12.430039393187624,9.449853711530578,494.2168569221417,11.03518620195752,10.79830525123564,497.308202705813,1.0984712559053378,0.8541676188862094,481,164.9571018125862,10728
6.666666666666666e-05,9.999999999999999e-05,0,13.562763549448976,8.524415431634939,491.857221843082,11.933086202687,9.862727181246242,495.24373011351776,1.1049888340568241,0.856287176008288,481,158.11913243494928,10728
6.666666666666666e-05,0.0001333333333333333,0,14.526258230684569,7.85868471928418,489.9674757361545,12.685733600208843,9.187728792972228,493.6203433020996,1.1128109647127629,0.8594355373446703,481,158.04886787198484,10728
6.666666666666666e-05,0.00016666666666666666,0,15.366190828642292,7.350754622119655,488.3893157836832,13.33411559761902,8.67117069633525,492.28512814174695,1.1216154282962045,0.8633074398858461,481,153.9216238297522,10728
6.666666666666666e-05,0.00019999999999999998,0,16.115355311504814,6.944658510326956,487.025880499768,13.906779606649486,8.256939146700015,491.14638890466506,1.1311177889660893,0.86770353543235,481,156.83110388927162,10728
6.666666666666666e-05,0.00023333333333333328,0,16.796487842264547,6.60806949880438,485.81639181865376,14.423124288698617,7.91261047750005,490.1474812306167,1.1411832496975371,0.872516531110413,481,150.03593804873526,10728
6.666666666666666e-05,0.0002666666666666666,0,17.425300979099593,6.3213342877884005,484.7215268421605,14.896372015018738,7.618464817407848,489.2521817957936,1.1516127071058566,0.8775920621439862,481,142.77947519905865,10728
6.666666666666666e-05,0.0003,0,18.01280052102486,6.071896265297847,483.7149659442914,15.33569448843272,7.36189768584658,488.43645223802224,1.162390488541941,0.8828595106068865,481,141.30693216994405,10728
9.999999999999999e-05,0.0,0,13.904298515972975,12.622469832991593,495.5708525562616,12.611834662240271,14.073848492339122,498.6375452783796,1.1033813082089268,0.8562190327394219,481,184.82018897682428,10728
9.999999999999999e-05,3.333333333333333e-05,0,16.227187865755603,10.438901991829557,490.4140073988598,14.519172287117575,11.87595352592702,494.015224458855,1.0995552677328213,0.8500565261909567,481,186.34446576796472,10728
9.999999999999999e-05,6.666666666666666e-05,0,18.131166289946176,9.084187721069684,486.5963801057982,16.04802617107617,10.508999559524096,490.6897271894216,1.0991546695673335,0.8468102004590812,481,176.14122469723225,10728
9.999999999999999e-05,9.999999999999999e-05,0,19.702330212794752,8.176179476009265,483.639984713142,17.287623548147828,9.590168295924366,488.17420367447977,1.1014861504591649,0.8457370835210353,481,165.9332624580711,10728
9.999999999999999e-05,0.0001333333333333333,0,21.027513716103957,7.523359616409369,481.24845139663887,18.31876623507725,8.927514798358237,486.1776317412973,1.1058512688762745,0.8462224333560298,481,165.95539136603475,10728
9.999999999999999e-05,0.00016666666666666666,0,22.174215577871923,7.025514422761894,479.2374905203305,19.201267512558807,8.420555837199759,484.5246551146912,1.1116463765710358,0.8478020078493761,481,161.3315411489457,10728
9.999999999999999e-05,0.00019999999999999998,0,23.190241046144592,6.627642979763742,477.4916971384208,19.976273430855795,8.014118825607657,483.1081179900649,1.1184772990001748,0.8501551301186314,481,158.95628785528243,10728
9.999999999999999e-05,0.00023333333333333328,0,24.108440665853895,6.2979911547859,475.9375462614759,20.67151739037951,7.6763371713120225,481.86098707647545,1.1261145780532744,0.8531005366019787,481,154.52663601003587,10728
9.999999999999999e-05,0.0002666666666666666,0,24.95138350398271,6.017260470809806,474.52698135150285,21.30579960075205,7.387835680265438,480.7400275687822,1.1342812222902818,0.8564539068803886,481,149.33185944147408,10728
9.999999999999999e-05,0.0003,0,25.734815480783958,5.7731239036514586,473.2276115637487,21.89211249086989,7.136232749034834,479.7163764757797,1.142942159041805,0.860111080160294,481,145.76781881786883,10728
0.0001333333333333333,0.0,0,18.214478454173765,12.20342210781524,489.66111585633575,16.470502793099904,13.731233102910204,493.4106775109146,1.1161213526273035,0.857693158996612,481,183.85426738858223,10728
0.0001333333333333333,3.333333333333333e-05,0,21.136614393200865,10.05849314314639,483.6856817010312,18.857768679500232,11.570643785925986,488.1538745387688,1.1056909302926343,0.8465238887668599,481,187.02539194375277,10728
0.0001333333333333333,6.666666666666666e-05,0,23.50490654914492,8.729085565509934,479.2043260063868,20.75112344893367,10.227937665542129,484.3282309789088,1.1001013489932816,0.8393950931134155,481,185.41280609369278,10728
0.0001333333333333333,9.999999999999999e-05,0,25.440567975069744,7.838759719958975,475.7071419895466,22.27282768085303,9.325938865918342,481.4142788653701,1.0983758004351805,0.8352409089523255,481,176.3017152827233,10728
