k_d_ds,0,1e-05,3.33333e-05,5e-05,6.66667e-05,0.0001,0.000133333,0.000166667,0.0002,0.000233333,0.000266667,0.0003
0,6.648745336701872e-06,,2.8435393088104786e-05,,8.287565301567835e-05,0.0001891474968184,0.0003667045029551,0.0006345324244147,0.0010110841298557,0.0015143603288859,0.0021619643058121,0.0029711135420955
1e-05,,1.6820362006761584,,2.046117491850819,,,,,,,,
3.33333e-05,4.3809932318569045,,5.101893125978488,,5.692620356712598,6.180536028004466,6.592816162982578,6.950458771646015,7.268282830482936,7.556444919114854,7.8219092523523805,8.069525819739265
5e-05,,8.139259229415533,,9.792448686715682,,,,,,,,
6.66667e-05,8.583555859490751,,9.937794476528762,,11.03518620195752,11.933086202687,12.685733600208843,13.33411559761902,13.906779606649486,14.423124288698617,14.896372015018738,15.33569448843272
0.0001,12.611834662240271,,14.519172287117575,,16.04802617107617,17.287623548147828,18.31876623507725,19.201267512558807,19.976273430855795,20.67151739037951,21.30579960075205,21.89211249086989
0.000133333,16.470502793099904,,18.857768679500232,,20.75112344893367,22.27282768085303,23.529393249298,24.598164473347293,25.5317244681038,26.365240782016865,27.12242812608485,27.81961619133939
0.000166667,20.164617763818164,,22.96537570754038,,25.163865745401488,26.9158918291586,28.35253791789004,29.567293660416187,30.62301159311092,31.56141480333255,32.41049609387287,33.189462879796544
0.0002,23.69949240996545,,26.853639463931653,,29.304811493586683,31.242298236228955,32.82039487383142,34.14729984164039,35.29498484669784,36.31088497440359,37.226669099621226,38.0639923339995
0.000233333,27.080586191345496,,30.53391136807577,,33.191541929051795,35.27571367663066,36.96240817143693,38.37308328708399,39.58771490235651,40.65865173210533,41.62067673480661,42.497495371287286
0.000266667,30.31341382978169,,34.01714067481145,,36.840576812043686,39.03796800785756,40.8053501973727,42.27600627811652,43.53685150161472,44.64440158417156,45.63603534903051,46.53714500792933
0.0003,33.40347212122486,,37.31380014331262,,40.26733998005446,42.54909464236549,44.37346413797226,45.88415984634433,47.17403175472168,48.303071588656245,49.31078042114496,50.223907918365136
