time_s,S2_M,I2_M,S2_tot_M
600,4.785531523538526e-10,9.761897054378288e-08,8.298019798726331e-07
1200,5.302873225061782e-10,9.536311700247293e-08,1.241668712569476e-06
1800,5.611409005161228e-10,9.332104634127042e-08,1.451949355011683e-06
2400,5.783021558076472e-10,9.154793585239473e-08,1.5598563431235599e-06
3000,5.874851155640393e-10,9.00497799157874e-08,1.6155398437125091e-06
3600,5.920905519177459e-10,8.878547279985615e-08,1.6445345968243403e-06
4200,5.948648427544247e-10,8.774620168620377e-08,1.6596954623449883e-06
4800,5.963032265198875e-10,8.689777823009247e-08,1.6677825757903941e-06
5400,5.970495813163283e-10,8.62082260384766e-08,1.6721888587137998e-06
6000,5.97438615317297e-10,8.564933664472562e-08,1.6746608440576532e-06
6600,5.976431436088029e-10,8.519712640446968e-08,1.6761014995700663e-06
7200,5.977521458111818e-10,8.48316242057615e-08,1.6769806708548707e-06
7800,5.978114204084272e-10,8.453640254902301e-08,1.6775451952136776e-06
8400,5.978334923515334e-10,8.438731432649021e-08,1.6777905115831068e-06
9000,5.978334923515334e-10,8.438731432649021e-08,1.6777905115831068e-06
9600,5.978334923515334e-10,8.438731432649021e-08,1.6777905115831068e-06
10200,5.978334923515334e-10,8.438731432649021e-08,1.6777905115831068e-06
10800,5.978334923515334e-10,8.438731432649021e-08,1.6777905115831068e-06
11400,5.978334923515334e-10,8.438731432649021e-08,1.6777905115831068e-06
12000,5.978334923515334e-10,8.438731432649021e-08,1.6777905115831068e-06
