time_s,S2_M,I2_M,S2_tot_M
600,4.951667120689003e-10,9.762144370378472e-08,9.7148230990884e-07
1200,5.9581374057239e-10,9.51732752603252e-08,1.65691709366288e-06
1800,6.956497851508864e-10,9.268353701881692e-08,2.141578128010919e-06
2400,7.892129177027816e-10,9.02036031469608e-08,2.485137009540505e-06
3000,8.724157114380264e-10,8.779633746375965e-08,2.7293407966368244e-06
3600,9.430755168861428e-10,8.55224775045285e-08,2.9034057120307325e-06
4200,1.0008082520965753e-09,8.343030168254882e-08,3.0278085540225276e-06
4800,1.046528525238832e-09,8.155060851823444e-08,3.1169375030742034e-06
5400,1.0818609643940034e-09,7.989655414737489e-08,3.1809357500066443e-06
6000,1.1062436801622595e-09,7.846413998354842e-08,3.227239256976125e-06
6600,1.1264254953834856e-09,7.723499937905009e-08,3.2603839808218838e-06
7200,1.1412526302935822e-09,7.620254790332917e-08,3.284308809009177e-06
7800,1.1521356810447966e-09,7.534427410364403e-08,3.3015958747235753e-06
8400,1.1600834299017785e-09,7.463688729655142e-08,3.3141036142165185e-06
9000,1.1658673617569631e-09,7.405801089095575e-08,3.323165217570358e-06
9600,1.1700668440197291e-09,7.358712376694018e-08,3.329738694353113e-06
10200,1.1731114988100266e-09,7.320600680956403e-08,3.3345134727209904e-06
10800,1.1753171127624555e-09,7.289886280546989e-08,3.337986355844391e-06
11400,1.1769143855222657e-09,7.265223668798e-08,3.3405157807284497e-06
12000,1.17807114997898e-09,7.245482541071314e-08,3.3423606575516165e-06
12600,1.17890915879683e-09,7.229723677729475e-08,3.3437082189927262e-06
13200,1.1795165736141305e-09,7.217173457847238e-08,3.3446940181404766e-06
13800,1.1799571608944605e-09,7.207199210581831e-08,3.3454163065481547e-06
14400,1.1802770147729793e-09,7.199286592444363e-08,3.345946383420571e-06
15000,1.1805094479898284e-09,7.193019525905801e-08,3.346336052684874e-06
15600,1.1805476939178314e-09,7.191932834101596e-08,3.346400654704337e-06
16200,1.1805476939178314e-09,7.191932834101596e-08,3.346400654704337e-06
16800,1.1805476939178314e-09,7.191932834101596e-08,3.346400654704337e-06
17400,1.1805476939178314e-09,7.191932834101596e-08,3.346400654704337e-06
18000,1.1805476939178314e-09,7.191932834101596e-08,3.346400654704337e-06
