Phi_in_nMps,tw50_s,final_S2_nM,final_S2_tot_nM,final_I2_nM,csv_file
0.02,,0.004518840671392402,66.61146489952954,1.9756771690421542,well_mixed_results/run_Phi_in_0p020nMps.csv
0.05000000000000001,,0.014024874608423296,166.44115541655378,4.833137241257079,well_mixed_results/run_Phi_in_0p050nMps.csv
0.10000000000000002,,0.04687151511744371,332.40168126183175,9.1797899683987,well_mixed_results/run_Phi_in_0p100nMps.csv
0.20000000000000004,,441.069686200612,665.1424935358222,1.6810967433880819e-23,well_mixed_results/run_Phi_in_0p200nMps.csv
0.5,,1660.2076666140206,1666.321414522302,2.4516479443558928e-154,well_mixed_results/run_Phi_in_0p500nMps.csv
1.0,5100.0,3330.4193534767064,3332.688449401853,7.124275806788044e-154,well_mixed_results/run_Phi_in_1p000nMps.csv
2.0,2700.0,6662.921818287055,6664.409702052002,4.7842308168598196e-155,well_mixed_results/run_Phi_in_2p000nMps.csv
3.0000000000000004,1860.0,9994.37580230333,9995.697419181472,1.0341119792107827e-153,well_mixed_results/run_Phi_in_3p000nMps.csv
4.0,1440.0,13325.83013750209,13327.089775211718,3.520686388003543e-155,well_mixed_results/run_Phi_in_4p000nMps.csv
5.0,1200.0,16657.317419566236,16658.55081807312,3.801332038408408e-155,well_mixed_results/run_Phi_in_5p000nMps.csv
