time_s,S2_M,I2_M,S2_tot_M
60.0,4.0645683781720586e-10,1.9951343839237395e-07,1.1781380368815519e-07
120.0,4.1797448364876426e-10,1.9901434089413041e-07,2.3354067987921992e-07
180.0,4.2867367789516437e-10,1.9850378081933093e-07,3.472179180334734e-07
240.0,4.399280432795962e-10,1.9798119593851862e-07,4.5888150355089566e-07
300.0,4.517872172803098e-10,1.9744597453413076e-07,5.685667564912558e-07
360.0,4.643011813817435e-10,1.9689745620496864e-07,6.763083419579092e-07
420.0,4.775255461782348e-10,1.9633492654677e-07,7.821402775188784e-07
480.0,4.915223863062409e-10,1.9575761105802095e-07,8.860959397857148e-07
540.0,5.063612055097589e-10,1.9516466815817207e-07,9.882080700308703e-07
600.0,5.221200794287719e-10,1.9455518115833405e-07,1.0885087786847545e-06
660.0,5.388870155019455e-10,1.9392814898974862e-07,1.1870295485134352e-06
720.0,5.567615795622762e-10,1.932824754517433e-07,1.283801236226246e-06
780.0,5.758568520473928e-10,1.926169566857752e-07,1.3788540721956747e-06
840.0,5.963017942600838e-10,1.9193026651201163e-07,1.4722176578846375e-06
900.0,6.182441282961169e-10,1.912209391748987e-07,1.563920960461533e-06
960.0,6.418538652140362e-10,1.9048734892779663e-07,1.65399230393136e-06
1020.0,6.673276577577028e-10,1.897276857349967e-07,1.7424593559077503e-06
1080.0,6.94894210781918e-10,1.8893992616971136e-07,1.8293491088760327e-06
1140.0,7.24821060782511e-10,1.8812179832121835e-07,1.9146878544226926e-06
1200.0,7.574231449175567e-10,1.872707391679486e-07,1.9985011483898807e-06
1260.0,7.93073733601365e-10,1.8638384238934848e-07,2.0808137641928804e-06
1320.0,8.322185204297547e-10,1.8545779392417802e-07,2.161649630520603e-06
1380.0,8.753939817698284e-10,1.8448879165665667e-07,2.241031748182522e-06
1440.0,9.232515876660982e-10,1.8347244430367858e-07,2.318982078750638e-06
1500.0,9.793543218933696e-10,1.8240063520127577e-07,2.3958383526954054e-06
1560.0,1.0398627560267943e-09,1.8126966178077535e-07,2.4713324107957603e-06
1620.0,1.1082650206288187e-09,1.8007225509175172e-07,2.545487520488026e-06
1680.0,1.1862301120749398e-09,1.7879966977783457e-07,2.6183262630159493e-06
1740.0,1.2759004952561478e-09,1.774412852355689e-07,2.689870430185803e-06
1800.0,1.3801055416463898e-09,1.7598402605794604e-07,2.760140859692299e-06
1860.0,1.5026590284336345e-09,1.744115396099982e-07,2.8291571708282807e-06
1920.0,1.6488242289249486e-09,1.727029982821447e-07,2.8969373297948116e-06
1980.0,1.8260674931133441e-09,1.7083130136477393e-07,2.9634969124246124e-06
2040.0,2.0453306234397295e-09,1.6876027797737002e-07,3.02884780634932e-06
2100.0,2.323286378758292e-09,1.66440149188442e-07,3.0929958232485466e-06
2160.0,2.686576877224733e-09,1.6379978490078892e-07,3.155936071161453e-06
2220.0,3.1803640548625713e-09,1.6073265475503562e-07,3.2176434228078366e-06
2280.0,3.8871643936311764e-09,1.5706932893835142e-07,3.2780514612532036e-06
2340.0,4.973202505146151e-09,1.5251830251350658e-07,3.3370023017171715e-06
2400.0,6.918915539928688e-09,1.4643910376917588e-07,3.3954116630202557e-06
2460.0,1.0840393351427982e-08,1.3749603701607534e-07,3.4520665981891112e-06
2520.0,2.1615743270051353e-08,1.2171081821742134e-07,3.5076656455549007e-06
2580.0,5.497289154145777e-08,9.152308610235558e-08,3.562384296297361e-06
2640.0,1.197324014846269e-07,5.326081464646355e-08,3.6168874172488282e-06
2700.0,2.045663953052708e-07,2.3911669919497314e-08,3.6705102225586554e-06
2760.0,3.034966079925207e-07,8.476370943275128e-09,3.7234593737691524e-06
2820.0,4.10079200070126e-07,2.4494817770242924e-09,3.775498269785318e-06
2880.0,5.188700468622848e-07,5.955143682033318e-10,3.826604168251896e-06
2940.0,6.271105425344755e-07,1.2503810080468673e-10,3.876820103969139e-06
3000.0,7.33800194045732e-07,2.3143198685802393e-11,3.926149354416058e-06
3060.0,8.386845635343041e-07,3.836668882571525e-12,3.9746064363647104e-06
3120.0,9.417301608268605e-07,5.769096391298135e-13,4.022206715424442e-06
3180.0,1.04295338967344e-06,7.948909743821314e-14,4.068962281636235e-06
3240.0,1.14238982792556e-06,1.0120405774004188e-14,4.114893719213857e-06
3300.0,1.240068519278566e-06,1.1990418043990208e-15,4.16001341142951e-06
3360.0,1.3360201470205326e-06,1.3298865666014226e-16,4.2043353662906664e-06
3420.0,1.4302751924157861e-06,1.387951351138033e-17,4.247873639752959e-06
3480.0,1.5228636466492797e-06,1.3691688356609788e-18,4.290642082159774e-06
3540.0,1.6138149770491378e-06,1.2816464957608978e-19,4.332654304663809e-06
3600.0,1.7031581306953122e-06,1.1423944617423473e-20,4.373923678450506e-06
3660.0,1.7909215429225829e-06,9.726206769349532e-22,4.414463338359915e-06
3720.0,1.8771331462893631e-06,7.931473773909821e-23,4.454286186994013e-06
3780.0,1.961820379459098e-06,6.210572425412491e-24,4.493404898815335e-06
3840.0,2.045010195932316e-06,4.680138503682925e-25,4.531831924180093e-06
3900.0,2.1267290726250645e-06,3.401170895120129e-26,4.56957949330068e-06
3960.0,2.2070030182957406e-06,2.3881242594305298e-27,4.606659620138192e-06
4020.0,2.285857581822928e-06,1.6229022410286565e-28,4.643084106226122e-06
4080.0,2.363317860336864e-06,1.0691120991102095e-29,4.678864544426444e-06
4140.0,2.439408507207135e-06,6.837306599519066e-31,4.714012322619297e-06
4200.0,2.51415373988913e-06,4.25075509397472e-32,4.748538627327401e-06
4260.0,2.5875773476317584e-06,2.5722455187384046e-33,4.782454447276425e-06
4320.0,2.6597026990488783e-06,1.5168137316258592e-34,4.8157705768923625e-06
4380.0,2.7305527495568545e-06,8.725686676980558e-36,4.848497619737094e-06
4440.0,2.800150048680603e-06,4.901823241412695e-37,4.880645991883196e-06
4500.0,2.868516747230455e-06,2.691667780256068e-38,4.9122259252290725e-06
4560.0,2.935674604352116e-06,1.4460410945119025e-39,4.943247470755473e-06
4620.0,3.00164499445198e-06,7.606791088229751e-41,4.973720501724432e-06
4680.0,3.06644891399998e-06,3.921290418091234e-42,5.003654716821642e-06
4740.0,3.1301069882121604e-06,1.982387847731171e-43,5.033059643243262e-06
4800.0,3.1926394776150883e-06,9.8353040905268e-45,5.061944639728155e-06
4860.0,3.2540662844941925e-06,4.7920061923128114e-46,5.090318899536497e-06
4920.0,3.3144069592280864e-06,2.2943142965369407e-47,5.1181914533757334e-06
4980.0,3.37368070651089e-06,1.080079652597165e-48,5.145571172274787e-06
5040.0,3.4319063914645282e-06,5.002351557824014e-50,5.172466770407452e-06
5100.0,3.4891025456429543e-06,2.2805741041585335e-51,5.1988868078658655e-06
5160.0,3.5452873729302104e-06,1.0239773444708405e-52,5.224839693384937e-06
5220.0,3.600478755334195e-06,4.530297390391034e-54,5.250333687018601e-06
5280.0,3.6546942586779906e-06,1.9758656138900924e-55,5.2753769027687635e-06
5340.0,3.7079511381905603e-06,8.499185009564658e-57,5.2999773111677435e-06
5400.0,3.760266343998585e-06,3.607219249934366e-58,5.324142741815071e-06
5460.0,3.8116565265212034e-06,1.511197504898149e-59,5.347880885869422e-06
5520.0,3.862138041769355e-06,6.251637124255953e-61,5.371199298496485e-06
5580.0,3.911726956551429e-06,2.5547792022271083e-62,5.3941054012735605e-06
5640.0,3.960439053586865e-06,1.0317073575676671e-63,5.416606484551631e-06
5700.0,4.008289836529337e-06,4.1186351553518176e-65,5.438709709775668e-06
5760.0,4.0552945349011175e-06,1.625877547865043e-66,5.460422111763918e-06
5820.0,4.101468108940193e-06,6.348899590976753e-68,5.481750600946874e-06
5880.0,4.146825254361682e-06,2.45311675830656e-69,5.502701965566673e-06
5940.0,4.191380407035051e-06,9.38155981651237e-71,5.5232828738375955e-06
6000.0,4.235147747578636e-06,3.5521563510081354e-72,5.543499876068365e-06
6060.0,4.278141205872923e-06,1.3319497163396962e-73,5.563359406746921e-06
6120.0,4.3203744654940305e-06,4.947394348557071e-75,5.582867786588331e-06
6180.0,4.361860968068792e-06,1.8208252025112782e-76,5.602031224546493e-06
6240.0,4.40261391755284e-06,6.641545895283409e-78,5.620855819790268e-06
6300.0,4.442646284433046e-06,2.401495250211794e-79,5.6393475636446634e-06
6360.0,4.481970809855644e-06,8.610032733033486e-81,5.657512341497704e-06
6420.0,4.520600009681379e-06,3.0614973599573914e-82,5.67535593467358e-06
6480.0,4.558546178468937e-06,1.0798446053455084e-83,5.692884022272671e-06
6540.0,4.595821393387954e-06,3.7789932199610433e-85,5.7101021829790475e-06
6600.0,4.6324375180628226e-06,1.3123953535556374e-86,5.727015896835998e-06
6660.0,4.668406206348549e-06,4.523873055702986e-88,5.743630546990176e-06
6720.0,4.7037389060398316e-06,1.5480822517993635e-89,5.7599514214048874e-06
6780.0,4.738446862514569e-06,5.260096572653534e-91,5.775983714543111e-06
6840.0,4.772541122312937e-06,1.774946103836704e-92,5.791732529020738e-06
6900.0,4.80603253665318e-06,5.948969333233614e-94,5.807202877230589e-06
6960.0,4.838931764885245e-06,1.9807719345254617e-95,5.8223996829377085e-06
7020.0,4.871249277883344e-06,6.552881377692993e-97,5.8373277828464716e-06
7080.0,4.9029953613785305e-06,2.1542794968194024e-98,5.851991928139952e-06
7140.0,4.934180119232348e-06,7.038960350579377e-100,5.866396785992094e-06
7200.0,4.9648134766526e-06,2.286202081396042e-101,5.880546941053137e-06
7260.0,4.994905183352259e-06,7.382124889558134e-103,5.894446896908778e-06
7320.0,5.024464816652514e-06,2.370107850693479e-104,5.908101077513535e-06
7380.0,5.053501784530956e-06,7.567149964767008e-106,5.921513828598756e-06
7440.0,5.08202532861587e-06,2.402868489764779e-107,5.9346894190557525e-06
7500.0,5.110044527127574e-06,7.589539524134872e-109,5.947632042294452e-06
7560.0,5.137568297767754e-06,2.384742121161581e-110,5.9603458175780475e-06
7620.0,5.164605400557715e-06,7.45520046964185e-112,5.972834791334034e-06
7680.0,5.1911644406264394e-06,2.3190977593818366e-113,5.985102938442077e-06
7740.0,5.217253870949351e-06,7.1790861423347385e-115,5.997154163499094e-06
7800.0,5.242881995038655e-06,2.2118561674581494e-116,6.008992302061976e-06
7860.0,5.268056969586104e-06,6.7830991831359555e-118,6.020621121868346e-06
7920.0,5.292786807059041e-06,2.0707503708263248e-119,6.032044324035703e-06
