param_value,replicate_id,I2_center_final_nM,S2_free_center_final_nM,S2_total_center_final_nM,half_time_center_hr,n_samples,wall_time_s,n_cells,n_cells_sender_node,n_cells_receiver_node,mesh_file
0.265306,0,54.897305747634014,4.929645470660321,300.1190858434685,0.8714330932447067,481,143.12777286022902,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.283673,0,55.40397644215098,4.829698928477519,316.50910349770186,0.8952454187323847,481,144.9563819412142,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.3,0,55.86096083931084,4.741108878980342,331.0269075449923,0.9166445581115215,481,129.74276074022055,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.302041,0,55.91852541518019,4.730052230283656,332.8381414183039,0.9193612473000108,481,145.31558649800718,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.320408,0,56.44106153637132,4.63071842517446,349.1031775411588,0.9438218048549141,481,146.8567115496844,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.338776,0,56.97168985491776,4.531711296445492,365.3009941236459,0.9685756097423642,481,149.15703240782022,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.357143,0,57.51051080361154,4.433045409591971,381.4281627581453,0.9937003118204438,481,149.92175313271582,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.37551,0,58.0576193630693,4.3347361630597065,397.481028081795,1.0191297250376925,481,151.05246976576746,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.393878,0,58.61310411819097,4.236799842422462,413.4556901433247,1.044929836467972,481,151.62577761895955,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.4,0,58.80014133331415,4.2042402244158685,418.7624873456242,1.0535979325619553,481,136.02010093070567,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.412245,0,59.17704617537175,4.139253678373467,429.34798534521536,1.0710653631911045,481,152.20492757111788,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.430612,0,59.74951805709722,4.04211590737977,445.1534657141282,1.0975473331283427,481,151.84834847599268,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.44898,0,60.330582347436696,3.9454058372740826,460.8673766172487,1.1244110172375248,481,153.1328587513417,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.467347,0,60.92029035298455,3.849143915147831,476.4846325103616,1.1515991753255281,481,154.46391678228974,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.485714,0,61.518680470959765,3.753351800477581,491.999790921951,1.179180481198489,481,154.03373399749398,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.5,0,61.99011326317736,3.6791862695159296,503.9928344398516,1.2008584731765493,481,138.3961940202862,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.504082,0,62.12577650301933,3.6580524410331168,507.40702428732186,1.2071191237056509,481,156.0532619729638,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
0.522449,0,62.74158582840245,3.563270152154865,522.7000896016978,1.2353980291121798,481,156.3780567869544,10728,398,398,conformal_ccd=200.0_nd=75.0_fine=5.00_coarse=100.0_gr=1.50_cpl=3_W=5000_H=5000.msh
