param_value,I2_center_final_nM_mean,I2_center_final_nM_std,S2_free_center_final_nM_mean,S2_free_center_final_nM_std,S2_total_center_final_nM_mean,S2_total_center_final_nM_std,half_time_center_hr_mean,half_time_center_hr_std,wall_time_s_mean,wall_time_s_std,n_cells_mean,n_cells_std
0.1,50.67270129927849,,5.8408147451886645,,150.28276358899566,,0.6700214105960416,,113.30007668025792,,10728.0,
0.118367,51.113710487056245,,5.738655695467654,,167.11180471063136,,0.6913577335582195,,130.052420174703,,10728.0,
0.136735,51.56153810562796,,5.636705574724522,,183.90022949853568,,0.712911955100804,,131.2736804932356,,10728.0,
0.155102,52.01630394195082,,5.53497252851454,,200.64626545700364,,0.7347168542716264,,131.93017776310444,,10728.0,
0.173469,52.47812804851337,,5.433465123326148,,217.3480369637913,,0.7568284791717625,,134.69559815712273,,10728.0,
0.191837,52.947130472381176,,5.3321923728323055,,234.00355793570137,,0.7791723031554334,,136.29018096625805,,10728.0,
0.2,53.15791148107692,,5.287260046546218,,241.3906199451668,,0.7892023445526359,,123.0118854418397,,10728.0,
0.210204,53.4234309467968,,5.23116376597619,,250.6107238982268,,0.8017876203345099,,137.5357905011624,,10728.0,
0.228571,53.90714854706672,,5.130389296975553,,267.1673034011007,,0.8247274654821944,,139.54916692338884,,10728.0,
0.246939,54.39840130187238,,5.0298794974177286,,283.6709287275437,,0.8479118348101667,,141.75813557952642,,10728.0,
0.265306,54.897305747634014,,4.929645470660321,,300.1190858434685,,0.8714330932447067,,143.12777286022902,,10728.0,
0.283673,55.40397644215098,,4.829698928477519,,316.50910349770186,,0.8952454187323847,,144.9563819412142,,10728.0,
0.3,55.86096083931084,,4.741108878980342,,331.0269075449923,,0.9166445581115215,,129.74276074022055,,10728.0,
0.302041,55.91852541518019,,4.730052230283656,,332.8381414183039,,0.9193612473000108,,145.31558649800718,,10728.0,
0.320408,56.44106153637132,,4.63071842517446,,349.1031775411588,,0.9438218048549141,,146.8567115496844,,10728.0,
0.338776,56.97168985491776,,4.531711296445492,,365.3009941236459,,0.9685756097423642,,149.15703240782022,,10728.0,
0.357143,57.51051080361154,,4.433045409591971,,381.4281627581453,,0.9937003118204438,,149.92175313271582,,10728.0,
0.37551,58.0576193630693,,4.3347361630597065,,397.481028081795,,1.0191297250376925,,151.05246976576746,,10728.0,
0.393878,58.61310411819097,,4.236799842422462,,413.4556901433247,,1.044929836467972,,151.62577761895955,,10728.0,
0.4,58.80014133331415,,4.2042402244158685,,418.7624873456242,,1.0535979325619553,,136.02010093070567,,10728.0,
0.412245,59.17704617537175,,4.139253678373467,,429.34798534521536,,1.0710653631911045,,152.20492757111788,,10728.0,
0.430612,59.74951805709722,,4.04211590737977,,445.1534657141282,,1.0975473331283427,,151.84834847599268,,10728.0,
0.44898,60.330582347436696,,3.9454058372740826,,460.8673766172487,,1.1244110172375248,,153.1328587513417,,10728.0,
0.467347,60.92029035298455,,3.849143915147831,,476.4846325103616,,1.1515991753255281,,154.46391678228974,,10728.0,
0.485714,61.518680470959765,,3.753351800477581,,491.999790921951,,1.179180481198489,,154.03373399749398,,10728.0,
0.5,61.99011326317736,,3.6791862695159296,,503.9928344398516,,1.2008584731765493,,138.3961940202862,,10728.0,
0.504082,62.12577650301933,,3.6580524410331168,,507.40702428732186,,1.2071191237056509,,156.0532619729638,,10728.0,
0.522449,62.74158582840245,,3.563270152154865,,522.7000896016978,,1.2353980291121798,,156.3780567869544,,10728.0,
0.540816,63.36609726725419,,3.4690307008534385,,537.8722959734412,,1.2640545805826544,,157.97175463475287,,10728.0,
0.559184,63.99927890245338,,3.3753613915865297,,552.9164696830875,,1.2930768131396695,,158.4995832517743,,10728.0,
0.577551,64.64107564048581,,3.282291155386495,,567.8249169257922,,1.3224371911230317,,158.74406075291336,,10728.0,
0.595918,65.29140661021623,,3.1898506405830718,,582.5893840922992,,1.3521322574175967,,159.51121589541435,,10728.0,
0.614286,65.95016224220063,,3.0980723060722077,,597.2010157980657,,1.3821683827964637,,161.02145602926612,,10728.0,
0.632653,66.61720137242995,,3.006990511909178,,611.6503103196839,,1.4125415648733488,,160.88133123517036,,10728.0,
0.65102,67.29234792056302,,2.9166416111327487,,625.927073155345,,1.4432154023843626,,161.33597159199417,,10728.0,
0.669388,67.97538751546413,,2.8270640366264983,,640.0203685201311,,1.4741735781939596,,161.31196315400302,,10728.0,
