Th2_0,converged,status,sim_time_to_ss_h,wall_time_s,final_S2_M,final_I2_M,final_Th2_M,final_C_I2_M,final_C_Th2_M,final_S2_tot_M,final_abs_change_M,csv_file
1.0000000000000002e-06,True,converged,3.3333333333333335,40.5113799571991,5.323119056936267e-06,5.917407527767673e-11,5.915874945290199e-11,1.0492921710457648e-07,1.0490389146316432e-06,6.4770871886724865e-06,3.49884215407072e-09,run_Th2_0_1000nM.csv
2.5e-06,True,converged,5.0,53.076573848724365,3.9299626415899855e-06,7.955181994395143e-11,1.9848541362551438e-10,1.041962718027976e-07,2.599758706053017e-06,6.6339176194458e-06,1.871425706827326e-09,run_Th2_0_2500nM.csv
5e-06,True,converged,6.666666666666667,62.30056977272034,1.3940287311158792e-06,2.20521249471409e-10,1.1111529962370846e-09,1.0246158098716462e-07,5.162835621051959e-06,6.659325933155003e-06,2.00117467736501e-09,run_Th2_0_5000nM.csv
7.5e-06,False,timeout,8.0,61.540842056274414,2.2040892552318005e-09,5.7691979556922966e-08,9.012915975678802e-07,4.2252577175538395e-08,6.61913018606472e-06,6.66358685249549e-06,3.456992718544635e-08,run_Th2_0_7500nM.csv
1e-05,False,timeout,8.0,60.838655948638916,5.941985208519919e-10,8.347954057452892e-08,3.3571779390754426e-06,1.64858753550132e-08,6.646481269015002e-06,6.6635613428908675e-06,2.9613529665091066e-08,run_Th2_0_10000nM.csv
