Time (hours),I_1 (nM),S_1_free (nM),S_1_total (nM),I_2 (nM),S_2_free (nM),S_2_total (nM),I_3 (nM),S_3_free (nM),S_3_total (nM),I_4 (nM),S_4_free (nM),S_4_total (nM),I_5 (nM),S_5_free (nM),S_5_total (nM)
0.0,100.0,,,99.99602453646193,0.01349060949334624,0.33526311187432156,99.99605404717832,0.013390461834084518,0.33277614543464884,99.99604715107306,0.013413864468665514,0.3333573055676013,99.99610429543607,0.013219939363300702,0.3285414966489782
0.016666666666666666,100.0,,,99.98579723269839,0.03494814751240604,1.182918171947371,99.98585953234051,0.0348350750841591,1.1777791716512553,99.98585882937175,0.03481447077865015,1.177815887135956,99.98604064182443,0.03438787863663836,1.1627240171378508
0.03333333333333333,100.0,,,99.9690018380417,0.0578624963317641,2.5583040451485495,99.96907440487689,0.05782386383744245,2.5524314688809198,99.96910711689702,0.05771046362677262,2.549692780678105,99.96946982659225,0.05708530919770674,2.519926656550694
0.05,100.0,,,99.94613598761956,0.07949416136844255,4.413210679944239,99.94618833344967,0.07955841692231151,4.409081160890466,99.94628398968659,0.0793426714915917,4.401226333606962,99.94687400934261,0.07854868046894685,4.353269418774671
0.06666666666666667,100.0,,,99.91784735537357,0.0993061830269698,6.688755478599651,99.9178525107998,0.09946329897861163,6.688485561050613,99.91803719038616,0.09915503734141627,6.6735179233597055,99.91889674858471,0.09820337788228013,6.604275762394371
0.08333333333333333,100.0,,,99.884703172986,0.11753393179392775,9.332964855643722,99.88464234369602,0.11775786039725585,9.337961646316227,99.88493756639689,0.11737087704346513,9.314303908349507,99.88610852704699,0.11625997158491785,9.220812722502773
0.1,100.0,,,99.84714334715386,0.13457652957872562,12.304074919641865,99.84700727158334,0.13483609525951476,12.314951572925336,99.84743074477048,0.13438192129334306,12.281378111945413,99.84895647305244,0.1331038379851899,12.160674545705984
0.11666666666666667,100.0,,,99.805490861094,0.15080550128947304,15.569499576452747,99.80528006487278,0.15106804697521423,15.586079300764666,99.80584682085468,0.15055457916385703,15.541622179999017,99.80777292971774,0.14909871218544613,15.390702660586037
0.13333333333333333,100.0,,,99.75997403932915,0.1665240004662436,19.103943864744373,99.75969891618482,0.16675594638345284,19.125280473921777,99.76042231673873,0.16618782633387694,19.069149166425323,99.76279690108508,0.1645425840432173,18.88496983683021
0.15,100.0,,,99.71074733092112,0.1819705461411399,22.88766623399648,99.71042836852374,0.18213687670374204,22.91205772658971,99.71132086186678,0.18151626729735498,22.84358047339983,99.71419453955363,0.17966970826862236,22.623072555599496
0.16666666666666666,100.0,,,99.65790783901106,0.19733223132422492,26.905091123853367,99.65757607118314,0.19739569403724389,26.930081263559423,99.65864972347647,0.19672299608094176,26.84866558869684,99.66207562797207,0.19466298479419053,26.58875499974662
0.18333333333333332,100.0,,,99.60150783197173,0.2127573795112341,31.143747470353315,99.60120551975224,0.21267765798595895,31.166116465093964,99.60247237407786,0.2119520611311712,31.071224202262556,99.60650615570172,0.20966623266906373,30.768851165576116
0.2,100.0,,,99.54156409806332,0.2283655151018744,35.59346301556496,99.54134562166634,0.22809844472308768,35.60920999630388,99.5428179337769,0.22731832174702468,35.50034262860723,99.54751778586368,0.22479398974559556,35.15248015498038
0.21666666666666667,100.0,,,99.4780649654368,0.24425473433684258,40.245748655186546,99.4779979079854,0.2437515649215079,40.250068779792784,99.47968829642745,0.24291474602619026,40.126759909820535,99.48511500552665,0.24013881137204396,39.730431299884856
0.23333333333333334,100.0,,,99.41097563018798,0.26050703616995785,45.09332167441779,99.41114203803443,0.2597137287235791,45.080580417783956,99.41306357499177,0.25881769171689256,44.9423931252213,99.41928058794815,0.25577657336984877,44.49468905804927
0.25,100.0,,,99.34024226369583,0.2771921565461492,50.12973053369992,99.34074007242879,0.2760486997096167,50.09343743031092,99.34290633289281,0.2750907041149684,49.939964989908184,99.34997983227045,0.2717702972414588,49.43806079475371
0.26666666666666666,100.0,,,99.26579523730143,0.2943703296226778,55.34905459370969,99.2667398558661,0.292810064360087,55.28183846747202,99.26916493649621,0.2917872495769668,55.11270740207057,99.2771639164251,0.2881729094961788,54.55388099114235
