time_h,receiver_I2_nM,receiver_total_RNA_nM
0.0,100.0,0.0
0.0001388888888888889,100.0,0.0
0.0002777777777777778,100.0,0.0
0.0004166666666666667,100.0,0.0
0.0005555555555555556,100.0,0.0
0.0006944444444444445,100.0,0.0
0.0008333333333333334,100.0,6.096384000000001e-05
0.0009722222222222222,99.9999996951808,0.00032280962918400006
0.0011111111111111111,99.99999884475046,0.0010268177169124224
0.00125,99.99999660473517,0.0024904586614703443
0.001388888888888889,99.99999265808854,0.005137367202204913
0.0015277777777777779,99.99998536383593,0.009419220619455805
0.0016666666666666668,99.9999749334915,0.015910680027429517
0.0018055555555555555,99.9999581753667,0.025110622138019296
0.0019444444444444444,99.99993739897153,0.03775615239137165
0.0020833333333333333,99.99990544256524,0.054212321825322804
0.0022222222222222222,99.99987126004419,0.0757171809515969
0.002361111111111111,99.99981518432017,0.10173120750617085
0.0025,99.99976951342184,0.13493207847654345
0.002638888888888889,99.99967224757215,0.17244177521228107
0.002777777777777778,99.99963108885363,0.2209057750118628
0.002916666666666667,99.99945071530097,0.2784159997698571
0.0030555555555555557,99.9994346236643,0.34621044271527546
0.0031944444444444446,99.99911987499533,0.4463384073624095
0.0033333333333333335,99.99909290052508,0.5350785500004017
0.003472222222222222,99.99868980684545,0.6638000252249205
0.003611111111111111,99.99865275565278,0.7746592859276491
0.00375,99.99815423838338,0.9344426899375339
0.0038888888888888888,99.99810537203717,1.0691650596165525
0.004027777777777778,99.99750533016332,1.262177055095207
0.004166666666666667,99.9974429305456,1.422267388365128
0.0043055555555555555,99.9967364286532,1.65030795714219
0.0044444444444444444,99.9966588379873,1.8370391293188955
0.004583333333333333,99.99584201018472,2.1015658325112163
0.004722222222222222,99.99574765327121,2.315996583931581
0.004861111111111111,99.99481758042876,2.618158616022839
0.005,99.99470497855691,2.8611541577613466
0.005138888888888889,99.99365956424873,3.2018280811380615
0.005277777777777778,99.99352734308764,3.4740810569712237
0.005416666666666667,99.99236519679975,3.8539053061791884
0.005555555555555556,99.99221208986675,4.155955946047885
0.005694444444444445,99.99093242089559,4.575362818357669
0.005833333333333334,99.99075726979653,4.907617703435085
0.0059722222222222225,99.98935979294431,5.366862306071491
0.006111111111111111,99.98916154530333,5.729611487078735
0.00625,99.9876463982851,6.228797513677611
0.006388888888888889,99.98742410407068,6.622229910460716
0.006527777777777778,99.98579177593166,7.16133233957793
0.006666666666666667,99.98554458272056,7.585549458006132
0.006805555555555555,99.98379585227164,8.164434382109933
0.006944444444444444,99.983522999859,8.619462444514802
0.007083333333333333,99.98165888303545,9.237904291225961
0.007222222222222222,99.98135969769628,9.723704906971031
0.007361111111111111,99.97938140274925,10.381401330663815
0.0075,99.97905529137405,10.897880845343545
0.007638888888888889,99.97696418086731,11.59446556218612
0.0077777777777777776,99.97661062513228,12.141483224654682
0.007916666666666667,99.97440818380687,12.876537047454997
0.008055555555555555,99.97402673449069,13.45391212805174
0.008194444444444445,99.97171454216269,14.226972434884784
0.008333333333333333,99.97130481368505,14.834490418853619
0.008472222222222223,99.96888452244234,15.645059265023024
0.008611111111111111,99.96844618767244,16.28247723411777
0.00875,99.96591950273303,17.13002829269502
0.008888888888888889,99.96545228809582,17.797079596503114
0.009027777777777777,99.96282095177772,18.68106408968792
0.009166666666666667,99.96232463267079,19.377462396997693
0.009305555555555555,99.95959041100141,20.297314159456732
0.009444444444444445,99.95906480752514,21.022756969440916
0.009583333333333333,99.95622947908777,21.977896765848985
0.009722222222222222,99.9556744520833,22.73206844914125
0.00986111111111111,99.9527397987567,23.721907651391234
0.01,99.9521552461417,24.50448208237506
0.010138888888888888,99.94912304544165,25.528425797241507
0.010277777777777778,99.9485088988305,26.339068631053397
0.010416666666666666,99.94538091760491,27.396518356325537
0.010555555555555556,99.94473713919727,28.234888997157505
0.010694444444444444,99.94151512846545,29.325244873210067
0.010833333333333334,99.94084170818735,30.190998174414723
0.010972222222222222,99.93752739894471,31.31366088866363
0.011111111111111112,99.9368243518244,32.20644861984256
0.01125,99.93341945166222,33.36082101334845
0.01138888888888889,99.93268681542462,34.28029312496255
0.011527777777777777,99.92919300583682,35.465781543423915
0.011666666666666667,99.9284308386998,36.41158725542598
0.011805555555555555,99.92484977296856,37.62760268078713
0.011944444444444445,99.92405815162537,38.599391418270216
0.012083333333333333,99.92039145319386,39.84535041201836
0.012222222222222223,99.91957047096707,40.84277260783155
0.012361111111111111,99.91581973222137,42.1180980926483
0.0125,99.91496949737406,43.14080587429571
0.012638888888888889,99.91113627876888,44.444927776955296
0.012777777777777779,99.91025691296026,45.49257555281147
0.012916666666666667,99.90634274243214,46.824931327988864
0.013055555555555556,99.90543437930529,47.89717628588581
0.013194444444444444,99.90144075192623,49.257211337773036
0.013333333333333334,99.9005035358169,50.35371386730293
0.013472222222222222,99.89643191364826,51.740881883563894
0.01361111111111111,99.89546599840442,52.86130593195823
0.01375,99.89131781051707,54.27506914252304
0.013888888888888888,99.89032335841982,55.419082512684916
0.014027777777777778,99.88610000105173,56.85891188414487
0.014166666666666666,99.88507718182862,58.026186482297916
0.014305555555555556,99.88078001865536,59.49156185716911
0.014444444444444444,99.87972900857841,60.68177389662205
0.014583333333333334,99.87535937107612,62.17218408546409
0.014722222222222222,99.8742803521373,63.385014252152395
0.014861111111111111,99.86983954002037,64.89995708542705
0.015,99.86873269917777,66.13509067016798
0.01513888888888889,99.86422198089637,67.67407301577626
0.015277777777777777,99.8630875093852,68.93120001754215
0.015416666666666667,99.85850812267037,70.49373776916299
0.015555555555555555,99.85734621537313,71.77255297313037
0.015694444444444445,99.85269936781863,73.3581710137836
0.015833333333333335,99.85151022268938,74.6583740474399
0.01597222222222222,99.8467970923615,76.26660619209096
0.01611111111111111,99.8455809099,77.58790156226557
0.01625,99.8408026459676,79.2182904827693
0.01638888888888889,99.83955962873873,80.56038759609642
0.016527777777777777,99.83471735211751,82.21248473132717
0.016666666666666666,99.83344770431238,83.57509790033329
0.016805555555555556,99.82854250831775,85.24846335396117
0.016944444444444446,99.82724643535317,86.63131179069663
0.017083333333333332,99.82227938635754,88.32551421873411
0.017222222222222222,99.82095709451032,89.72832201763006
0.017361111111111112,99.81592923260101,91.44293850758397
0.0175,99.81458092867464,92.8654346190077
0.017638888888888888,99.80949326830931,94.60005056222056
0.017777777777777778,99.80811915932998,96.0419687580203
0.017916666666666668,99.80297268998726,97.79617771656905
0.018055555555555554,99.80157298292714,99.25725654874113
0.018194444444444444,99.79636866975007,101.03066011807299
0.018333333333333333,99.79494357127562,102.51064287154493
0.018472222222222223,99.78968235570649,104.30285053986783
0.01861111111111111,99.7882320719495,105.80148518026999
0.01875,99.78291487235467,107.61211418557436
0.01888888888888889,99.78143960870455,109.12915330276583
0.01902777777777778,99.7760673209881,110.95782848823231
0.019166666666666665,99.77456728190349,112.49302923625471
0.019305555555555555,99.76914078010903,114.33938290469646
0.019444444444444445,99.76761616894747,115.89250693874631
0.019583333333333335,99.76213630584712,117.75617870664288
0.01972222222222222,99.76058732471097,119.32699211758235
0.01986111111111111,99.75505493238155,121.20762876918218
0.02,99.75348178197923,122.79590201604566
0.02013888888888889,99.74789767236489,124.693157357945
0.020277777777777777,99.74630055188601,126.29866519884213
0.020416666666666666,99.74066551734735,128.21219991538857
0.020555555555555556,99.73904462435081,129.83472133715736
0.020694444444444446,99.73335943820022,131.76420284697312
0.020833333333333332,99.7317149685141,133.403520993893
0.020972222222222222,99.72598038553741,135.34862330776863
0.021111111111111112,99.72431253316985,137.00452540960632
0.02125,99.71852929013433,138.96492898997525
0.021388888888888888,99.71683824719456,140.63720628960237
0.021527777777777778,99.71100706334323,142.61259791177335
0.021666666666666667,99.70929301997175,144.3010455925664
0.021805555555555557,99.7034145975043,146.29111820786
0.021944444444444444,99.70167774181188,147.99553532106654
0.022083333333333333,99.69575276635237,149.99998792197738
0.022222222222222223,99.6939932843667,151.72017731421022
0.02236111111111111,99.6880224254181,153.73871480169285
