S2_s2_t50_max,S2_s2_t90_max,center_distance_um_value,I2_initial_nM,I2_final_nM,Th2_initial_nM,Th2_final_nM,S2_initial_nM,S2_final_nM,S2_max_nM,I2_t50_hours,I2_t90_hours,I2_t99_hours,I2_t50_offrange_hours,Th2_t50_hours,Th2_t90_hours,Th2_t99_hours,Th2_t50_offrange_hours,S2_t50_final_hours
4499.965120710163,11314.24929446717,50.0,99.99999999986869,42.529669019833,4999.9999999934325,360.5856119019646,0.0,4.425563750771411,4.425563750771411,3.0208711488434443,,,1.448980553960687,0.694731970315016,2.6034393109751983,,0.6300784871050404,1.2499903113083788
4204.520110645992,11222.297555277188,110.41666666666666,99.99999999840092,55.49601720118425,4999.999999920044,606.3340602319472,0.0,2.643751554750456,2.643751554750456,,,,1.5383320474617788,0.8641183354729215,,,0.7353257129283447,1.16792225295722
4068.8340704126426,10364.125175957912,170.83333333333331,99.99999994004848,63.62140391540778,4999.999997002422,853.0931032396699,0.0,1.8999628088753542,1.8999628088753542,,,,1.5781044935595052,1.0212723692345491,,,0.8116084236243646,1.130231686225734
4073.060038008372,9872.3997099611,231.25,99.99999747166437,69.11559998816224,4999.999873583217,1084.6036718833032,0.0,1.4879526978616964,1.4879526978616964,,,,1.619334032774794,1.1792648049619219,,,0.8782837161462127,1.1314055661134366
4123.056298328377,9616.528342796586,291.66666666666663,99.9998900002185,73.32681973683444,4999.994500010925,1305.1670712779803,0.0,1.2096760484136622,1.2096760484136622,,,,1.6637476873664416,1.351480918459731,,,0.9387110704311,1.145293416202327
4184.607418827952,9528.963115328916,352.0833333333333,99.99514017916964,76.790247060117,4999.757008958481,1518.5372754668717,0.0,1.001329058702716,1.001329058702716,,,,1.711526678740993,1.549589590885566,,,0.9936302649543577,1.1623909496744311
4237.530613365999,9539.1406696443,412.5,99.7871838067654,79.49449471589818,4989.359190338268,1717.0977198040923,0.0,0.8424934216607526,0.8424934216607526,,,,1.7559881418868903,1.7799377349151064,,,1.0508505595548712,1.1770918370461108
4479.684307185046,10004.379401035412,472.9166666666666,99.99992964693173,81.99910538554543,4999.996482346585,1860.5142415993237,0.0,0.7105694273947472,0.7105694273947472,,,,1.8594050787019685,2.052431833224904,,,1.1548809836112366,1.2443567519958463
4461.291784023113,10074.547512447996,533.3333333333333,99.99930781887227,82.4225028980891,4999.965390943613,1892.8802179625943,0.0,0.6890117886362671,0.6890117886362671,,,,1.8641378772562065,2.102930115398162,,,1.158166079717051,1.239247717784198
4461.980911360073,10148.302790913704,593.75,99.99283081612153,84.6189170981969,4999.641540806076,2087.0474117303156,0.0,0.583748855757346,0.583748855757346,,,,1.8921361161337191,2.482001609729539,,,1.2099126752657874,1.2394391420444648
4455.89570346506,10229.698864462065,654.1666666666666,99.9216455258824,86.54113755602116,4996.082276294119,2280.1677058950804,0.0,0.49423715589092604,0.49423715589092604,,,,1.9177057072519492,3.1133950241667017,,,1.2625903524907633,1.2377488065180724
4439.293591396725,10273.049206988484,714.5833333333333,99.10441748652028,87.57227448239685,4955.220874326012,2456.8829491556926,0.0,0.4234665611270354,0.4234665611270354,,,,1.9405191900724417,5.326869847595588,,,1.3181787526986055,1.2331371087213125
4086.9224291073992,9866.227328363631,775.0,86.3636363636364,77.34156177282173,4318.181818181819,2283.487978323518,0.0,0.44174352117661525,0.44174352117661525,,,,1.9238651870727272,,,,1.356009996486246,1.1352562303076108
