parameter_name,parameter_value,final_i2_nM,simulation_time_s,status
center_distance_um,100.0,1.3295229408335474,347.4610128229979,success
center_distance_um,156.0,1.534911956393783,348.0127410230052,success
center_distance_um,212.0,1.6908316905043173,351.95147253299365,success
center_distance_um,268.0,1.85519273183444,348.23640664698905,success
center_distance_um,324.0,2.070088265747513,356.66020896998816,success
center_distance_um,380.0,2.1899181981294524,348.2459795370087,success
center_distance_um,436.0,2.480183174914523,360.42330329799734,success
center_distance_um,492.0,2.6824634914783454,355.51503260798927,success
center_distance_um,548.0,2.930600844799338,362.5295470800047,success
center_distance_um,604.0,3.2919968068100407,362.73401677099173,success
center_distance_um,660.0,3.4365121706886947,360.4684431450005,success
center_distance_um,716.0,3.9796095498362276,364.23863144000643,success
center_distance_um,772.0,4.294854873799118,356.3555195650115,success
center_distance_um,828.0,4.723905439727355,367.2916204029898,success
center_distance_um,884.0,5.41490470396809,360.4374041350093,success
center_distance_um,940.0,5.539234347951283,363.10818978899624,success
center_distance_um,996.0,6.6929360421074575,362.3565085129958,success
center_distance_um,1052.0,7.195797813651145,367.5098167559918,success
center_distance_um,1108.0,8.012632495531788,363.64313859499816,success
center_distance_um,1164.0,9.545608009862168,373.07710724300705,success
center_distance_um,1220.0,9.375276597423982,364.5139506370033,success
center_distance_um,1276.0,12.319974917945018,372.56397565899533,success
center_distance_um,1332.0,13.121849724579816,374.33658176800236,success
center_distance_um,1388.0,14.977502619882834,368.69437723601004,success
center_distance_um,1444.0,19.42812478868713,252.9179899180017,success
center_distance_um,1500.0,17.384900013602813,249.8806471100106,success
