value_one,value_two,replicate_id,I2_center_final_nM,S2_free_center_final_nM,S2_total_center_final_nM,I2_edge_final_nM,S2_free_edge_final_nM,S2_total_edge_final_nM,half_time_center_hr,half_time_edge_hr,n_samples,wall_time_s,n_cells
0.049999999999999996,200.0,0,58.80014133331415,4.2042402244158685,418.7624873456242,50.223907918365136,5.946620548960503,436.5123075895123,1.0535979325619553,0.7349052629943521,481,128.9943463280797,10728
0.049999999999999996,300.0,0,69.39628578546242,2.646340087362829,392.5213772181239,60.538915471388975,3.9111798675697096,414.87662782422217,1.3588204078281296,0.9476809370433165,481,144.05459128692746,11012
0.049999999999999996,400.0,0,78.05061246901899,1.6878901083941518,363.2711433375604,0.0,2.8675128342919978,2.8675128342919978,1.64380453242011,,481,133.3966506011784,11212
0.049999999999999996,500.0,0,85.36353141466813,1.0295717257856518,325.4091591911187,76.4533444783198,1.8484082994042736,369.539282047373,1.9039599457077476,1.2684085028857564,481,125.63263970986009,11396
0.049999999999999996,600.0,0,90.15542341163538,0.6561027820780707,284.9843279564921,81.66240679812185,1.347934439757762,346.86599732118503,2.054955370923853,1.353505949577057,481,138.3390198200941,11402
0.049999999999999996,700.0,0,93.74146963270933,0.4014918900790475,235.57418561429964,86.21586791552461,0.959965363361006,319.5007287907664,2.13128862857717,1.4308306976419858,481,123.57634354569018,11474
0.049999999999999996,800.0,0,95.80799523155812,0.2632913715047796,191.3722539025977,89.31111780789598,0.7187624319036843,293.61251322119847,2.1307490762601216,1.4836611203328336,481,117.44415798410773,11436
0.049999999999999996,900.0,0,97.14880504885788,0.1766782041050252,151.2024747187635,91.68632435134428,0.5446625628603704,266.78104408744207,2.1012509866074915,1.5326433285236258,481,111.89314509555697,11524
0.049999999999999996,1000.0,0,97.99021960087076,0.1234910967458912,118.666435234398,0.0,0.4942240414760148,0.4942240414760148,2.06542724631088,,481,108.58923948742449,11544
0.09999999999999999,200.0,0,42.21061625919637,4.107300349368421,434.6690804928568,33.80907211567105,5.873415986995012,452.6261408894421,0.9263545024993407,0.5710055703911882,481,128.94200075045228,10728
0.09999999999999999,300.0,0,53.98374987085055,2.557371253630773,406.57678160336366,43.83917591836354,3.843284477929719,431.0415166669333,1.237382747499037,0.7725466110930862,481,131.0975004285574,11012
0.09999999999999999,400.0,0,65.0118529381198,1.6148073283046196,373.9327588867227,0.0,2.814536698014652,2.814536698014652,1.5321836068993413,,481,132.93413922190666,11212
0.09999999999999999,500.0,0,75.43812767944479,0.9772426657687556,331.58406608894376,62.4252341908397,1.8059700948317197,382.39935044066857,1.8037686543108837,1.108533138515949,481,126.73203075304627,11396
0.09999999999999999,600.0,0,82.85476500445492,0.6214406672548493,287.5277588362192,69.47775776715132,1.3182426089441737,357.6847715051569,1.966037513656283,1.2134286970536372,481,124.29913088865578,11402
0.09999999999999999,700.0,0,88.74636478400005,0.3811321752947867,235.43312200166,76.13308159699453,0.9408744459623524,328.0990027999148,2.0568725821218745,1.315233692438711,481,123.6121229827404,11474
0.09999999999999999,800.0,0,92.2944773309518,0.2511027324319259,190.1593404384288,80.95596291887652,0.7061588350721193,300.4794829720113,2.07049013615293,1.388898834728378,481,116.25472923927009,11436
0.09999999999999999,900.0,0,94.67190609050508,0.1693459702242221,149.73815924128886,84.84521012758444,0.5362858593347674,272.19075048731423,2.0541585278083785,1.4559374176373223,481,111.63361560180783,11524
0.09999999999999999,1000.0,0,96.1999704238671,0.1188876656735545,117.33889982295888,0.0,0.4889560207973578,0.4889560207973578,2.0290450778894185,,481,107.52916898950934,11544
0.15,200.0,0,33.03374169504587,4.054471543334997,443.4627974537202,25.53008986044937,5.833932123034536,460.74051614823287,0.8492516640849579,0.47549303383223246,481,129.14578256942332,10728
0.15,300.0,0,44.41106747574968,2.503474142630835,415.28816569637297,34.46761760496773,3.802607637559389,440.08523660475066,1.156186069289487,0.6622376166311796,481,129.35702243074775,11012
0.15,400.0,0,56.0810712866025,1.5664281441402663,381.1906690608552,0.0,2.7798335575744333,2.7798335575744333,1.4519944003671708,,481,135.33293083310127,11212
0.15,500.0,0,68.03800215220821,0.9398516601725696,336.11311210323873,52.96876901120107,1.7759499366625957,391.0017721289749,1.7282099932471005,0.995204034518086,481,123.28955833986402,11396
