distance_between,0,3.33333e-05,6.66667e-05,0.0001,0.000133333,0.000166667,0.0002,0.000233333,0.000266667,0.0003
100,31.14173597148398,34.520818594945275,37.05014617984363,38.99290187742722,40.54063646333031,41.819541377054485,42.91029409728869,43.86465212141496,44.716519835305306,45.48876484178136
200,37.36283355649944,42.21984800671959,45.94889891078686,48.86251986326523,51.20979639975119,53.1630203942744,54.83577690224349,56.302494380314805,57.61268614331354,58.80014133331415
300,42.17363544631685,48.29096035459109,53.04454366091913,56.778474420985646,59.78850896561164,62.28677012487012,64.41613090017985,66.27157412403048,67.9169700512686,69.39628578546242
400,46.35129965811482,53.59259225274051,59.23645039180734,63.65362394989918,67.18526476370644,70.08333378684232,72.52031022432615,74.6121073234595,76.43735143749593,78.05061246901899
500,50.410437062466855,58.7463196029513,65.213697235322,70.21052123758547,74.13038495414189,77.27269049683738,79.84588445496432,81.99188654531837,83.80821591313277,85.36353141466813
600,53.90608752903822,63.11799311819305,70.1754826665279,75.50978119883364,79.57446050627637,82.7236507867359,85.20798999586457,87.20040977751198,88.82111150394613,90.15542341163538
700,57.47923435510793,67.54498577441669,75.09586852555454,80.60657471238592,84.61709310679741,87.5647183419206,89.76481354940583,91.4356202809918,92.72679410754478,93.74146963270933
800,60.73167746496693,71.44269617013182,79.23783244691711,84.66582096409306,88.39310138641326,90.96965893753637,92.78505449516346,94.09634728167816,95.06867475572383,95.80799523155812
900,63.90098956349918,75.13759323406995,82.98533003089753,88.11969166497578,91.4012179521522,93.52230615991348,94.93710401253848,95.9177068397488,96.6234402966422,97.14880504885788
1000,66.95610492074395,78.54416174934909,86.21525038962973,90.86771861108676,93.62301936474609,95.3004563155836,96.37436338581644,97.09925125094335,97.61229308857912,97.99021960087076
