distance_between,0,3.33333e-05,6.66667e-05,0.0001,0.000133333,0.000166667,0.0002,0.000233333,0.000266667,0.0003
100,0.8058800140738178,0.7814043121080192,0.7651298139610747,0.7542621954860405,0.74685925681629,0.7417874426093571,0.7382502245328358,0.7358018958948259,0.734150815464609,0.7331064294087282
200,1.1887574800978975,1.140804524778945,1.1089075315941783,1.0878982949285223,1.0741094707144039,1.0650876583890887,1.0593803652025817,1.0559389032640432,1.054150460844288,1.0535979325619553
300,1.5665322368445036,1.4918918117842717,1.4418599067689066,1.4090432885524014,1.3877616814457214,1.3742088644802741,1.3658657761951831,1.3611921511087144,1.3590770549352988,1.3588204078281296
400,1.9508590727240183,1.8464757442229074,1.7751557317087732,1.7276944745190408,1.6963485342456912,1.67569610351387,1.6621103242453352,1.6532322660441252,1.647484500540897,1.64380453242011
500,2.381571566296183,2.243490099186338,2.1449442317336467,2.0763208483834417,2.027848021321819,1.992307568267377,1.9648092996881499,1.942183138108604,1.9223381949488838,1.9039599457077476
600,2.781576051579178,2.610995791513964,2.4811539265038975,2.384074517848689,2.308905608041843,2.247270654660187,2.1937263310904416,2.14493818464035,2.09901117584067,2.054955370923853
700,3.2266494075882775,3.026435435624791,2.856491521377498,2.7148504923185945,2.5929874391593972,2.4843821003316156,2.3853770645881243,2.29410156203392,2.209596147878514,2.13128862857717
800,3.636004441515667,3.409211280968525,3.189414118023811,2.986213534207389,2.800634596654067,2.6331748724321278,2.4837721906957673,2.3513983309553392,2.2343591339408597,2.1307490762601216
900,4.038031538035568,3.790118111798258,3.5074782150727146,3.221618188032876,2.9565936315349943,2.724791429897876,2.527756588300422,2.36159981891977,2.2210573372285567,2.1012509866074915
1000,4.412995459577617,4.144146773158403,3.7830127220616445,3.3992869932692598,3.053232749000522,2.7660356860936206,2.533982475315034,2.346332427913891,2.192829755850223,2.06542724631088
