time_hours,I2_center_nM,S2_free_center_nM,S2_total_center_nM,I2_edge_nM,S2_free_edge_nM,S2_total_edge_nM
0.0,100.0,0.0,0.0,100.0,0.0,0.0
0.016666666666666666,99.99987403985651,0.0004274252919510727,0.010629955757604026,99.9989811487763,0.003457337044223797,0.08596851073929651
0.03333333333333333,99.99935331621798,0.0017745581343644266,0.054150567719821456,99.99494451322923,0.013759477258951786,0.4229270853602486
0.05,99.99811444733538,0.004242777772719917,0.15693143732936482,99.98569075440861,0.031708960665040586,1.1884087715577765
0.06666666666666667,99.99586696068938,0.007739931865958679,0.3423325278744183,99.9694402837927,0.05601896293605948,2.521412920547289
0.08333333333333333,99.9923948514217,0.012030942516233028,0.6274582047749772,99.94504564179519,0.08465932800128356,4.505507255037917
0.1,99.9875603198304,0.016863583890391134,1.0229601698109947,99.91193742244722,0.11574641508961811,7.173752775167399
0.11666666666666667,99.98128976884142,0.022028572096136186,1.5342247308700285,99.86997597924379,0.147865178840923,10.521336278819275
0.13333333333333333,99.97355576179203,0.027373917057232588,2.1628515306397507,99.81930352924562,0.180075345986869,14.51822841727246
0.15,99.96436120767125,0.03279853100836366,2.9079365550680722,99.76022947076781,0.21180761431879583,19.11916466495519
0.16666666666666666,99.9537274062306,0.03824005619852589,3.7670385383841887,99.6931512892588,0.2427497384841273,24.270701283946774
0.18333333333333332,99.94168570355033,0.04366333024038103,4.736853197523913,99.61850371660233,0.2727555757345011,29.915902021489376
0.2,99.92827194882383,0.04905138450772717,5.813661679710207,99.53672770676675,0.30178111073321373,35.99732323644966
0.21666666666666667,99.91352294623046,0.05439901053910085,6.993618196292554,99.44825245087675,0.32984227603357197,42.458847268303145
0.23333333333333334,99.89747426354997,0.05970837290213575,8.272928041534612,99.35348565213532,0.35698817802982674,49.24676103629936
0.25,99.88015893812168,0.06498609922155432,9.647952820339194,99.25280889375725,0.38328453870084744,56.310349597806095
0.26666666666666666,99.86160676503725,0.07024138519904069,11.115268184195097,99.14657607074346,0.40880368560202607,63.60218240772642
0.2833333333333333,99.8418439569943,0.0754847787937837,12.671691033025784,99.03511361047953,0.4336186579452121,71.07820758040701
0.3,99.82089303719555,0.08072741207293516,14.314287392161093,98.91872169151961,0.4577998669792981,78.69772833989644
0.31666666666666665,99.7987728749122,0.08598052543713035,16.04036831096183,98.79767597590634,0.4814133245271942,86.42330915776773
0.3333333333333333,99.77549880521819,0.09125518150444799,17.847478567725513,98.67222956195438,0.5045198225645673,94.22064185954547
0.35,99.75108279533148,0.0965621011976963,19.73338127737328,98.54261498372702,0.5271746796775332,102.05839088952415
0.36666666666666664,99.7255336336872,0.10191157789107841,21.69604038953606,98.40904615739197,0.5494278162465265,109.90802977698283
0.38333333333333336,99.69885712679762,0.10731344078120338,23.73360233751862,98.27172022023144,0.5713240114706641,117.7436762389329
0.4,99.67105629477035,0.11277704867754619,25.844377622607027,98.13081923593404,0.5929032523550964,125.54193038478506
0.4166666666666667,99.64213156012964,0.11831130197878525,28.026822807432744,97.98651175656668,0.6142011203840453,133.28171857924798
0.43333333333333335,99.61208092702101,0.1239246649109242,30.279523190254583,97.83895424147829,0.6352491838102283,140.9441443000464
0.45,99.58090014943734,0.12962519293253372,32.601176302031945,97.68829233893915,0.6560753773051867,148.51234655675705
0.4666666666666667,99.54858288808515,0.13542056207123634,34.99057628564378,97.53466203921438,0.6767043592549175,155.9713659603646
0.48333333333333334,99.51512085611246,0.14131809817606775,37.446599165437384,97.3781907090423,0.6971578422071836,163.3080182482408
0.5,99.48050395427718,0.14732480486987332,39.9681889847839,97.2189980177909,0.7174548951106208,170.5107749093082
0.5166666666666667,99.44472039632862,0.15344738950710718,42.55434477237127,97.0571967653071,0.7376122178080764,177.56965047507583
0.5333333333333333,99.4077568254692,0.1596922867792358,45.204108289845756,96.89289362091058,0.7576443892490554,184.47609601483256
0.55,99.3695984227893,0.16606567982459655,47.916552510965516,96.72618978227479,0.7775640913811239,191.22289837817593
0.5666666666666667,99.330229008556,0.17257351883326122,50.69077078354605,96.55718156217736,0.7973823108656252,197.8040847523639
0.5833333333333334,99.28963113719979,0.1792215372177197,53.5258666287554,96.38596091035014,0.8171085207652262,204.21483213715268
0.6,99.24778618679314,0.18601526546533004,56.42094413682473,96.21261587694302,0.836750844248648,210.45138138018314
0.6166666666666667,99.20467444376075,0.19296004281078769,59.37509892336442,96.03723102345698,0.8563162022018899,216.51095545788831
0.6333333333333333,99.16027518350302,0.2000610268745459,62.387409615813525,95.85988778640203,0.8758104464557228,222.39168172793214
0.65,99.11456674755958,0.2073232014116229,65.4569298448452,95.68066479840007,0.8952384801550433,228.09251791784615
0.6666666666666666,99.06752661788676,0.21475138230829133,68.582680720638,95.4996381709753,0.9146043666180914,233.6131816499063
0.6833333333333333,99.01913148877355,0.2223502219540963,71.76364377870567,95.31688174285362,0.9339114278679556,238.9540833338989
0.7,98.96935733687616,0.23012421210521633,74.99875438439655,95.13246729722056,0.9531623338688898,244.116262287045
0.7166666666666667,98.91817948980983,0.23807768534328327,78.28689558920166,94.94646475106053,0.9723591833660313,249.10132596396946
0.7333333333333333,98.86557269370037,0.24621481522221447,81.62689243563264,94.75894231941217,0.9915035771095476,253.91139219932006
0.75,98.81151118006407,0.2545396151847075,85.0175067106459,94.56996665712087,1.0105966841419072,258.5490343816632
0.7666666666666667,98.75596873235496,0.2630559363201656,88.45743215040457,94.37960298044513,1.02963930173878,263.0172294898509
0.7833333333333333,98.69891875249165,0.27176746402702473,91.94529010158773,94.18791517067442,1.0486319095187941,267.3193089324753
0.8,98.6403343276513,0.2806777136349266,95.47962564649285,93.99496586173903,1.0675747181734776,271.45891213760297
0.8166666666666667,98.58018829759584,0.2897900250358688,99.05890420083307,93.80081651363224,1.0864677132147578,275.4399428440486
0.8333333333333334,98.51845332277513,0.2991075563684891,102.68150859442429,93.60552747332288,1.105310694092642,279.26652804732856
0.85,98.45510195343212,0.3086332767958948,106.34573664588557,93.4091580247045,1.1241033089980046,282.94297955346735
0.8666666666666667,98.39010669991663,0.3183699584150502,110.04979924305552,93.21176642900875,1.1428450856348078,286.4737580923144
0.8833333333333333,98.32344010439628,0.32832016733455155,113.7918189410553,93.01340995699972,1.161535458220672,289.863439939291
0.9,98.25507481413494,0.3384862539577051,117.5698290898158,92.81414491416415,1.1801737909541474,293.11668599079957
0.9166666666666666,98.18498365649126,0.3488703425091807,121.38177350243217,92.61402666001644,1.1987593981704807,296.2382132341636
0.9333333333333333,98.1131397157708,0.35947431984605394,125.22550667491963,92.41310962254735,1.217291561394242,299.2327685481811
0.95,98.03951641204563,0.3702998235977794,129.09879456682137,92.21144730876071,1.2357695434865195,302.1051047653737
0.9666666666666667,97.96408758203437,0.381348229684602,132.99931595066695,92.00909231216072,1.2541926000759913,304.8599589220161
0.9833333333333333,97.88682756211352,0.3926206392699269,136.92466433650566,91.80609631797621,1.2725599884564867,307.5020326171934
1.0,97.80771122959155,0.4041178652093326,140.87235281785289,91.60251007244281,1.2908709741283213,310.0359751300068
1.0166666666666666,97.72671421958917,0.41584042133328647,144.83981016587617,91.3983834877859,1.3091248378031661,312.4663655067557
1.0333333333333334,97.64381288721728,0.42778849881911507,148.82439144692995,91.19376554325676,1.3273208703368835,314.79770100919234
1.05,97.5589844411871,0.439961960197276,152.82337995756558,90.98870432136778,1.3454583798563284,317.0343842648959
1.0666666666666667,97.47220703757581,0.4523603221717513,156.83399203394418,90.78324701105414,1.3635366889129714,319.1807128486562
1.0833333333333333,97.38345987560865,0.4649827406683999,160.85338241912834,90.57743991187978,1.3815551316301402,321.24087042404744
1.1,97.29272329527623,0.4778279960847673,164.8786501736143,90.37132843957778,1.3995130496257686,323.2189193460029
1.1166666666666667,97.19997887659882,0.49089447876106396,168.90684511064512,90.16495713318982,1.417409786761514,325.11879462554117
1.1333333333333333,97.10520954030984,0.5041801748113366,172.93497473365986,89.9583696640193,1.4352446828638925,326.94429915826555
1.15,97.00839964968694,0.5176826524734113,176.9600116489369,89.75160884656172,1.4530170665735642,328.6991001193594
1.1666666666666667,96.90953511321132,0.5313990491487659,180.97890142210764,89.5447166515265,1.4707262474802638,330.38672642951377
1.1833333333333333,96.80860348768994,0.5453260593142562,184.98857084278748,89.33773422101704,1.4883715077001802,332.01056719849214
1.2,96.70559408142465,0.5594599234972336,188.9859365571495,89.13070188589035,1.5059520930516814,333.5738710557964
1.2166666666666666,96.60049805696414,0.5737964185135718,192.9679140239052,88.92365918527439,1.5234672039838426,335.0797462811041
1.2333333333333334,96.49330853292507,0.5883308491742992,196.93142674491796,88.71664488818045,1.540915986410454,336.5311616507178
1.25,96.3840206843207,0.6030580416703434,200.8734157176306,88.50969701710896,1.5582975226000317,337.93094792015097
1.2666666666666666,96.27263184078993,0.617972338846163,204.79084905269838,88.3028528735114,1.5756108222696046,339.28179986710126
1.2833333333333334,96.15914158207497,0.6330675975711906,208.6807316967645,88.0961490649367,1.5928548140265364,340.5862788233769
1.3,96.04355183005788,0.6483371884127943,212.54011519726322,87.8896215336599,1.6100283372985829,341.84681562877046
1.3166666666666667,95.92586693663,0.6637739978056805,216.36610744356295,87.68330558656251,1.6271301348872558,343.0657139443805
