time_hours,I2_center_nM,S2_free_center_nM,S2_total_center_nM
0.0,100.0,0.0,0.0
0.016666666666666666,99.98587108532968,0.04795089235010866,1.1893667857547854
0.03333333333333333,99.9563384106574,0.10110609289980813,3.6150829177592954
0.05,99.91389254324363,0.14677907071329185,7.043333298659337
0.06666666666666667,99.86072421127163,0.18584317255519675,11.276560480460809
0.08333333333333333,99.79820231212037,0.22096010767727778,16.18456498946734
0.1,99.72707559794527,0.2541582007372732,21.68518962820026
0.11666666666666667,99.64768530196196,0.28678361886887127,27.72635004659866
0.13333333333333333,99.56010324996183,0.31974055018919967,34.27443261115893
0.15,99.46421479262996,0.35367026843829613,41.307145563540956
0.16666666666666666,99.35976879163785,0.3890581421922334,48.80899387865372
0.18333333333333332,99.24640861734908,0.42629532765674333,56.7682629236016
0.2,99.12369210827833,0.4657146827586151,65.17488390472995
0.21666666666666667,98.99110500183484,0.5076120928239272,74.01883145985576
0.23333333333333334,98.84807042630248,0.5522593356358624,83.28885942738917
0.25,98.69395620043758,0.5999118303785078,92.97145478295707
0.26666666666666666,98.52808062827711,0.6508131873524515,103.04997113860293
0.2833333333333333,98.34971775810016,0.705197592554081,113.50389344841727
0.3,98.15810243110387,0.763290650689745,124.30823463011706
0.31666666666666665,97.95243550805326,0.8253090234767794,135.43306552413821
0.3333333333333333,97.7318895702643,0.8914590379332712,146.84318936549684
0.35,97.49561535761806,0.9619343355864709,158.4979764426852
0.36666666666666664,97.24274919036361,1.036912567251091,170.35137637567888
0.38333333333333336,96.97242161462441,1.1165510983922333,182.35212473378706
0.4,96.68376750645524,1.2009816733764882,194.44415764743275
0.4166666666666667,96.37593785867264,1.290303994148096,206.56724271118242
0.43333333333333335,96.04811345035895,1.3845782042821921,218.65782692224852
0.45,95.69952055165912,1.4838163390628023,230.65009283103606
0.4666666666666667,95.32944873610569,1.5879729124125233,242.4772028167499
0.48333333333333334,94.93727074922862,1.6969349659121382,254.07269893911393
0.5,94.52246420776846,1.810512101541807,265.37201286852945
0.5166666666666667,94.08463467572979,1.928427245612322,276.3140279121438
0.5333333333333333,93.62353938816356,2.0503091196668892,286.8426243257731
0.55,93.13911059038011,2.1756875812676775,296.90813133207064
0.5666666666666667,92.63147716446814,2.303993085264384,306.46860606132645
0.5833333333333334,92.10098297707619,2.434561440284548,315.4908624181983
0.6,91.54820026284257,2.5666447424241845,323.9511827133219
0.6166666666666667,90.97393641559368,2.6994288378960083,331.8356621213684
0.6333333333333333,90.37923283583521,2.8320569321280593,339.1401599178271
0.65,89.76535498500186,2.9636581222829457,345.86986003399704
0.6666666666666666,89.1337734851356,3.0933788358140397,352.0384736094451
0.6833333333333333,88.48613689142482,3.220414583369361,357.66714403033376
0.7,87.82423753628561,3.344039226111693,362.7831365382884
0.7166666666666667,87.14997247300751,3.4636291852116075,367.4184068589008
0.7333333333333333,86.46530193394716,3.5786806515782263,371.60814498886475
0.75,85.77220781056046,3.688818757308668,375.3893817471491
0.7666666666666667,85.07265446627181,3.7937986602218845,378.7997290976451
0.7833333333333333,84.36855384313587,3.8934993678603242,381.87630319111827
0.8,83.6617357865502,3.987911849217472,384.6548605262516
0.8166666666666667,82.95392509822615,4.077123123267826,387.16914596512294
0.8333333333333334,82.24672464169836,4.161298307322209,389.4504496592304
0.85,81.54160460188558,4.240662220959231,391.52734602744613
0.8666666666666667,80.83989716630546,4.315481865876988,393.4255861749733
0.8833333333333333,80.14279578680097,4.386050693933062,395.16811177281005
0.9,79.45135810401783,4.4526751898821555,396.7751592870113
0.9166666666666666,78.7665116318202,4.515663969929363,398.26442653520655
0.9333333333333333,78.08906137625985,4.575319351948123,399.6512778419592
0.95,77.41969867704556,4.631931189502386,400.94896876586483
0.9666666666666667,76.75901068731773,4.685772669442023,402.16887592224043
0.9833333333333333,76.10749003454656,4.7370977361888364,403.3207214884666
1.0,75.46554432176896,4.786139808423807,404.41278539235105
1.0166666666666666,74.8335052289451,4.833111481092505,405.4521009093617
1.0333333333333334,74.21163705708199,4.878204945883718,406.44463147262707
1.05,73.60014462328292,4.921592908258848,407.39542801258716
1.0666666666666667,72.99918046468312,4.963429823251133,408.30876718976106
1.0833333333333333,72.40885134558096,5.003853312424607,409.18827156279417
1.1,71.82922408739944,5.0429856590405935,410.03701313390104
1.1166666666666667,71.26033075772428,5.080935307193452,410.8576019106271
1.1333333333333333,70.70217326461542,5.117798313682662,411.65226117758823
1.15,70.15472740740678,5.1536597192864155,412.42289113197546
1.1666666666666667,69.61794643670191,5.1885948196454414,413.1711224377484
1.1833333333333333,69.09176417534395,5.2226703259293545,413.8983611214639
1.2,68.57609774963241,5.255945412563591,414.60582608575794
1.2166666666666666,68.07084997660623,5.28847265417458,415.2945803668815
1.2333333333333334,67.5759114492686,5.320298857100205,415.965557118263
1.25,67.09116235751328,5.351465792740433,416.61958116752623
1.2666666666666666,66.61647407844386,5.3820108410402385,417.2573868722238
1.2833333333333334,66.15171056589395,5.411967552764768,417.87963289069455
1.3,65.69672956534437,5.441366139155423,418.4869143889021
1.3166666666666667,65.2513836771344,5.470233897193747,419.07977312120516
1.3333333333333333,64.81552128789451,5.498595578161689,419.65870575175717
1.35,64.38898738748468,5.526473706553661,420.22417072247555
1.3666666666666667,63.97162428639179,5.553888855721248,420.7765939220379
1.3833333333333333,63.56327224649731,5.580859885959632,421.31637336698924
1.4,63.16377003634925,5.607404150094712,421.84388306966576
1.4166666666666667,62.77295542053292,5.633537671022457,422.35947623724246
1.4333333333333333,62.39066559140531,5.6592752950921925,422.86348792091565
1.45,62.01673755031478,5.684630824720725,423.3562372132187
1.4666666666666666,61.65100844444609,5.709617133169029,423.8380290740808
1.4833333333333334,61.293315864589786,5.734246264014165,424.30915585186176
1.5,60.94349810841538,5.758529517494176,424.76989855374745
1.5166666666666666,60.60139441321263,5.782477525596843,425.22052791012777
1.5333333333333334,60.26684516153927,5.806100317494423,425.6613052695561
1.55,59.93969206276459,5.829407376695162,426.09248335429885
1.5666666666666667,59.61977831311378,5.85240769108253,426.5143069010736
1.5833333333333333,59.30694873648925,5.8751097968419685,426.9270132071449
1.6,59.00104990806405,5.897521817128198,427.33083259831
1.6166666666666667,58.70193026240034,5.9196514962000375,427.7259888323342
1.6333333333333333,58.40944018763891,5.941506229643604,428.1126994489601
1.65,58.123432107127,5.963093091212965,428.49117607561965
1.6666666666666667,57.84376054969724,5.984418856739938,428.86162469634866
1.6833333333333333,57.57028220967737,6.005490025499253,429.22424589006425
1.7,57.30285599759489,6.026312839358724,429.57923504327573
1.7166666666666666,57.04134308243981,6.046893299997039,429.9267825414003
1.7333333333333334,56.78560692626104,6.0672371844312885,430.26707394212383
1.75,56.535513311795015,6.08735005906204,430.6002901336427
1.7666666666666666,56.290930363757816,6.10723729241486,430.92660748013134
1.7833333333333334,56.051728564372155,6.1269040667321315,431.24619795637295
1.8,55.81778076364837,6.146355388548186,431.5592292731583
1.8166666666666667,55.588962184891635,6.165596098363285,431.86586499478443
1.8333333333333333,55.36515042586608,6.184630879515333,432.16626464975815
1.85,55.14622545600929,6.203464266337069,432.46058383562394
1.8666666666666667,54.932069610057745,6.222100651673882,432.7489743186822
1.8833333333333333,54.722567578413106,6.240544293828127,433.0315841292377
1.9,54.517606394552985,6.258799322988257,433.30855765291074
1.9166666666666667,54.317075419765025,6.276869747193369,433.58003571846115
1.9333333333333333,54.12086632546102,6.294759457877742,433.84615568249654
1.95,53.9288730733077,6.31247223503536,434.1070515113826
1.9666666666666666,53.740991893392376,6.330011752038802,434.362853860621
1.9833333333333334,53.55712126062499,6.347381580144076,434.6136901519156
2.0,53.377161869562435,6.3645851927085735,434.8596846481203
2.0166666666666666,53.201016607827285,6.38162596914708,435.10095852622493
2.033333333333333,53.02859052827961,6.398507198647685,435.337629948517
2.05,52.85979082008909,6.4152320836675685,435.56981413203624
2.066666666666667,52.69452677884325,6.431803743225883,435.7976234164167
2.0833333333333335,52.53270977581744,6.448225216010442,436.0211673302066
2.1,52.37425322652299,6.464499463312025,436.24055265573315
2.1166666666666667,52.21907255864098,6.480629371799464,436.45588349257895
2.1333333333333333,52.06708517944098,6.4966177561476,436.66726131972234
2.15,51.918210442776754,6.512467361528464,436.87478505638876
2.1666666666666665,51.77236961574359,6.528180865975568,437.07855112165674
2.183333333333333,51.62948584507585,6.543760855942819,437.2786534661637
2.2,51.489484124217135,6.559209929665817,437.475183725364
2.216666666666667,51.3522912571807,6.574530558819441,437.6682311497498
2.2333333333333334,51.21783582630606,6.589725172007942,437.85788272885947
2.25,51.086048158003116,6.604796142697295,438.0442232336433
2.2666666666666666,50.95686028877683,6.619745789499996,438.22733526821384
2.283333333333333,50.83020593138418,6.6345763776329,438.4072993214581
2.3,50.7060204411398,6.649290120476678,438.5841938176995
2.316666666666667,50.58424078240412,6.663889181102264,438.7580951663424
2.3333333333333335,50.464805495289234,6.67837567374269,438.9290778105064
2.35,50.34765466261468,6.692751665207374,439.09721427466644
2.3666666666666667,50.23272987714338,6.707019176240481,439.26257521131475
2.3833333333333333,50.119974209124855,6.7211801828254725,439.425229446659
2.4,50.0093321741704,6.735236617438692,439.58524402537125
2.4166666666666665,49.900749701482496,6.749190370254793,439.74268425440187
2.433333333333333,49.794174102458356,6.763043290306141,439.89761374587107
2.45,49.68955403968551,6.77679718659914,440.0500944590527
2.466666666666667,49.586839496345256,6.790453829189197,440.20018674146263
2.4833333333333334,49.485981746038,6.80401495021667,440.34794936906314
2.5,49.38693332304266,6.817482244905861,440.4934395856006
2.5166666666666666,49.28964799302087,6.830857372528738,440.6367131410844
2.533333333333333,49.19408072417516,6.844141957335073,440.7778243294222
2.55,49.100187658868755,6.857337589450959,440.91682602522525
2.566666666666667,49.00792608571365,6.870445825746578,441.05376971979456
2.5833333333333335,48.91725441213202,6.883468190675425,441.18870555630144
2.6,48.82813213739526,6.896406177085533,441.3216823641765
2.6166666666666667,48.740519826143746,6.909261247004745,441.4527476927167
2.6333333333333333,48.65437908238939,6.922034832400477,441.58194784392714
2.65,48.569672524002335,6.9347283359155645,441.70932790460705
2.6666666666666665,48.48636375768224,6.947343131581058,441.8349317776946
2.683333333333333,48.40441735441377,6.959880565506979,441.9588022128824
2.7,48.32379882540542,6.972341956552025,442.08098083651737
2.716666666666667,48.24447459850984,6.984728596972743,442.20150818079554
2.7333333333333334,48.16641199512362,6.9970417530537725,442.3204237122668
2.75,48.08957920756358,7.009282665719003,442.43776585966083
