time_hours,I2_center_nM,S2_free_center_nM,S2_total_center_nM,I2_avg_nM,S2_free_avg_nM,S2_total_avg_nM,Th2_avg_nM
0.0,100.0,0.0,0.0,100.0,0.0,0.0,4999.999999999999
0.016666666666666666,99.99999999999999,1.4086695367250035e-08,1.4086695367250035e-08,100.0,9.397218342553088e-06,9.397218342553088e-06,4999.999999999999
0.03333333333333333,99.99999999154798,9.384505458666926e-08,4.253433097214724e-06,99.99999436167032,6.26981325903962e-05,0.002837554550833479,4999.997180841131
0.05,99.99999978843502,3.4043219510959797e-07,0.00010494901855696449,99.99985841684727,0.00022785092486234357,0.07023248811112316,4999.92921190902
0.06666666666666667,99.99999925871832,8.950939512125213e-07,0.00036794394802205856,99.99950316812712,0.0006002681016133476,0.246589464778931,4999.7516190546485
0.08333333333333333,99.99999813235166,1.915025115235455e-06,0.0009278541850998693,99.99874620640031,0.0012869064638114907,0.6227593614358371,4999.373305192859
0.1,99.99999605743785,3.5477969692732038e-06,0.001960346921014515,99.99734887584438,0.0023890531717259316,1.3176058720759225,4998.67528252518
0.11666666666666667,99.99999261836957,5.913491359683214e-06,0.0036731315482968862,99.99502825458578,0.003989934708841912,2.4717924068750396,4997.516945887156
0.13333333333333333,99.99998735814698,9.097064333535968e-06,0.006294814861557108,99.99147232523612,0.006148977447301112,4.239774898011804,4995.744101563357
0.15,99.99997979985687,1.3149027808498079e-05,0.010064140553932307,99.98635499249322,0.008901617256525851,6.7816781102763795,4993.197078817487
0.16666666666666666,99.99996946437847,1.8091084228503655e-05,0.015221097660414904,99.97934891518909,0.012262536101955462,10.256112026080913,4989.717879208574
0.18333333333333332,99.99995588319825,2.392373610077372e-05,0.022000469936594318,99.9701352979044,0.016230390633171266,14.814414063838433,4985.155889955402
0.2,99.99993860640939,3.063390801954822e-05,0.030627797064607172,99.95841058165782,0.02079271844695804,20.59640881710314,4979.372078866177
0.21666666666666667,99.99991720657673,3.820157222781805e-05,0.04131741032148254,99.94389039913985,0.025930312032639936,27.727556851399882,4972.241804981054
0.23333333333333334,99.99989127935419,4.660502784127479e-05,0.054272100514725835,99.92631132499201,0.03162077974243173,36.317269136781064,4963.65647108019
0.25,99.99986028611562,5.589981488040187e-05,0.06980660061427292,99.90537536418614,0.03787739152637718,46.50366949579675,4953.496666699722
0.26666666666666666,99.99982392923559,6.594385902655177e-05,0.08802808243254473,99.88087544188672,0.04461676670419447,58.3351352501459,4941.695719800198
0.2833333333333333,99.99978183449024,7.67848791061931e-05,0.10912384034484898,99.85259672384824,0.051847352925842194,71.87494239350491,4928.190601356655
0.3,99.99973363185828,8.842626659451686e-05,0.1332789846560154,99.82033864894713,0.05955517379020843,87.17110724284596,4912.933525334327
0.31666666666666665,99.99967895086813,0.0001008796114412781,0.16067882612427137,99.78391268901234,0.06773026368744729,104.25716907497737,4895.891198097009
0.3333333333333333,99.99961741472575,0.00011416650273512702,0.19151181775837386,99.74313969624934,0.07636728744115269,123.15323194047048,4877.043782068054
0.35,99.99954863427466,0.0001283189882345885,0.22597257892587794,99.69784723966238,0.08546567333329495,143.86708301660133,4856.38378167854
0.36666666666666664,99.99947220186993,0.00014337990117292088,0.2642649615135958,99.64786702290074,0.09502960003390432,166.39533143641702,4833.9149079267145
0.38333333333333336,99.99938768518275,0.00015940316155982885,0.30660515028205504,99.5930324367496,0.10506789985973168,190.7245317026268,4809.650957476784
0.4,99.99929462091939,0.00017645410505119812,0.35322480522109184,99.5331762790708,0.11559391157559817,216.83226767490675,4783.614730344993
0.4166666666666667,99.99919250841918,0.00019460987371833923,0.40437426356751643,99.46812866232453,0.12662530327662722,244.688181659255,4755.8370016821145
0.43333333333333335,99.99908080308433,0.0002139598911196339,0.4603258253287435,99.39771512121328,0.13818387740944493,274.2549394468068,4726.355556838427
0.45,99.99895890958611,0.00023460643554264936,0.5213771497345717,99.32175492905476,0.15029536375278055,305.48912681134505,4695.214294227911
0.4666666666666667,99.99882617478937,0.00025666531895484143,0.5878547917049604,99.2400596301932,0.1629892015229622,338.3420763700219,4662.462397105098
0.48333333333333334,99.99868188033692,0.00028026667439950194,0.660117907654308,99.15243179628855,0.17629830834440394,372.76062613527563,4628.153572938484
0.5,99.99852523483592,0.00030555585086091937,0.7385621590941818,99.05866401601807,0.1902588314136295,408.68781276393094,4592.345357384203
0.5166666666666667,99.99835536559323,0.00033269441172705856,0.8236238408028351,98.9585381299905,0.2049098746656252,446.06350361489757,4555.098478761658
0.5333333333333333,99.99817130985008,0.0003618612307687281,0.9157842580149987,98.85182472497321,0.22029319507341466,484.8249723899355,4516.476278279582
0.55,99.99797200547212,0.000393253678024061,1.0155743743576044,98.73828290334039,0.23645286137898555,524.9074234488332,4476.544180961139
0.5666666666666667,99.99775628105701,0.000427088887223616,1.1235797493502069,98.6176603444604,0.2534348695995005,566.2444699308807,4435.369212199641
0.5833333333333334,99.99752284542613,0.00046360509658932884,1.2404457814842507,98.48969367406252,0.2712867116115535,608.7685706290114,4393.019555091068
0.6,99.99727027647327,0.0005030630562012637,1.3668832705317593,98.35410915502452,0.29005689598748075,652.4114301888837,4349.5641440955915
0.6166666666666667,99.9969970093438,0.0005457474978386333,1.503674311199844,98.21062370817263,0.3097944239643854,697.1043666733368,4305.072291143561
0.6333333333333333,99.99670117027796,0.0005930483155452943,1.651885545257939,98.05888957576272,0.33088921447028347,742.756140918209,4259.594578797489
0.65,99.99638100759734,0.0006433714166154482,1.812276956633806,97.89866190462081,0.3527698122579883,789.3162111960771,4213.217873707172
0.6666666666666666,99.9960344641234,0.0006979341949198449,1.9858785913475916,97.72964262123742,0.37575878158376624,836.7155940175637,4166.01183005606
0.6833333333333333,99.99565927249435,0.0007571598646129716,2.173824894140642,97.55152833538841,0.39990770594523456,884.8868545899625,4118.0442364153405
0.7,99.99525181168602,0.0008214900199868884,2.3779220270065555,97.36372106793006,0.4252628953595985,933.8489510200397,4069.2981267687946
0.7166666666666667,99.99481030977599,0.0008914710215358059,2.599060392745132,97.16617889132917,0.4518835384522672,983.456152975119,4019.918252754235
0.7333333333333333,99.99433177646767,0.000967547078664229,2.838735223827393,96.95860383692839,0.47978988518949295,1033.6451341986574,3969.9682747864163
0.75,99.99381295261722,0.001050264349323167,3.09857595474869,96.7407067061378,0.5090148620030271,1084.3541537100268,3919.510269995609
0.7666666666666667,99.99325028878613,0.0011402133500140782,3.3803568023114288,96.51220963791987,0.5395878213664366,1135.523239982676,3868.6045294514843
0.7833333333333333,99.99263992332303,0.0012380305383828366,3.686007623431336,96.27284877276391,0.5715340777746929,1187.0943118990936,3817.3094340732555
0.8,99.99197765896614,0.0013444014913115679,4.01762549356749,96.02237679213445,0.6048747952692638,1239.0112699365736,3765.6813607940935
0.8166666666666667,99.99125893782423,0.0014600643696581158,4.3774870723751045,95.76056528213672,0.6396269590624105,1291.2200625763576,3713.7746137664335
0.8333333333333334,99.99047881464135,0.0015858135919419006,4.768061798933745,95.48720689597403,0.6758033896081646,1343.668730701122,3661.64137782215
0.85,99.98963192827497,0.001722503683448294,5.192025947389507,95.20211730462776,0.713412774749135,1396.3074327887762,3609.331691365662
0.8666666666666667,99.98871247132811,0.0018710532806146913,5.652277566375624,94.90513693497326,0.7524597030753096,1449.0884539291405,3556.893435661984
0.8833333333333333,99.98771415787992,0.0020324492885932842,6.151952323424879,94.59613249911233,0.7929446903093991,1501.9662017213336,3504.3723374580063
0.9,99.98663018924667,0.0022077512145156093,6.694440280582632,94.27499831805471,0.8348642003721221,1554.897191883785,3451.8119821131795
0.9166666666666666,99.9854532176762,0.002398095727472863,7.2834036405453,93.94165743794022,0.8782106720774827,1607.84002595505,3399.2538348827907
