param_value,I2_center_final_nM_mean,I2_center_final_nM_std,S2_free_center_final_nM_mean,S2_free_center_final_nM_std,S2_total_center_final_nM_mean,S2_total_center_final_nM_std,I2_avg_final_nM_mean,I2_avg_final_nM_std,S2_free_avg_final_nM_mean,S2_free_avg_final_nM_std,S2_total_avg_final_nM_mean,S2_total_avg_final_nM_std,half_time_center_hr_mean,half_time_center_hr_std,half_time_avg_hr_mean,half_time_avg_hr_std
200.0,1.9392799593659,,151.95173031106,,5248.897691930772,,1.9032564131988945,,155.79867390419986,,5252.665143285973,,0.3971042810820301,,0.3206918411240988,
300.0,2.544953384653658,,115.09394073037548,,5209.648721891208,,2.471155419255438,,119.14447563947836,,5213.764863991406,,0.56043490510452,,0.4546937515072553,
500.0,4.032574225264912,,71.54741384306512,,5160.740579225655,,3.8335808161371774,,75.72800012711748,,5164.960093632163,,0.9016655318274452,,0.7352579176223766,
800.0,8.328479206746456,,33.10695185963154,,5100.4845539269045,,7.508364647034737,,37.35382600882159,,5108.093484022268,,1.562623487870624,,1.2424188636238718,
1000.0,15.68898675481889,,16.177438835012026,,5032.631448549223,,13.07729503383656,,20.39656046796544,,5051.947572913565,,2.2708892929606397,,1.6951510640699803,
1100.0,23.46850135989315,,9.828390952288164,,4958.234320541342,,18.2075666757182,,14.013712960105725,,5001.706305523289,,2.7956934402942717,,1.9485869547569077,
1200.0,40.13773959206746,,4.502958081296337,,4775.210317767016,,27.50182520534478,,8.58285376988667,,4913.50201027734,,3.5993540407213946,,2.184582836003286,
1300.0,69.21734650592603,,1.3889009308554503,,4155.417245021228,,40.99858265221825,,5.146514748906324,,4718.38040168694,,4.412488563608761,,2.275195349680165,
1500.0,97.6811389560886,,0.0736868932006701,,961.3338841514824,,63.96376281590771,,2.1936519342472303,,3899.0785853250254,,4.505375095470746,,2.413904140969764,
1600.0,99.13977619944716,,0.0268371177683274,,397.4235199151224,,71.12299625940905,,1.5653831974420942,,3498.878301938532,,4.324876202987887,,2.4968171595884283,
1800.0,99.83976466451637,,0.0049326445151635,,78.25808132252965,,82.71348278549034,,0.7662301391029522,,2677.729284768004,,4.003600377776868,,2.666312312065625,
