time_hr,I2_uM,S2_free_uM,S2_total_uM
0.027777777777777776,0.09999999999999998,2.3051077854921436e-17,5.268427139050886e-16
0.05555555555555555,0.09999999999959239,3.4247445084245837e-12,2.0765563968466937e-10
0.08333333333333333,0.0999999998544111,6.406675423167488e-10,7.355897946210746e-08
0.1111111111111111,0.09999999569468881,1.1799284764888883e-08,2.168113062224237e-06
0.1388888888888889,0.09999996014634428,7.555230816361927e-08,2.0036210306972787e-05
0.16666666666666666,0.099999804468232,2.749182327763573e-07,9.820609416751534e-05
0.19444444444444445,0.09999934818959069,7.137790192635755e-07,0.00032716324993851677
0.2222222222222222,0.099998314994471,1.4896291018661048e-06,0.0008453597461050762
0.25,0.09999635154983466,2.6759229546808477e-06,0.00182969777592857
0.2777777777777778,0.0999930572335744,4.3161629521118386e-06,0.0034804957220816394
0.3055555555555556,0.09998801459580803,6.425848371311032e-06,0.006006012122706539
0.3333333333333333,0.09998081492873148,8.998084710326577e-06,0.009609347988678003
0.3611111111111111,0.09997107698536886,1.2010034652711963e-05,0.01447873098919146
0.3888888888888889,0.0999584590218455,1.5428754140597387e-05,0.02078112629744706
0.4166666666666667,0.09994266528384141,1.921586413601632e-05,0.028658646152667444
0.4444444444444444,0.0999234482983538,2.3330998947306312e-05,0.03822710438476954
0.4722222222222222,0.09990060822884933,2.7734188230575385e-05,0.04957610529471232
0.5,0.09987399032132645,3.2387394839534135e-05,0.06277016284375277
0.5277777777777778,0.09984348122072019,3.725542409313045e-05,0.07785046256256078
0.5555555555555556,0.09980900471847332,4.230638595539386e-05,0.09483698210658408
0.5833333333333334,0.09977051731707738,4.7511851846492284e-05,0.11373076997841142
0.6111111111111112,0.09972800386505991,5.2846811622526635e-05,0.1345162458439428
0.6388888888888888,0.09968147341972627,5.8289506689837694e-05,0.15716343301982275
0.6666666666666666,0.0996309554271917,6.382119243193453e-05,0.18163006761356332
0.6944444444444444,0.09957649626283167,6.942586620676874e-05,0.2078635526637069
0.7222222222222222,0.09951815614443682,7.508998493104972e-05,0.23580274208804777
0.75,0.09945600641062728,8.080218759114261e-05,0.26537955034540994
0.7777777777777778,0.09939012714510928,8.655303197900718e-05,0.2965203909838946
0.8055555555555556,0.09932060512069851,9.233475082126971e-05,0.3291474518135216
0.8333333333333334,0.09924753203396994,9.814102970287527e-05,0.36317981712230263
0.8611111111111112,0.09917100300065253,0.00010396680738090019,0.3985344487402503
0.8888888888888888,0.0990911152826392,0.00010980809794680779,0.4351270382654299
0.9166666666666666,0.09900796721909857,0.00011566183361734571,0.47287274269724416
0.9444444444444444,0.09892165733629255,0.00012152572656687517,0.5116868152838767
0.9722222222222222,0.09883228361301759,0.00012739814805270554,0.5514851427292488
1.0,0.09873994288094505,0.00013327802305716574,0.5921846991206466
1.0277777777777777,0.09864473034142482,0.00013916473872538376,0.6337039260999513
1.0555555555555556,0.09854673918246395,0.00014505806498178186,0.6759630479549995
1.0833333333333333,0.09844606028157715,0.00015095808583804777,0.7188843294826648
1.1111111111111112,0.0983427819819986,0.00015686514004559836,0.7623922836902104
1.1388888888888888,0.09823698993136361,0.00016277976988655343,0.8064138356670285
1.1666666666666667,0.09812876697339258,0.00016870267703295448,0.8508784482801829
1.1944444444444444,0.09801819308438493,0.0001746346845309178,0.8957182147259487
1.2222222222222223,0.09790534534743583,0.00018057670408284007,0.9408679224049379
1.25,0.09779029795826158,0.0001865297079060135,0.986265092078294
1.2777777777777777,0.0976731222573682,0.00019249470454011137,1.0318499958034504
1.3055555555555556,0.09755388678403391,0.0001984727180594593,1.0775656567366874
1.3333333333333333,0.09743265734820916,0.00020446477021957008,1.1233578335220478
1.3611111111111112,0.09730949711699494,0.00021047186513191066,1.1691749916584435
1.3888888888888888,0.09718446671283285,0.00021649497611721399,1.214968263945226
1.4166666666666667,0.09705762432095154,0.00022253503443668587,1.2606914018473705
1.4444444444444444,0.09692902580397018,0.00022859291964310351,1.306300719391683
1.4722222222222223,0.0967987248218553,0.00023466945133070074,1.351755031001857
1.5,0.0966667729556981,0.0002407653820947341,1.3970155844999637
1.5277777777777777,0.09653321983399671,0.0002468813915392455,1.4420459903426859
1.5555555555555556,0.09639811326031938,0.0002530180811953966,1.486812148019795
1.5833333333333333,0.0962614993413925,0.00025917597023332787,1.531282170418139
1.6111111111111112,0.09612342261479163,0.00026535549186821786,1.5754263068447256
1.6388888888888888,0.09598392617553875,0.0002715569903764995,1.6192168653059478
1.6666666666666667,0.09584305180100779,0.00027778071865129894,1.6626281345547729
1.6944444444444444,0.09570084007362736,0.00028402683623743997,1.7056363063429567
1.7222222222222223,0.09555733050094432,0.00029029540779603006,1.7482193982493555
1.75,0.09541256163267678,0.0002965864019569085,1.7903571773976077
1.7777777777777777,0.0952665711744335,0.0003028996905243148,1.8320310853256707
1.8055555555555556,0.09511939609782649,0.0003092350480071272,1.8732241642251137
1.8333333333333333,0.0949710727467419,0.00031559215145014795,1.9139209847291825
1.8611111111111112,0.09482163693956519,0.0003219705805471772,1.95410757539444
1.8888888888888888,0.09467112406718485,0.00032836981802025663,1.993771353991149
1.9166666666666667,0.09451956918662711,0.0003347892502524059,2.0329010606914864
1.9444444444444444,0.09436700711019058,0.00034122816816367163,2.0714866932222527
1.9722222222222223,0.09421347248996664,0.00034768576832226066,2.109519444029092
2.0,0.09405899989765674,0.0003541611542841061,2.146991639482284
2.0277777777777777,0.09390362389959939,0.0003606533381554044,2.1838966811396467
2.0555555555555554,0.09374737912693917,0.0003671612423735422,2.2202289890694282
2.0833333333333335,0.09359030034088607,0.0003736837017024071,2.255983947225433
2.111111111111111,0.0934324224930126,0.0003802194654384277,2.2911578508573527
2.138888888888889,0.09327378078056135,0.00038676719982377785,2.325747855931675
2.1666666666666665,0.09311441069673061,0.00039332549066311016,2.3597519305319885
2.1944444444444446,0.09295434807592991,0.0003998928461399175,2.3931688082019473
2.2222222222222223,0.09279362913399872,0.0004064676998282162,2.4259979431900796
2.25,0.09263229050339201,0.00041304841389472915,2.4582394675516377
2.2777777777777777,0.09247036926335361,0.0004196332824860648,2.4898941500599565
2.3055555555555554,0.09230790296509905,0.0004262205352947071,2.5209633568777723
2.3333333333333335,0.09214492965205033,0.00043280834129679754,2.5514490139369514
2.361111111111111,0.09198148787516623,0.00043939481265384267,2.581353570974176
2.388888888888889,0.09181761670343526,0.00044597800876960253,2.6106799671693413
2.4166666666666665,0.09165335572959622,0.00045255594049247756,2.6394315983330583
2.4444444444444446,0.09148874507117498,0.00045912657445281287,2.667612285589636
2.4722222222222223,0.09132382536693372,0.000465687837523617,2.6952262455021487
2.5,0.09115863776883787,0.0004722376213923063,2.7222780615867523
2.5277777777777777,0.09099322392966595,0.0004787737872302444,2.7487726571640163
2.5555555555555554,0.0908276259863922,0.00048529417044601103,2.774715269496046
2.5833333333333335,0.09066188653948835,0.000491796585507643,2.8001114251589767
2.611111111111111,0.09049604862830547,0.0004982788308183743,2.8249669166018094
2.638888888888889,0.0903301557026992,0.0005047386936298573,2.8492877798436145
2.6666666666666665,0.09016425159108571,0.0005111739549763028,2.873080273262429
