value_one,value_two,replicate_id,I2_center_final_nM,S2_free_center_final_nM,S2_total_center_final_nM,I2_edge_final_nM,S2_free_edge_final_nM,S2_total_edge_final_nM,half_time_center_hr,half_time_edge_hr,n_samples,wall_time_s,n_cells
0.1,5.9999999999999995e-05,0,12.701361981216971,8.37389854021254,195.63521585322303,11.691356798939836,9.182956503343664,197.44575144116027,1.0679166891384078,0.9191506290036675,481,1768.216699882003,11024
0.1,7.5e-05,0,16.268680534925867,7.814713186456362,191.2162623203824,14.93936392974767,8.630755718624178,193.39384507174984,1.058052719920764,0.9090973150411376,481,1603.2492679420393,11024
0.1,9.999999999999999e-05,0,22.21502502803051,7.062084310695066,183.9938881716899,20.343981970851036,7.888993675312791,186.7940556182297,1.0376555861572592,0.8893895038296338,481,1614.1656403829693,11024
0.1,0.00015,0,33.47449041859607,5.984923979178193,170.45277857667983,30.594830196789985,6.830635952190255,174.45649419689585,0.9883663604639643,0.8440139286388715,481,1296.9293602840044,11024
0.1,0.0003,0,58.75576080362588,4.206094364302226,138.90783810324857,54.08900662038464,5.090097898717228,145.55264225405148,0.8373975054926267,0.7079894958089811,481,1412.7578829830163,11024
0.2,5.9999999999999995e-05,0,12.900965530514505,8.227766429343966,294.68543635702525,11.82291015804226,9.066642654789472,296.6268298912198,1.1796032014340236,0.9922950633674799,481,1903.3147522010258,11024
0.2,7.5e-05,0,16.584135664586814,7.638594521792666,289.86877845933367,15.145058529189846,8.49174096860249,292.259676606044,1.1746083210122926,0.9846747506798597,481,1997.5215838419972,11024
0.2,9.999999999999999e-05,0,22.777845132420904,6.837762388697313,281.8560592074954,20.70586861648188,7.713713746805528,285.04515129321527,1.1618257443258568,0.9686392962842394,481,1757.1878475350095,11024
0.2,0.00015,0,34.68063144800521,5.670612303047341,266.33983309940606,31.3577645838936,6.588333411588325,271.22987957323653,1.1259264528212714,0.9289553343093151,481,1604.772671344981,11024
0.2,0.0003,0,62.01126786273516,3.670506315791624,226.73366714301645,56.1345578722364,4.68614464964922,236.6861641475045,0.9985552338064605,0.7956534679910429,481,1319.8723216340295,11024
0.4,5.9999999999999995e-05,0,13.32033534131688,7.935634482350808,492.6611410555559,12.09601104407738,8.83411624721701,494.9027767178481,1.4037946476396514,1.1374814022640438,481,2217.10349869699,11024
0.4,7.5e-05,0,17.254365253319676,7.286663033523773,486.95912442207066,15.575420965322662,8.21394462945488,489.8495806994114,1.4105771613339377,1.1354430802008537,481,2053.4833365789964,11024
0.4,9.999999999999999e-05,0,23.996168423041706,6.389967724594693,477.1331168998176,21.47330563191148,7.363789154043913,481.2847467688895,1.4170719989956795,1.1278024659139672,481,2208.3474181519705,11024
0.4,0.00015,0,37.36974301997693,5.045558370594532,456.8197912283634,33.00694936109248,6.106337170670511,464.08461733472245,1.417012570044732,1.100382361529052,481,1809.6265978330048,11024
0.4,0.0003,0,69.36913120075354,2.645352751102649,392.8020712584024,60.53313175746573,3.910104247703286,415.0774487492775,1.3599341179994782,0.9481043508783756,481,1768.9572767729987,11024
0.8,5.9999999999999995e-05,0,14.253515350694268,7.351833131549828,888.1154585383175,12.687091657487306,8.369413631546063,891.1346066397929,1.8623975618632331,1.4239332563382578,481,2072.438628230011,11024
0.8,7.5e-05,0,18.78229878814768,6.5839988465206725,880.2225913457307,16.52193740371925,7.659257114115335,884.4872647812505,1.9023743526973116,1.4345112418526005,481,2257.179408476979,11024
0.8,9.999999999999999e-05,0,26.881512558021505,5.498158803364364,865.6063683466066,23.20140099022542,6.666754165053712,872.6315962541643,1.9670115287913066,1.4440885830736074,481,2206.208347614971,11024
0.8,0.00015,0,44.14338539693069,3.814865339632276,830.3514155843885,36.84687203335001,5.156368272803216,846.3891624540445,2.0897065319638926,1.4251100569110953,481,2288.2792656719685,11024
0.8,0.0003,0,85.95087594334595,0.9824020232376628,628.168543771976,69.66614778018538,2.613128483432381,750.8645801012932,2.120769123428987,1.0629628068496164,481,2001.8188976090169,11024
1.6,5.9999999999999995e-05,0,16.638557213072925,6.186020138459351,1676.380660215037,14.078332911349674,7.441282296815887,1682.728172135156,2.854204309587662,1.9267725996304037,481,1920.1362130930065,11024
1.6,7.5e-05,0,22.933145308976474,5.184408966124852,1661.5013119467724,18.829711979856445,6.554107435133453,1671.7117525762296,3.0150567041394596,1.9489753168445374,481,1084.9872689909535,11024
1.6,9.999999999999999e-05,0,35.557243431767965,3.736648427949363,1628.4079101817267,27.649921791663,5.288758442719502,1650.0301350787183,3.321242676284116,1.9512104963266614,481,1815.4766115150414,11024
1.6,0.00015,0,67.19638865426337,1.534607115586432,1493.1956740828275,47.19180593981879,3.381431144547377,1590.2033099187736,4.00313987292782,1.7776952536263684,481,1067.138749842008,11024
1.6,0.0003,0,98.70442453026978,0.0789683697459409,333.6784383157181,79.68765613046861,1.529101526885923,1360.1759556273191,2.2322750294629943,1.0885011102188187,481,1738.597005423042,11024
