time_s,S2_M,I2_M,S2_tot_M
600,4.93770762533118e-08,5.619484571397797e-08,1.070330584627982e-06
1200,8.657458439239024e-07,3.590860956353812e-10,1.9826665863306827e-06
1800,1.6182127644683596e-06,1.9117363619950392e-10,2.747990702850015e-06
2400,2.2517574829908455e-06,1.3788100602335595e-10,3.3882695937640105e-06
3000,2.7831083091717817e-06,1.1189737842231353e-10,3.923932344692957e-06
3600,3.228228783786565e-06,9.669348600065511e-11,4.372072254759991e-06
4200,3.6009221922229265e-06,8.684058070840003e-11,4.746989826783997e-06
4800,3.912889303041722e-06,8.002782559480231e-11,5.060648987106471e-06
5400,4.17398320280284e-06,7.510383846569168e-11,5.323058854142341e-06
6000,4.392477663440325e-06,7.143006854469658e-11,5.54259313775686e-06
6600,4.575310525664743e-06,6.862364481629353e-11,5.72625735212746e-06
7200,4.7282948818740165e-06,6.644094173778378e-11,5.8799123680563525e-06
7800,4.8562991504168004e-06,6.471951979830989e-11,6.008461438490875e-06
8400,4.963399386041517e-06,6.334692173324618e-11,6.11600666549586e-06
9000,5.052814141643254e-06,6.234319149550248e-11,6.20571150711074e-06
9600,5.12755211269671e-06,6.143317494821223e-11,6.2807512555193015e-06
10200,5.190129825965537e-06,6.069159288917883e-11,6.343578226194808e-06
10800,5.242524324620136e-06,6.008444408306346e-11,6.396179083445814e-06
11400,5.286391705260505e-06,5.958545723277755e-11,6.440217633443186e-06
12000,5.323119056936267e-06,5.917407527767673e-11,6.4770871886724865e-06
