param_value,I2_center_final_nM_mean,I2_center_final_nM_std,S2_free_center_final_nM_mean,S2_free_center_final_nM_std,S2_total_center_final_nM_mean,S2_total_center_final_nM_std,half_time_center_hr_mean,half_time_center_hr_std,wall_time_s_mean,wall_time_s_std,n_cells_mean,n_cells_std
0.05,100.0000000000041,,1.6032627866620888e-21,,3.3886360737625927e-16,,44.66666666666666,,868.9049913340714,,10758.0,
0.1,100.00000000000315,,1.5556587260187554e-21,,3.401492414864362e-16,,44.388888888888886,,862.7554328269325,,10758.0,
0.15,100.00000000000315,,1.5142788267244644e-21,,3.401222589073083e-16,,44.55,,862.5585482919123,,10758.0,
0.2,100.00000000000313,,1.4762254656241753e-21,,3.395187323393224e-16,,44.71666666666667,,864.9986201149877,,10758.0,
