threshold_uM_value,I2_initial_nM,I2_final_nM,t50_hours,t90_hours,t99_hours,t50_initial_hours,t50_offrange_hours
1.0,77.85898339647885,9.280007120346877,0.8368073387166467,,,0.8368073387166467,0.7844869622805353
2.0,77.85898339647885,12.482597072590389,1.2611626401719314,,,1.2611626401719314,1.1654529265829474
5.0,77.85898339647885,53.02799864211816,,,,,2.0099209024943288
10.0,77.85898339647885,73.01940722680949,,,,,1.8963157764033447
20.0,77.85898339647885,77.0443977680679,,,,,1.7651099814608637
