param_value,I2_center_final_nM_mean,I2_center_final_nM_std,S2_free_center_final_nM_mean,S2_free_center_final_nM_std,S2_total_center_final_nM_mean,S2_total_center_final_nM_std,half_time_center_hr_mean,half_time_center_hr_std,wall_time_s_mean,wall_time_s_std,n_cells_mean,n_cells_std
0.0,1.1529470235433011e-06,,6.7099149662197926,,506.7099138132718,,1.2066588355943078,,187.28867162019014,,10728.0,
6.12245e-06,1.808349532341091,,6.648866487631269,,504.47252542043407,,1.2023002423543427,,199.94327575527132,,10728.0,
1.22449e-05,3.583918159874393,,6.588350324638991,,502.2623840583392,,1.198010952404311,,199.946225265041,,10728.0,
1.83673e-05,5.327188021607002,,6.528354876375513,,500.07893522058646,,1.1937966440977594,,203.45705338567495,,10728.0,
2.44898e-05,7.038648726352649,,6.468868954535295,,497.9216144744391,,1.1896240000531146,,205.24528971500695,,10728.0,
3.06122e-05,8.718796746859512,,6.409881778059578,,495.7898492065619,,1.1854938441491603,,207.45530893281102,,10728.0,
3.67347e-05,10.368133798305516,,6.351382967174727,,493.683060234162,,1.1814366877224591,,209.50748373568058,,10728.0,
4.28571e-05,11.987165347973804,,6.293362536879149,,491.6006632875021,,1.1774568980713074,,208.94194417260587,,10728.0,
4.89796e-05,13.576399249267798,,6.235810889970327,,489.5420703706032,,1.1735217925385588,,211.8157134708017,,10728.0,
5.5102e-05,15.136344493712434,,6.178718809689186,,487.5066910064714,,1.1696316884389284,,212.7377193812281,,10728.0,
6.12245e-05,16.66751007424387,,6.122077452055279,,485.49393337375216,,1.165800756266029,,212.71323973312974,,10728.0,
6.73469e-05,18.17040395326948,,6.065878337958143,,483.50320534101945,,1.1620621005587553,,213.2976097613573,,10728.0,
7.34694e-05,19.64553212906956,,6.010113345061685,,481.5339154053657,,1.1583690995743299,,215.65885021537542,,10728.0,
7.95918e-05,21.09339779424495,,5.954774699575353,,479.5854735417103,,1.1547216587282736,,215.4697284437716,,10728.0,
8.57143e-05,22.514500580296968,,5.899854967934487,,477.6572919685202,,1.1511195950265842,,216.6068831011653,,10728.0,
9.18367e-05,23.90933588203844,,5.845347048436402,,475.7487858364473,,1.147602414262499,,218.90993819385767,,10728.0,
9.79592e-05,25.278394256784026,,5.791244162859639,,473.8593738451186,,1.144148287393348,,218.70022539794445,,10728.0,
0.000104082,26.622160892459785,,5.737539848103804,,471.98847879375296,,1.1407386362240115,,219.1141016855836,,10728.0,
0.000110204,27.941115139879763,,5.684227947871437,,470.1355280705747,,1.1373729413143934,,218.6731454655528,,10728.0,
0.000116327,29.235730103764336,,5.631302604420182,,468.2999540866668,,1.1340506103102312,,220.1993681229651,,10728.0,
0.000122449,30.50647228874272,,5.578758250396463,,466.4811946577967,,1.1308137214158809,,222.44877379573882,,10728.0,
