Time_hours,I2_diff_nM,I2_percent_diff,S2_free_diff_nM,S2_free_percent_diff,S2_total_diff_nM,S2_total_percent_diff,COMSOL_I2_nM,FiPy_I2_nM
0.0,0.0,0.0,1.6367095567691248e-10,1.636709556769125e-10,1.6367095567691248e-10,3.2092344250375e-12,100.0,100.0
0.016666666666666666,-6.229612381503102e-10,-6.229612381503102e-10,1.1755714722435752e-08,1.1755714722435752e-08,3.210596293304905e-07,6.295286849617461e-09,100.0,99.99999999937704
0.03333333333333333,-1.9258493466622895e-08,-1.9258493466622895e-08,1.7061797698031066e-07,1.7061797698031064e-07,9.733032470826226e-06,1.9084377393776914e-07,100.0,99.9999999807415
0.05,-2.1456220622440014e-07,-2.1456220622440014e-07,1.1928990248937795e-06,1.1928990248937795e-06,0.00010772969462432557,2.1123469534181485e-06,99.9999999999998,99.9999997854376
0.06666666666666667,-1.3576010502447389e-06,-1.3576010502447389e-06,5.3437581289717705e-06,5.34375812897177e-06,0.0006794349718131342,1.3322254349277143e-05,99.99999999999815,99.9999986423971
0.08333333333333333,-5.932847486178616e-06,-5.932847486178616e-06,1.768766523250955e-05,1.768766523250955e-05,0.0029635311917142,5.8108454739494114e-05,100.00000000006013,99.99999406721264
0.1,-1.9947673337128435e-05,-1.9947673337128435e-05,4.706240782533347e-05,4.706240782533348e-05,0.009951770229721012,0.00019513274960237278,100.0000000005265,99.99998005285316
0.11666666666666667,-5.5191381449049004e-05,-5.5191381449049004e-05,0.00010630835990039124,0.00010630835990039124,0.027510864654640935,0.0005394287187184497,100.00000000233153,99.99994481095008
0.13333333333333333,-0.00013146307678368885,-0.00013146307678368885,0.00021165432889171264,0.00021165432889171267,0.06548780100427667,0.001284074529495621,100.0000000094069,99.99986854633012
0.15,-0.00027829361852127477,-0.00027829361852127477,0.00038149375044800615,0.00038149375044800615,0.1385628335151611,0.002716918304218845,100.00000003494192,99.9997217413234
0.16666666666666666,-0.0005358256796625938,-0.0005358256796625938,0.000634929422235384,0.000634929422235384,0.26668529697479526,0.005229123470094025,100.0000000767402,99.99946425106054
0.18333333333333332,-0.0009548774363992152,-0.0009548774363992152,0.0009903596973372228,0.0009903596973372228,0.47508811466868217,0.009315453228797689,100.00000016806963,99.99904529063323
0.2,-0.0015960807128436727,-0.0015960807128436727,0.001464382018046411,0.001464382018046411,0.7938851122277795,0.015566374749564304,100.0000003003046,99.99840421959176
0.21666666666666667,-0.002620269823452759,-0.002620269823452759,0.0020711048810352012,0.0020711048810352012,1.305129216466552,0.025590768950324548,100.00000051567193,99.99738024584848
0.23333333333333334,-0.0041308041534904305,-0.0041308041534904305,0.002821477535409676,0.002821477535409676,2.061304456441331,0.0404177344400261,100.0000008455631,99.9958700414096
0.25,-0.006126464976773605,-0.006126464976773605,0.003723449526454784,0.003723449526454784,3.060163835042683,0.06000321245181732,100.00000132820773,99.99387486323096
0.26666666666666666,-0.008690901399049267,-0.008690901399049267,0.00478191201695312,0.00478191201695312,4.34330664473119,0.08516287538688609,100.00000223868409,99.99131133728504
0.2833333333333333,-0.011907492584853685,-0.011907492584853685,0.00599899041183897,0.00599899041183897,5.952304378263833,0.11671185055419281,100.00000345020585,99.988095957621
0.3,-0.01585803885915027,-0.01585803885915027,0.0073743579801106305,0.0073743579801106305,7.92790985697499,0.15544921288186253,100.00000463245533,99.98414659359618
0.31666666666666665,-0.020622099767763302,-0.020622099767763302,0.008905624355892768,0.008905624355892768,10.309451593430571,0.20214610967510926,100.00000585302324,99.97938375325548
0.3333333333333333,-0.026275372484249715,-0.026275372484249715,0.01058870784568455,0.010588707845684548,13.134210980279226,0.257533548632926,100.00000697162713,99.97373159914288
0.35,-0.03288911527273797,-0.03288911527273797,0.012418198253506551,0.012418198253506551,16.437067687625678,0.32229544485540546,100.00000784354886,99.96711872827612
0.36666666666666664,-0.04052981350920959,-0.04052981350920959,0.014387688321286087,0.014387688321286087,20.250251249682023,0.39706374999376515,100.00000855092169,99.95947873741248
0.38333333333333336,-0.04925842029541627,-0.04925842029541627,0.01649006296772882,0.01649006296772882,24.602988865616275,0.48241154638463285,100.00000901988018,99.95075059958477
0.4,-0.059130404259846614,-0.059130404259846614,0.01871774896836266,0.01871774896836266,29.521525267040815,0.5788534366086434,100.00000928377553,99.94087887951568
0.4166666666666667,-0.07019557253488529,-0.07019557253488529,0.0210629241209587,0.0210629241209587,35.02883989960314,0.6868399980314341,100.00000938754704,99.92981381501215
0.43333333333333335,-0.08249803500662267,-0.08249803500662267,0.023517687470539436,0.023517687470539436,41.144931542388164,0.8067633635762386,100.00000932462365,99.91751128961702
0.45,-0.09607681170405158,-0.09607681170405158,0.02607419706395136,0.02607419706395136,47.88657532606993,0.9389524573739203,100.00000953096135,99.9039327192573
0.4666666666666667,-0.11096557732992096,-0.11096557732992096,0.028724775900798416,0.02872477590079842,55.26753395446682,1.0836771363620945,100.00001045011908,99.88904487278916
0.48333333333333334,-0.12719216196690297,-0.12719216196690297,0.03146199164656084,0.03146199164656084,63.298914596613024,1.2411551881688827,100.00001180543876,99.87281964347186
0.5,-0.1447798112444474,-0.1447798112444474,0.03427871788697949,0.03427871788697949,71.98897502709605,1.4115485299430597,100.00001359692041,99.85523378567596
0.5166666666666667,-0.16374719592363363,-0.16374719592363363,0.0371681751390056,0.0371681751390056,81.34335683622443,1.5949677811024399,100.00001582456403,99.8362686286404
0.5333333333333333,-0.1841077927184216,-0.1841077927184216,0.04012394329395338,0.040123943293953385,91.36478615979422,1.7914663952900827,100.0000175695976,99.81590977687918
0.55,-0.2058723775894009,-0.2058723775894009,0.04314001107616789,0.0431400110761679,102.05431006533107,2.0010649032417858,100.00001918250624,99.79414680491683
0.5666666666666667,-0.22904787349800415,-0.22904787349800415,0.046210758897968315,0.04621075889796831,113.41073991318918,2.2237399982978268,100.0000208258877,99.7709729523897
0.5833333333333334,-0.25363767557371375,-0.25363767557371375,0.04933095771035436,0.04933095771035436,125.43082446881587,2.4594279307610956,100.00002249974203,99.74638482416832
0.6,-0.27964156106125415,-0.27964156106125415,0.05249576079032272,0.05249576079032272,138.10958839550835,2.708031145009968,100.00002366006937,99.72038209900812
0.6166666666666667,-0.30705318992499997,-0.30705318992499997,0.055700673838255686,0.055700673838255686,151.4409982918517,2.969431339055916,100.00002043921592,99.69296724929092
0.6333333333333333,-0.33587031160953984,-0.33587031160953984,0.05894160721521165,0.05894160721521165,165.41628205885445,3.2434565109579303,100.0000155852621,99.66414527365257
0.65,-0.3660856545329949,-0.3660856545329949,0.062214796851948716,0.06221479685194872,180.0257959811708,3.5299175682582513,100.00000909820795,99.63392344367496
0.6666666666666666,-0.3976899127252125,-0.3976899127252125,0.0655168049044851,0.0655168049044851,195.25865548527668,3.8286010879466015,100.00000097805345,99.60231106532824
0.6833333333333333,-0.43067307305827285,-0.43067307305827285,0.06884448121377205,0.06884448121377205,211.1036962828862,4.1392881624095335,99.99999232852299,99.56931925546472
0.7,-0.4650233603399272,-0.4650233603399272,0.07219496744144849,0.07219496744144849,227.54864536760155,4.4617381444627755,99.99998409370497,99.53496073336504
0.7166666666666667,-0.5007255559131778,-0.5007255559131778,0.07556571236508611,0.07556571236508611,244.578824077084,4.795663217197725,99.99997518302298,99.4992496271098
0.7333333333333333,-0.5377643020963063,-0.5377643020963063,0.0789543967138429,0.0789543967138429,262.179610492436,5.1407766763222735,99.99996559647707,99.46220129438076
0.75,-0.5761231768966013,-0.5761231768966013,0.08235893506422025,0.08235893506422025,280.33571920287636,5.4967788078995365,99.99995533406722,99.42383215717062
0.7666666666666667,-0.6157829106640378,-0.6157829106640378,0.08577739635448181,0.08577739635448181,299.02924554923135,5.863318540181007,99.99994246046026,99.38415954979622
0.7833333333333333,-0.6567259074270879,-0.6567259074270879,0.08920812833713143,0.08920812833713143,318.2443953281445,6.240086182904794,99.99992748697984,99.34320157955275
0.8,-0.6989339066538207,-0.6989339066538207,0.0926496626207431,0.0926496626207431,337.96495425411666,6.626763808904249,99.99991090596939,99.30097699931557
0.8166666666666667,-0.7423876260489095,-0.7423876260489095,0.09610068464467406,0.09610068464467406,358.1738617835028,7.023016897715741,99.99989271742889,99.25750509137998
0.8333333333333334,-0.7870673595261053,-0.7870673595261053,0.09956003558341057,0.09956003558341057,378.85380212353385,7.428505923990859,99.99987292135835,99.21280556183224
0.85,-0.8329530730055836,-0.8329530730055836,0.10302669928350708,0.10302669928350708,399.98726817622963,7.84288761129862,99.99985151775776,99.16689844475218
0.8666666666666667,-0.8800244910578954,-0.8800244910578954,0.10649979005226586,0.10649979005226586,421.5566202690894,8.265816083707636,99.99982850662714,99.11980401556924
0.8833333333333333,-0.9282611750500251,-0.9282611750500251,0.1099785412734567,0.1099785412734567,443.5441399707219,8.696943920994547,99.99980388796646,99.07154271291644
0.9,-0.9776425934202706,-0.9776425934202706,0.1134622948188877,0.1134622948188877,465.93207928430866,9.135923123221739,99.99977766177575,99.02213506835548
0.9166666666666666,-1.0281466142856885,-1.0281466142856885,0.11695036627315104,0.11695036627315104,488.7020683080968,9.582393496237191,99.9997482576624,98.97160164337672
0.9333333333333333,-1.079751234846512,-1.079751234846512,0.12044216894742063,0.12044216894742062,511.83583490765886,10.035996762895271,99.99971420795659,98.91996297311007
0.95,-1.1324382080017301,-1.1324382080017301,0.12393749001704411,0.1239374900170441,535.3166929050486,10.496405743236247,99.99967772421779,98.86723951621606
0.9666666666666667,-1.1861871959881682,-1.1861871959881682,0.12743601404260205,0.12743601404260205,559.1271853153934,10.963278143439085,99.99963880644603,98.81345161045786
0.9833333333333333,-1.240978021151335,-1.240978021151335,0.13093749174932667,0.13093749174932667,583.2500118604287,11.436274742361347,99.99959745464128,98.75861943348994
1.0,-1.2969906842638608,-1.2969906842638608,0.13444525460078827,0.13444525460078827,607.7590538028404,11.916844192212558,99.99955366880356,98.7025629845397
1.0166666666666666,-1.3540122758553395,-1.3540122758553395,0.13795484529951307,0.13795484529951307,632.5482765756212,12.40290738383571,99.99950744893286,98.64549517307752
1.0333333333333334,-1.4120233651775465,-1.4120233651775465,0.1414672021396301,0.1414672021396301,657.6009568102648,12.89413640804441,99.99945879502918,98.58743542985164
1.05,-1.4710047930022512,-1.4710047930022512,0.14498228722014067,0.14498228722014067,682.9006171822895,13.39020818004489,99.99940770709254,98.5284029140903
1.0666666666666667,-1.530937968706155,-1.530937968706155,0.14850009173252368,0.14850009173252368,708.4308969300433,13.890801900589086,99.9993544666815,98.46841649797534
1.0833333333333333,-1.591823175180025,-1.591823175180025,0.15202007903834286,0.15202007903834286,734.1660880574001,14.39541349132157,99.99931792552938,98.40749475034936
1.1,-1.653626758876186,-1.653626758876186,0.15554277758323812,0.15554277758323812,760.098526387655,14.903892674267745,99.99928268205771,98.34565592318152
1.1166666666666667,-1.7163307957044083,-1.7163307957044083,0.15906827608771343,0.15906827608771343,786.2128671651408,15.415938571865505,99.99924873626647,98.28291794056206
1.1333333333333333,-1.7799176981638993,-1.7799176981638993,0.16259668577923092,0.16259668577923095,812.4940772074689,15.931256415832724,99.99921608815566,98.21929838999176
