time_hours,I2_center_nM,S2_free_center_nM,S2_total_center_nM,I1O2_active
35.95,5.0266938654337585e-17,6.7099150212674346,506.70991502126606,1
35.96666666666667,4.9275044569153036e-17,6.7099150212674346,506.70991502126606,1
35.983333333333334,4.8302723067908596e-17,6.7099150212674346,506.70991502126606,1
36.0,4.7349587933922643e-17,6.7099150212674346,506.70991502126606,1
36.016666666666666,4.641526057154744e-17,6.7099150212674346,506.70991502126606,1
36.03333333333333,4.54993698557868e-17,6.7099150212674346,506.70991502126606,1
36.05,4.4601551984881216e-17,6.7099150212674346,506.70991502126606,1
36.06666666666667,4.372145033580183e-17,6.7099150212674346,506.70991502126606,1
36.083333333333336,4.28587153225959e-17,6.7099150212674346,506.70991502126606,1
36.1,4.201300425752743e-17,6.7099150212674346,506.70991502126606,1
36.11666666666667,4.1183981214957914e-17,6.7099150212674346,506.70991502126606,1
36.13333333333333,4.0371316897912946e-17,6.7099150212674346,506.70991502126606,1
36.15,3.957468850728198e-17,6.7099150212674346,506.70991502126606,1
36.166666666666664,3.87937796135989e-17,6.7099150212674346,506.70991502126606,1
36.18333333333333,3.802828003135289e-17,6.7099150212674346,506.70991502126606,1
36.2,3.727788569577929e-17,6.7099150212674346,506.70991502126606,1
36.21666666666667,3.6542298542081827e-17,6.7099150212674346,506.70991502126606,1
36.233333333333334,3.5821226387038004e-17,6.7099150212674346,506.70991502126606,1
36.25,3.511438281294075e-17,6.7099150212674346,506.70991502126606,1
36.266666666666666,3.4421487053830173e-17,6.7099150212674346,506.70991502126606,1
36.28333333333333,3.374226388397031e-17,6.7099150212674346,506.70991502126606,1
36.3,3.3076443508526416e-17,6.7099150212674346,506.70991502126606,1
36.31666666666667,3.242376145639955e-17,6.7099150212674346,506.70991502126606,1
36.333333333333336,3.178395847517579e-17,6.7099150212674346,506.70991502126606,1
36.35,3.11567804281483e-17,6.7099150212674346,506.70991502126606,1
36.36666666666667,3.054197819337152e-17,6.7099150212674346,506.70991502126606,1
36.38333333333333,2.99393075647072e-17,6.7099150212674346,506.70991502126606,1
36.4,2.934852915482304e-17,6.7099150212674346,506.70991502126606,1
36.416666666666664,2.8769408300105476e-17,6.7099150212674346,506.70991502126606,1
36.43333333333333,2.8201714967448715e-17,6.7099150212674346,506.70991502126606,1
36.45,2.7645223662883086e-17,6.7099150212674346,506.70991502126606,1
36.46666666666667,2.7099713342006377e-17,6.7099150212674346,506.70991502126606,1
36.483333333333334,2.65649673221826e-17,6.7099150212674346,506.70991502126606,1
36.5,2.60407731964733e-17,6.7099150212674346,506.70991502126606,1
36.516666666666666,2.5526922749267176e-17,6.7099150212674346,506.70991502126606,1
36.53333333333333,2.502321187357461e-17,6.7099150212674346,506.70991502126606,1
36.55,2.4529440489954122e-17,6.7099150212674346,506.70991502126606,1
36.56666666666667,2.4045412467038662e-17,6.7099150212674346,506.70991502126606,1
36.583333333333336,2.3570935543630074e-17,6.7099150212674346,506.70991502126606,1
36.6,2.310582125233087e-17,6.7099150212674346,506.70991502126606,1
36.61666666666667,2.2649884844682925e-17,6.7099150212674346,506.70991502126606,1
36.63333333333333,2.2202945217783377e-17,6.7099150212674346,506.70991502126606,1
36.65,2.176482484234859e-17,6.7099150212674346,506.70991502126606,1
36.666666666666664,2.133534969219758e-17,6.7099150212674346,506.70991502126606,1
36.68333333333333,2.0914349175126932e-17,6.7099150212674346,506.70991502126606,1
36.7,2.050165606514971e-17,6.7099150212674346,506.70991502126606,1
36.71666666666667,2.0097106436071493e-17,6.7099150212674346,506.70991502126606,1
36.733333333333334,1.9700539596377077e-17,6.7099150212674346,506.70991502126606,1
36.75,1.9311798025402092e-17,6.7099150212674346,506.70991502126606,1
36.766666666666666,1.8930727310764054e-17,6.7099150212674346,506.70991502126606,1
36.78333333333333,1.855717608702809e-17,6.7099150212674346,506.70991502126606,1
36.8,1.8190995975582952e-17,6.7099150212674346,506.70991502126606,1
36.81666666666667,1.7832041525703408e-17,6.7099150212674346,506.70991502126606,1
36.833333333333336,1.748017015677563e-17,6.7099150212674346,506.70991502126606,1
36.85,1.713524210166263e-17,6.7099150212674346,506.70991502126606,1
36.86666666666667,1.6797120351187228e-17,6.7099150212674346,506.70991502126606,1
36.88333333333333,1.646567059971051e-17,6.7099150212674346,506.70991502126606,1
36.9,1.6140761191784183e-17,6.7099150212674346,506.70991502126606,1
36.916666666666664,1.5822263069855578e-17,6.7099150212674346,506.70991502126606,1
36.93333333333333,1.5510049723004597e-17,6.7099150212674346,506.70991502126606,1
36.95,1.5203997136692206e-17,6.7099150212674346,506.70991502126606,1
36.96666666666667,1.4903983743500486e-17,6.7099150212674346,506.70991502126606,1
36.983333333333334,1.4609890374844762e-17,6.7099150212674346,506.70991502126606,1
37.0,1.432160021363852e-17,6.7099150212674346,506.70991502126606,1
37.016666666666666,1.4038998747892408e-17,6.7099150212674346,506.70991502126606,1
37.03333333333333,1.3761973725228807e-17,6.7099150212674346,506.70991502126606,1
37.05,1.3490415108293983e-17,6.7099150212674346,506.70991502126606,1
37.06666666666667,1.3224215031050043e-17,6.7099150212674346,506.70991502126606,1
37.083333333333336,1.2963267755929377e-17,6.7099150212674346,506.70991502126606,1
37.1,1.2707469631834538e-17,6.7099150212674346,506.70991502126606,1
37.11666666666667,1.2456719052966906e-17,6.7099150212674346,506.70991502126606,1
37.13333333333333,1.2210916418467753e-17,6.7099150212674346,506.70991502126606,1
37.15,1.1969964092855701e-17,6.7099150212674346,506.70991502126606,1
37.166666666666664,1.1733766367244845e-17,6.7099150212674346,506.70991502126606,1
37.18333333333333,1.1502229421328143e-17,6.7099150212674346,506.70991502126606,1
37.2,1.127526128611097e-17,6.7099150212674346,506.70991502126606,1
37.21666666666667,1.1052771807380029e-17,6.7099150212674346,506.70991502126606,1
37.233333333333334,1.0834672609893119e-17,6.7099150212674346,506.70991502126606,1
37.25,1.0620877062275528e-17,6.7099150212674346,506.70991502126606,1
37.266666666666666,1.0411300242609103e-17,6.7099150212674346,506.70991502126606,1
37.28333333333333,1.0205858904700348e-17,6.7099150212674346,506.70991502126606,1
37.3,1.0004471445014124e-17,6.7099150212674346,506.70991502126606,1
37.31666666666667,9.807057870259838e-18,6.7099150212674346,506.70991502126606,1
37.333333333333336,9.613539765617237e-18,6.7099150212674346,506.70991502126606,1
37.35,9.42384026358919e-18,6.7099150212674346,506.70991502126606,1
37.36666666666667,9.237884013469084e-18,6.7099150212674346,506.70991502126606,1
37.38333333333333,9.055597151410694e-18,6.7099150212674346,506.70991502126606,1
37.4,8.876907271088666e-18,6.7099150212674346,506.70991502126606,1
37.416666666666664,8.701743394937941e-18,6.7099150212674346,506.70991502126606,1
37.43333333333333,8.530035945960682e-18,6.7099150212674346,506.70991502126606,1
37.45,8.361716720089547e-18,6.7099150212674346,506.70991502126606,1
37.46666666666667,8.196718859096279e-18,6.7099150212674346,506.70991502126606,1
37.483333333333334,8.034976824034896e-18,6.7099150212674346,506.70991502126606,1
37.5,7.87642636920891e-18,6.7099150212674346,506.70991502126606,1
37.516666666666666,7.721004516652235e-18,6.7099150212674346,506.70991502126606,1
37.53333333333333,7.56864953111365e-18,6.7099150212674346,506.70991502126606,1
37.55,7.419300895534894e-18,6.7099150212674346,506.70991502126606,1
37.56666666666667,7.27289928701262e-18,6.7099150212674346,506.70991502126606,1
37.583333333333336,7.129386553234705e-18,6.7099150212674346,506.70991502126606,1
37.6,6.988705689381511e-18,6.7099150212674346,506.70991502126606,1
37.61666666666667,6.850800815482949e-18,6.7099150212674346,506.70991502126606,1
37.63333333333333,6.715617154222356e-18,6.7099150212674346,506.70991502126606,1
37.65,6.583101009178337e-18,6.7099150212674346,506.70991502126606,1
37.666666666666664,6.453199743495969e-18,6.7099150212674346,506.70991502126606,1
37.68333333333333,6.325861758978869e-18,6.7099150212674346,506.70991502126606,1
37.7,6.201036475593826e-18,6.7099150212674346,506.70991502126606,1
37.71666666666667,6.0786743113798655e-18,6.7099150212674346,506.70991502126606,1
37.733333333333334,5.958726662753751e-18,6.7099150212674346,506.70991502126606,1
37.75,5.841145885204115e-18,6.7099150212674346,506.70991502126606,1
37.766666666666666,5.725885274366537e-18,6.7099150212674346,506.70991502126606,1
37.78333333333333,5.6128990474720655e-18,6.7099150212674346,506.70991502126606,1
37.8,5.502142325161802e-18,6.7099150212674346,506.70991502126606,1
37.81666666666667,5.393571113660332e-18,6.7099150212674346,506.70991502126606,1
37.833333333333336,5.287142287300916e-18,6.7099150212674346,506.70991502126606,1
37.85,5.18281357139551e-18,6.7099150212674346,506.70991502126606,1
37.86666666666667,5.080543525442795e-18,6.7099150212674346,506.70991502126606,1
37.88333333333333,4.980291526667562e-18,6.7099150212674346,506.70991502126606,1
37.9,4.882017753884903e-18,6.7099150212674346,506.70991502126606,1
37.916666666666664,4.785683171682799e-18,6.7099150212674346,506.70991502126606,1
37.93333333333333,4.691249514916838e-18,6.7099150212674346,506.70991502126606,1
37.95,4.598679273510873e-18,6.7099150212674346,506.70991502126606,1
37.96666666666667,4.5079356775576185e-18,6.7099150212674346,506.70991502126606,1
37.983333333333334,4.418982682713244e-18,6.7099150212674346,506.70991502126606,1
38.0,4.331784955880162e-18,6.7099150212674346,506.70991502126606,1
38.016666666666666,4.246307861172344e-18,6.7099150212674346,506.70991502126606,1
38.03333333333333,4.162517446157562e-18,6.7099150212674346,506.70991502126606,1
38.05,4.080380428371124e-18,6.7099150212674346,506.70991502126606,1
38.06666666666667,3.999864182095703e-18,6.7099150212674346,506.70991502126606,1
38.083333333333336,3.9209367254020596e-18,6.7099150212674346,506.70991502126606,1
38.1,3.8435667074454645e-18,6.7099150212674346,506.70991502126606,1
38.11666666666667,3.7677233960128035e-18,6.7099150212674346,506.70991502126606,1
38.13333333333333,3.693376665315408e-18,6.7099150212674346,506.70991502126606,1
38.15,3.620496984022765e-18,6.7099150212674346,506.70991502126606,1
38.166666666666664,3.5490554035323485e-18,6.7099150212674346,506.70991502126606,1
38.18333333333333,3.479023546470923e-18,6.7099150212674346,506.70991502126606,1
38.2,3.4103735954227407e-18,6.7099150212674346,506.70991502126606,1
38.21666666666667,3.343078281880159e-18,6.7099150212674346,506.70991502126606,1
38.233333333333334,3.2771108754122953e-18,6.7099150212674346,506.70991502126606,1
