time_hours,I2_center_nM,S2_free_center_nM,S2_total_center_nM,I1O2_active
0.0,100.0,0.0,0.0,1
0.016666666666666666,99.9859000995112,0.047073640139087075,1.1861517842883065,1
0.03333333333333333,99.95633361640033,0.09880662214655704,3.6132614394333373,1
0.05,99.91365205931507,0.14280753384138933,7.059018307073982,1
0.06666666666666667,99.8599020912232,0.18008791440300367,11.33733120331608,1
0.08333333333333333,99.79631140847631,0.2133763032739401,16.328734776191464,1
0.1,99.72348684153188,0.24474582779381818,21.961270848574895,1
0.11666666666666667,99.64162103129193,0.27558514640926357,28.19284735314744,1
0.13333333333333333,99.5506245408783,0.3068465613693571,34.999909146680075,1
0.15,99.45020306229209,0.33922893614380173,42.37047552936974,1
0.16666666666666666,99.33990183115682,0.37328718843078207,50.299715513609065,1
0.18333333333333332,99.21913104437986,0.4094960234492851,58.78694824232126,1
0.2,99.087180109273,0.448287760049173,67.83343999008504,1
0.21666666666666667,98.94322516252933,0.49007553700881096,77.44064307171637,1
0.23333333333333334,98.78633245726722,0.5352680339425419,87.60867369290361,1
0.25,98.61545921899601,0.5842790396437917,98.33491242332893,1
0.26666666666666666,98.42945302912693,0.6375336875708411,109.61266362803845,1
0.2833333333333333,98.22705046188226,0.6954723417545158,121.42984762877029,1
0.3,98.00687581056732,0.7585525907098748,133.76771095204066,1
0.31666666666666665,97.7674400806658,0.8272495618082024,146.59959673908244,1
0.3333333333333333,97.50714123296837,0.9020544501091119,159.8897902693774,1
0.35,97.22426615259273,0.9834710280134439,173.59250636358524,1
0.36666666666666664,96.91699515483599,1.072009702828572,187.6510882521708,1
0.38333333333333336,96.58340995351061,1.1681785157833167,201.9975035734041,1
0.4,96.22150620145489,1.272470302351061,216.55223321956595,1
0.4166666666666667,95.82921191667425,1.3853450814786188,231.22465292495403,1
0.43333333333333335,95.40441330420225,1.5072066533102952,245.9140032675868,1
0.45,94.94498962456635,1.63837243625528,260.51102832875847,1
0.4666666666666667,94.4488587653094,1.7790358786255729,274.9003338010969,1
0.48333333333333334,93.91403492625791,1.9292214871546571,288.9634694965047,1
0.5,93.33869918305625,2.088733784203884,302.58267783609756,1
0.5166666666666667,92.72128248874938,2.2571034430934596,315.64517022136596,1
0.5333333333333333,92.0605587983274,2.433536395505781,328.04770230902596,1
0.55,91.35574348280669,2.6168744809815467,339.7011278285132,1
0.5666666666666667,90.60658931323619,2.8055784108053055,350.53453592331334,1
0.5833333333333334,89.81346964332887,2.997744252352876,360.4985417230971,1
0.6,88.9774369640994,3.1911620489683328,369.56732659736787,1
0.6166666666666667,88.1002451044669,3.383419010353281,377.73913435833117,1
0.6333333333333333,87.18432773581443,3.5720403761906048,385.03509746866945,1
0.65,86.2327299387038,3.7546514818312064,391.49651113667136,1
0.6666666666666666,85.24899793059868,3.9291374475445684,397.1808812406875,1
0.6833333333333333,84.23703815985095,4.093775758707326,402.1572414081521,1
0.7,83.20096143055093,4.247322425215155,406.5012963496428,1
0.7166666666666667,82.144928757589,4.389042692490915,410.29090224800353,1
0.7333333333333333,81.07301340459752,4.5186888218581895,413.60226359748674,1
0.75,79.98908911223508,4.636436678493015,416.5070539740419,1
0.7666666666666667,78.89674889069245,4.742797421718186,419.07050304395,1
0.7833333333333333,77.79925492451986,4.8385208508996405,421.3503621760504,1
0.8,76.69951536145422,4.924503458278943,423.3965886995726,1
0.8166666666666667,75.60008297282417,5.001709731780867,425.25155807329065,1
0.8333333333333334,74.50316965028392,5.071110598217253,426.95062266108414,1
0.85,73.41067119916639,5.133639380447883,428.52286411975,1
0.8666666666666667,72.32419781026161,5.190163403735517,429.9919228878975,1
