variable,max_abs_diff_nM,rmse_nM,max_rel_diff_pct_excl_nearzero_ramp,final_baseline_nM,final_refined_nM,final_diff_pct
I2_center_nM,0.45023031132491553,0.31621467446557655,0.603629529646576,58.708600059926226,59.01348922227608,0.5166431715323216
S2_free_center_nM,0.06880666487532161,0.05278958549647321,7.614251283224447,4.219967793748439,4.167167028619853,1.267066205072974
S2_total_center_nM,8.082543859304025,1.4260691739348652,7.6838342277742155,418.9625059880137,418.29101534394,0.16053193098626609
