fine_dx_nominal_um,achieved_min_edge_um,achieved_mean_edge_um,n_cells,final_time_hours,I2_center_final_nM,S2_free_center_final_nM,S2_total_center_final_nM,half_time_center_hr,pct_diff_from_finest
10.0,6.724437939104215,75.47708645821275,8370,16.0,59.34613113021567,4.110178885359595,417.55426711516753,1.0660803202390428,0.5597592751631119
7.0,4.529440993213509,67.75555659205924,9496,16.0,58.86570033325538,4.1926928320416765,418.61695365608114,1.0564535156335657,0.2543124152845113
5.0,3.1075246122549287,60.365123349409444,10758,16.0,58.708600059926226,4.219967793748439,418.9625059880137,1.0516807674584145,0.5205128459979951
3.5,2.0723291598773064,52.19839863906837,12628,16.0,59.006334347733635,4.1683998590207265,418.30681445073725,1.062132300314083,0.016013433152002154
2.5,1.5279708111454449,44.11735934557738,15064,16.0,59.01348922227608,4.167167028619853,418.29101534394,1.0621196863501925,0.0038897707003852453
1.5,0.9449042455976612,32.42497169522721,20786,16.0,59.025838389812094,4.1650398915870115,418.2637417149152,1.064029438619382,0.017035423428034126
1.0,0.6334452632512799,24.366668543976672,28020,16.0,59.01578480098187,4.166771549160926,418.2859459167144,1.0645074870563862,0.0
