Time (hours),I2 (nM),S2_free (nM),S2_total (nM)
0.0,99.99999999999999,3.1028560384739224e-09,3.1028560384739224e-09
0.016666666666666666,99.99999999813828,2.242422296321906e-08,9.38650672045008e-07
0.03333333333333333,99.99999998471664,8.766981236003113e-08,7.60922960663583e-06
0.05,99.99999983780722,2.4684823816644566e-07,8.052400706446796e-05
0.06666666666666667,99.99999950601574,5.621133909047433e-07,0.0002453913407465398
0.08333333333333333,99.99999885954523,1.1019683325700806e-06,0.0005669444364977986
0.1,99.99999773174183,1.9330342969406274e-06,0.00112839085986362
0.11666666666666667,99.99999592479607,3.1136526859763327e-06,0.002028584590319999
0.13333333333333333,99.99999321751255,4.690218002487765e-06,0.003378150469945473
0.15,99.99998937358947,6.696072284249422e-06,0.0052953422024636775
0.16666666666666666,99.99998414927792,9.152283578096499e-06,0.007902202997476723
0.18333333333333332,99.99997729976295,1.2069543996478978e-05,0.01132136166477682
0.2,99.99996858399646,1.5450554245258253e-05,0.015673601982448482
0.21666666666666667,99.99995776797842,1.9292457962057807e-05,0.021076209002619126
0.23333333333333334,99.99994462663739,2.358906944310621e-05,0.027642017598086797
0.25,99.99992894453378,2.833277333635128e-05,0.035479052104975345
0.26666666666666666,99.99991051562536,3.351606336098716e-05,0.044690637021692646
0.2833333333333333,99.99988914232075,3.9132738521087984e-05,0.05537586585455788
0.3,99.9998646340156,4.51788008661158e-05,0.06763033026439029
0.31666666666666665,99.999836805271,5.165310810554542e-05,0.0815470295121036
0.3333333333333333,99.9998051614099,5.862883710304765e-05,0.09740393293336554
0.35,99.99976974297662,6.59887201103651e-05,0.11515134716874395
0.36666666666666664,99.99973035299351,7.37965176301741e-05,0.13488786860109286
0.38333333333333336,99.99968678804035,8.206838838701339e-05,0.15671525594922422
0.4,99.9996388370013,9.08233896278347e-05,0.1807391107646892
0.4166666666666667,99.9995862786596,0.00010008490561319945,0.20707008278968295
0.43333333333333335,99.9995288792297,0.00010988081769807509,0.23582510517519198
0.45,99.9994663898608,0.00012024362553920327,0.2671286437244127
0.4666666666666667,99.9993985441088,0.00013121057473857508,0.30111396173899974
0.48333333333333334,99.99932505536609,0.00014282380301479706,0.3379244056467707
0.5,99.9992456142363,0.000155130510054038,0.37771471801220996
0.5166666666666667,99.99915988583939,0.00016818315353211156,0.4206523851366565
0.5333333333333333,99.99906750703232,0.00018203967227956461,0.46691902660215395
0.55,99.99896808353094,0.00019676373654018038,0.5167118339576015
0.5666666666666667,99.99886118691954,0.00021242502455097413,0.5702450653812957
0.5833333333333334,99.99874635153495,0.00022909952416478923,0.6277516026469404
0.6,99.99862307121403,0.00024686985790361917,0.6894845761240452
0.6166666666666667,99.99849079589399,0.0002658256296515644,0.7557190629047748
0.6333333333333333,99.99834892805683,0.0002860637911627885,0.8267538625110906
0.65,99.99819681900959,0.0003076890266712239,0.9029133540406983
0.6666666666666666,99.99803376499389,0.000330814154146843,0.9845494381000564
0.6833333333333333,99.99785900311852,0.00035556054214909443,1.0720435664890735
0.7,99.99767170710915,0.0003820585417777219,1.1658088623849117
0.7166666666666667,99.99747098286971,0.00041044793390303984,1.266292333757061
0.7333333333333333,99.99725586384902,0.00044087839264987167,1.3739771829609717
0.75,99.99702530620532,0.0004735099669780644,1.4893852159210157
0.7666666666666667,99.99677818376045,0.0005085135831025195,1.6130793550295517
0.7833333333333333,99.99651328273248,0.0005460715713715536,1.7456662608453033
0.8,99.996229296234,0.0005863782220124208,1.8877990688407276
0.8166666666666667,99.99592481852027,0.0006296403747935916,2.040180248776344
0.8333333333333334,99.99559833896843,0.0006760780480862548,2.2035645957050694
0.85,99.995248235766,0.0007259251129853525,2.3787623630539474
