x_um,y_um,S2_free_nM,I2_nM,Th2_nM,S2_I2_nM,S2_Th2_nM,S2_total_nM
2371.621130761673,2510.7629934678976,15.591281293259778,0.0,0.0,0.0,0.0,15.591281293259778
2392.0509290703753,2510.170272041862,18.595056874684268,0.0,0.0,0.0,0.0,18.595056874684268
2395.1323070255717,2510.6289596504107,18.703040432571537,0.0,0.0,0.0,0.0,18.703040432571537
2416.9977042753994,2518.3689120048934,16.640883385432986,0.0,0.0,0.0,0.0,16.640883385432986
2411.4194178813136,2466.220246819743,13.869584637089062,0.0,0.0,0.0,0.0,13.869584637089062
2405.880725326983,2509.2907614704604,18.745410941554802,0.0,0.0,0.0,0.0,18.745410941554802
2374.5173828061884,2510.490580302793,16.251143909261383,0.0,0.0,0.0,0.0,16.251143909261383
2381.8975563673907,2476.6456083577255,15.687245047393535,0.0,0.0,0.0,0.0,15.687245047393535
2369.2890443541887,2508.477318257778,15.276826180019945,0.0,0.0,0.0,0.0,15.276826180019945
2375.0496698634765,2492.0035120776624,16.550012677511383,0.0,0.0,0.0,0.0,16.550012677511383
2390.339947265103,2477.4372887276127,16.71658846026817,0.0,0.0,0.0,0.0,16.71658846026817
2427.8633586729443,2501.255952322283,16.000246651618628,0.0,0.0,0.0,0.0,16.000246651618628
2379.934740407793,2478.067661791058,15.700895407505636,0.0,0.0,0.0,0.0,15.700895407505636
2400.753681413798,2526.2632491137574,16.49393309004261,0.0,0.0,0.0,0.0,16.49393309004261
2378.272928624707,2493.108441909933,17.22227903822335,0.0,0.0,0.0,0.0,17.22227903822335
2376.8056352974145,2499.03995205656,17.13482536569958,0.0,0.0,0.0,0.0,17.13482536569958
2421.807936649132,2492.0554639663483,16.96171695725326,0.0,0.0,0.0,0.0,16.96171695725326
2414.447510933065,2517.533439686024,17.140341866772445,0.0,0.0,0.0,0.0,17.140341866772445
2413.8464126797703,2482.5311515911494,17.087776046475344,0.0,0.0,0.0,0.0,17.087776046475344
2369.839236385079,2505.9004929949356,15.533977160090316,0.0,0.0,0.0,0.0,15.533977160090316
2406.3970361576853,2521.5852590679024,17.222683770551516,0.0,0.0,0.0,0.0,17.222683770551516
2400.14525914425,2522.8376475636846,17.17587789015317,0.0,0.0,0.0,0.0,17.17587789015317
2391.0863393512086,2480.8931650364093,17.37809763924224,0.0,0.0,0.0,0.0,17.37809763924224
2409.4095686066034,2477.970153479651,16.766080699695593,0.0,0.0,0.0,0.0,16.766080699695593
2386.1874248148683,2473.2380466398968,15.515112524973967,0.0,0.0,0.0,0.0,15.515112524973967
2390.992240434362,2471.8918784307834,15.586320321554215,0.0,0.0,0.0,0.0,15.586320321554215
2420.9147432456207,2515.1940204650887,16.463677502259603,0.0,0.0,0.0,0.0,16.463677502259603
2391.1582597196207,2506.3397067416527,18.777463625527485,0.0,0.0,0.0,0.0,18.777463625527485
2389.6814396797504,2499.8658200172868,18.808495521622707,0.0,0.0,0.0,0.0,18.808495521622707
2424.5646741108835,2490.6585197010445,16.332564274767744,0.0,0.0,0.0,0.0,16.332564274767744
2395.1324751418574,2498.8722850067184,19.12786732814408,0.0,0.0,0.0,0.0,19.12786732814408
2373.661674488214,2498.7553304441776,16.51145719107094,0.0,0.0,0.0,0.0,16.51145719107094
2405.696955625884,2473.80249841097,16.137465063480324,0.0,0.0,0.0,0.0,16.137465063480324
2388.0441447537705,2471.185905712825,15.242805568533862,0.0,0.0,0.0,0.0,15.242805568533862
2411.497136485155,2475.733745150374,16.134865249785918,0.0,0.0,0.0,0.0,16.134865249785918
2417.2686681309865,2505.327381402751,17.902799678375814,0.0,0.0,0.0,0.0,17.902799678375814
2392.80329781982,2500.8686139072665,19.027514276973264,0.0,0.0,0.0,0.0,19.027514276973264
2372.633407748888,2486.964818666176,15.644078268321815,0.0,0.0,0.0,0.0,15.644078268321815
2417.8581446603807,2487.23534416292,17.168201214374466,0.0,0.0,0.0,0.0,17.168201214374466
2413.074661954923,2468.377402894716,14.207932488548826,0.0,0.0,0.0,0.0,14.207932488548826
2374.994098502011,2488.574434178018,16.290969799106584,0.0,0.0,0.0,0.0,16.290969799106584
2416.6841847494557,2502.039944873951,18.03395326093433,0.0,0.0,0.0,0.0,18.03395326093433
2411.2153869909444,2506.9959741114026,18.486601450763903,0.0,0.0,0.0,0.0,18.486601450763903
2416.4679479132537,2480.5145492541533,16.440275019341044,0.0,0.0,0.0,0.0,16.440275019341044
2424.9243047924824,2480.7811736035974,15.054595450213435,0.0,0.0,0.0,0.0,15.054595450213435
2412.7681363207926,2522.9627424722025,16.418092840206008,0.0,0.0,0.0,0.0,16.418092840206008
2393.177823060768,2490.560125151263,18.63334362750817,0.0,0.0,0.0,0.0,18.63334362750817
2385.357950048058,2481.3899427611327,16.923407182261442,0.0,0.0,0.0,0.0,16.923407182261442
2402.9594879711844,2530.7178473749264,15.359284504447796,0.0,0.0,0.0,0.0,15.359284504447796
2404.997441152413,2532.147702311047,14.899151135233911,0.0,0.0,0.0,0.0,14.899151135233911
2409.7480700237393,2493.238635130481,18.58693424980431,0.0,0.0,0.0,0.0,18.58693424980431
2422.023432903275,2479.933482150646,15.418505972402858,0.0,0.0,0.0,0.0,15.418505972402858
2392.6827455073512,2469.6951341295903,15.197934023432373,0.0,0.0,0.0,0.0,15.197934023432373
2378.6255301603805,2485.2706029001565,16.631891707226554,0.0,0.0,0.0,0.0,16.631891707226554
2419.4548591677753,2512.183599138883,17.071515023566054,0.0,0.0,0.0,0.0,17.071515023566054
2398.1815345254727,2530.697140237828,15.413037484978753,0.0,0.0,0.0,0.0,15.413037484978753
2406.068865774883,2476.9022841310975,16.749492609955052,0.0,0.0,0.0,0.0,16.749492609955052
2387.9778606304117,2505.345524071645,18.564075641685076,0.0,0.0,0.0,0.0,18.564075641685076
2382.62123878131,2482.350120641834,16.809867179151592,0.0,0.0,0.0,0.0,16.809867179151592
2425.4163907934962,2483.217877427705,15.292852907907399,0.0,0.0,0.0,0.0,15.292852907907399
2395.0409170837197,2527.417435598594,16.142529798995437,0.0,0.0,0.0,0.0,16.142529798995437
2377.8169386015397,2487.799890935576,16.7050064704607,0.0,0.0,0.0,0.0,16.7050064704607
2407.5691016428887,2524.3591709961183,16.61052033740546,0.0,0.0,0.0,0.0,16.61052033740546
2398.0354610475647,2528.00666510955,16.02514971951993,0.0,0.0,0.0,0.0,16.02514971951993
2396.5801648532365,2515.8584396785086,18.186734075994472,0.0,0.0,0.0,0.0,18.186734075994472
2380.103850659724,2490.6195432128247,17.334526457474535,0.0,0.0,0.0,0.0,17.334526457474535
2372.5406217649797,2504.285459200973,16.232770716942554,0.0,0.0,0.0,0.0,16.232770716942554
2396.3251420218226,2512.986434852491,18.54878232669584,0.0,0.0,0.0,0.0,18.54878232669584
2394.1018205270007,2524.668453405425,16.66866284311034,0.0,0.0,0.0,0.0,16.66866284311034
2387.1902964659294,2501.9682525630474,18.581048794858816,0.0,0.0,0.0,0.0,18.581048794858816
2410.727768630078,2501.699618584992,18.71701357457144,0.0,0.0,0.0,0.0,18.71701357457144
2368.99734439177,2501.5327964972694,15.43222992445862,0.0,0.0,0.0,0.0,15.43222992445862
2420.3915960888667,2485.0326190686033,16.508867280872952,0.0,0.0,0.0,0.0,16.508867280872952
2367.7769207488786,2499.5139410303645,15.13781926397219,0.0,0.0,0.0,0.0,15.13781926397219
2408.7924222007096,2466.73578837995,14.192859909869126,0.0,0.0,0.0,0.0,14.192859909869126
2409.0064191580273,2509.8857367914384,18.508695718977787,0.0,0.0,0.0,0.0,18.508695718977787
2381.4601301389407,2474.0514360050324,15.120407356008439,0.0,0.0,0.0,0.0,15.120407356008439
2391.329662653485,2530.6308009614663,15.163616910426626,0.0,0.0,0.0,0.0,15.163616910426626
2411.8923997369147,2519.8386721703832,17.066886677579983,0.0,0.0,0.0,0.0,17.066886677579983
2414.621379652828,2507.6939038736596,18.10226681231684,0.0,0.0,0.0,0.0,18.10226681231684
2397.6330884402437,2477.4102306755744,17.039580149017002,0.0,0.0,0.0,0.0,17.039580149017002
2427.4507682946146,2495.2990530117563,15.976573903400483,0.0,0.0,0.0,0.0,15.976573903400483
2421.689545809933,2477.1681660356458,15.008562952668065,0.0,0.0,0.0,0.0,15.008562952668065
2405.0345879196866,2506.5295307747983,18.944625104250864,0.0,0.0,0.0,0.0,18.944625104250864
2394.492501388321,2496.057598014729,19.035415628607634,0.0,0.0,0.0,0.0,19.035415628607634
2430.49005504902,2505.0448463534535,15.193944106113777,0.0,0.0,0.0,0.0,15.193944106113777
2382.051043635136,2485.176356464435,17.054725037686584,0.0,0.0,0.0,0.0,17.054725037686584
2392.360831968484,2487.619813170321,18.32818171377966,0.0,0.0,0.0,0.0,18.32818171377966
2412.25033951272,2491.393386323372,18.230607280417154,0.0,0.0,0.0,0.0,18.230607280417154
2425.4906142362256,2500.1533944672224,16.54589110240817,0.0,0.0,0.0,0.0,16.54589110240817
2390.9146601783227,2492.534333754465,18.644007578116966,0.0,0.0,0.0,0.0,18.644007578116966
2411.116176729862,2527.8638656975277,15.551955890074,0.0,0.0,0.0,0.0,15.551955890074
2425.3026882626446,2519.53402264664,15.000101002816795,0.0,0.0,0.0,0.0,15.000101002816795
2370.3291420644878,2491.5414752816237,15.400507041829085,0.0,0.0,0.0,0.0,15.400507041829085
2425.1013390163157,2497.0066996864794,16.56876441506267,0.0,0.0,0.0,0.0,16.56876441506267
2392.4005049743005,2475.056093128106,16.387055340106613,0.0,0.0,0.0,0.0,16.387055340106613
2387.074962786263,2476.3252149573623,16.25837542645877,0.0,0.0,0.0,0.0,16.25837542645877
2413.2216678285267,2529.120516443824,15.022398859936802,0.0,0.0,0.0,0.0,15.022398859936802
2393.2125326972173,2464.715162819915,13.918720969845321,0.0,0.0,0.0,0.0,13.918720969845321
2432.234582139508,2500.682796607767,14.822631959298155,0.0,0.0,0.0,0.0,14.822631959298155
2379.2787351591055,2496.3202649618393,17.519180779758138,0.0,0.0,0.0,0.0,17.519180779758138
2418.485225672911,2490.5626318692553,17.399285667364303,0.0,0.0,0.0,0.0,17.399285667364303
2430.126333244673,2499.4076577002015,15.366058915378547,0.0,0.0,0.0,0.0,15.366058915378547
2393.4925536952082,2503.9652291230354,19.013144534326752,0.0,0.0,0.0,0.0,19.013144534326752
2393.6759840590657,2530.021664042393,15.4550764611808,0.0,0.0,0.0,0.0,15.4550764611808
2391.429513816314,2466.7504243435847,14.335470349545357,0.0,0.0,0.0,0.0,14.335470349545357
2413.6066608734004,2514.203209650582,17.67056560871427,0.0,0.0,0.0,0.0,17.67056560871427
2432.3063113078083,2503.457467091366,14.766084065752455,0.0,0.0,0.0,0.0,14.766084065752455
2368.2815686465474,2492.5733490194884,14.990684869809261,0.0,0.0,0.0,0.0,14.990684869809261
2413.503681839625,2500.503329398272,18.447394691097763,0.0,0.0,0.0,0.0,18.447394691097763
2391.58128583873,2495.2831086626497,18.8317013797019,0.0,0.0,0.0,0.0,18.8317013797019
2434.7716462673125,2499.9609450795906,14.10772482616059,0.0,0.0,0.0,0.0,14.10772482616059
2406.202852706135,2526.8665649829722,16.134180496811894,0.0,0.0,0.0,0.0,16.134180496811894
2402.7413942307826,2520.5064655028914,17.539644547139776,0.0,0.0,0.0,0.0,17.539644547139776
2394.231702357636,2482.1263033285454,17.75016383848735,0.0,0.0,0.0,0.0,17.75016383848735
2410.3332423873844,2481.331364590314,17.27753440877714,0.0,0.0,0.0,0.0,17.27753440877714
2386.0071888160496,2511.456549472552,17.9601809212254,0.0,0.0,0.0,0.0,17.9601809212254
2404.6331000530045,2494.0213435518767,18.953628379102735,0.0,0.0,0.0,0.0,18.953628379102735
2396.896480232229,2472.4868280571723,15.960189460143814,0.0,0.0,0.0,0.0,15.960189460143814
2409.8780761595863,2504.250444807735,18.72529903083047,0.0,0.0,0.0,0.0,18.72529903083047
2415.9869923470487,2511.5247267144105,17.647340446674896,0.0,0.0,0.0,0.0,17.647340446674896
2424.951355695945,2487.838660679938,15.948226498925525,0.0,0.0,0.0,0.0,15.948226498925525
2416.3622854317796,2477.430759302376,15.884557048530452,0.0,0.0,0.0,0.0,15.884557048530452
2423.596614801363,2472.743631765997,13.73760316864728,0.0,0.0,0.0,0.0,13.73760316864728
2389.550285452147,2512.6779463028856,18.178851685560762,0.0,0.0,0.0,0.0,18.178851685560762
2385.327433345069,2507.95469254152,18.140909777545104,0.0,0.0,0.0,0.0,18.140909777545104
2405.163859567045,2496.7649883867384,19.043637803099852,0.0,0.0,0.0,0.0,19.043637803099852
2406.855850978856,2492.1687977831084,18.726731286021018,0.0,0.0,0.0,0.0,18.726731286021018
2385.7479318485,2495.6437263887506,18.33290451688887,0.0,0.0,0.0,0.0,18.33290451688887
2396.4518392028826,2504.8746916566834,19.09954101878641,0.0,0.0,0.0,0.0,19.09954101878641
2375.4153415603378,2505.0656453151155,16.77749237230048,0.0,0.0,0.0,0.0,16.77749237230048
2403.467156352734,2527.715208256663,16.066497985390246,0.0,0.0,0.0,0.0,16.066497985390246
2383.5770000946072,2472.437983580256,15.035857398587893,0.0,0.0,0.0,0.0,15.035857398587893
2435.8167193738113,2497.627079346789,13.753939298909401,0.0,0.0,0.0,0.0,13.753939298909401
2419.5372545161413,2481.8640355295984,16.1679510218851,0.0,0.0,0.0,0.0,16.1679510218851
2397.2069452649985,2480.3509599076074,17.54745778120807,0.0,0.0,0.0,0.0,17.54745778120807
2429.858624195934,2488.138537131418,14.90743953236292,0.0,0.0,0.0,0.0,14.90743953236292
