Time (hours),I2 (nM),S2_free (nM),S2_total (nM),I1O2_active
0.016666666666666666,99.98588667167833,0.04713576042409615,1.1872958236972395,1
0.03333333333333333,99.95628123888744,0.09899036985036219,3.61763076270008,1
0.05,99.9135302262368,0.14314598234603215,7.068988132540814,1
0.06666666666666667,99.85968019017419,0.1805954662282286,11.355152844980568,1
0.08333333333333333,99.79596133761828,0.21405718757512082,16.35631521634667,1
0.1,99.72298418908977,0.24559963235937043,22.000074605054603,1
0.11666666666666667,99.64094547316273,0.27660992521716027,28.243864235730957,1
0.13333333333333333,99.54975992093509,0.3080402388888032,35.063649310785436,1
0.15,99.44913744306844,0.34058965951673326,42.44696939463582,1
0.16666666666666666,99.33862767396835,0.3748130923763589,50.38850775282769,1
0.18333333333333332,99.21764560280607,0.4111846784511814,58.88708201702079,1
0.2,99.08548608305564,0.4501354373830094,67.94343141758876,1
0.21666666666666667,98.94133164407585,0.49207634494920954,77.55844800276196,1
0.23333333333333334,98.78425619908663,0.5374129387422665,87.73165018481939,1
0.25,98.61322625127414,0.5865547658861978,98.45978330020418,1
0.26666666666666666,98.42710065889132,0.6399214850987168,109.73548444126409,1
0.2833333333333333,98.2246296864934,0.697946605433214,121.54598624574164,1
0.3,98.00445418020587,0.7610793221238888,133.87184570742696,1
0.31666666666666665,97.76510503725046,0.8297846694547625,146.68574094484745,1
0.3333333333333333,97.50500394952871,0.904541895201211,159.95135093389277,1
0.35,97.22246588162228,0.9858408400639045,173.62238481080135,1
0.36666666666666664,96.91570407283909,1.0741759136547044,187.6418292386798,1
0.38333333333333336,96.58283845626035,1.1700370954235322,201.9414973938695,1
0.4,96.22190855747324,1.2738972285078705,216.4419719342298,1
0.4166666666666667,95.83089212152571,1.3861947380780748,231.05303710648616,1
0.43333333333333335,95.407730892159,1.5073108344961437,245.67468956815478,1
0.45,94.95036508564338,1.6375403264598465,260.1988009644287,1
0.4666666666666667,94.45677808730281,1.7770554764239983,274.5114753143002,1
0.48333333333333334,93.92505264353639,1.9258630172478695,288.4960988629441,1
0.5,93.35343918841842,2.083755658505298,302.0370185362115,1
0.5166666666666667,92.74043578866979,2.2502612323543514,315.02370906474874,1
0.5333333333333333,92.0848774170929,2.4245949938517835,327.3552034616694,1
0.55,91.3860299057164,2.605623141387174,338.94447714565814,1
0.5666666666666667,90.6436812486718,2.7918476127030014,349.7224087223126,1
0.5833333333333334,89.85822048099809,2.9814225492322404,359.64091101953517,1
0.6,89.03069304486426,3.1722103704319786,368.6748546401497,1
0.6166666666666667,88.16282162706679,3.3618796725395703,376.8225123894367,1
0.6333333333333333,87.25698564863094,3.548038533960961,384.10440988470526,1
0.65,86.31615623261243,3.7283879863281473,390.56069760032335,1
0.6666666666666666,85.3437913537522,3.9008737645789004,396.24735217322643,1
0.6833333333333333,84.34370154670775,4.0638132413968915,401.2316740636801,1
0.7,83.31990080586547,4.215979273878761,405.5876077743197,1
0.7166666666666667,82.27645841144486,4.35663207109336,409.39136979534277,1
0.7333333333333333,81.21736545845789,4.485500890080584,412.71774847021334,1
0.75,80.1464258211863,4.60272610184079,415.6372796068092,1
0.7666666666666667,79.06717593366518,4.7087766382645775,418.21434601323966,1
