CCD_um,t50_I2_hr,t50_S2_free_hr,t50_S2_total_hr
200,0.3997323113056865,0.4488327700218212,0.3205112807694134
300,0.5585062159614933,0.6067074005612044,0.46556291413003453
500,0.9010539896063202,0.9221356006590992,0.7822973477990345
800,1.5602458242394737,1.5514571809733149,1.3594736330347088
1000,2.252226733219236,2.2044884372266393,1.90410613570406
1100,2.7615076095056277,2.6801935783903446,2.2912410781575065
1200,3.500383077778662,3.3208793726063073,2.794277687699029
1300,4.473910889230459,4.065114732519894,3.5128117058703854
1500,4.695273056076872,3.9758857432983423,4.488074235804733
