Time (hours),I2 (nM),S2_free (nM),S2_total (nM)
0.0,100.00000000000001,4.706645423321349e-09,4.706645423321349e-09
0.016666666666666666,99.99999999717605,3.3259519890494e-08,1.423060712670845e-06
0.03333333333333333,99.99999997727028,1.2757248567145806e-07,1.1313832671373375e-05
0.05,99.99999976698811,3.5339428325748763e-07,0.00011569080985329652
0.06666666666666667,99.9999992987026,7.935705376845078e-07,0.0003484027499157168
0.08333333333333333,99.99999839728552,1.537102018583266e-06,0.000796805618665889
0.1,99.99999684115586,2.668366494420193e-06,0.0015715494117227707
0.11666666666666667,99.99999437067818,4.259259429265037e-06,0.0028024056956168133
0.13333333333333333,99.99999069881981,6.365115415380482e-06,0.004632947329312404
0.15,99.99998552206111,9.02394183069345e-06,0.00721508744026631
0.16666666666666666,99.99997853018651,1.225794988778528e-05,0.010704168965217973
0.18333333333333332,99.9999694142208,1.6076351379760442e-05,0.015254977969390657
0.2,99.99995787226486,2.0478617374569866e-05,0.021018806897414373
0.21666666666666667,99.99994361330477,2.545767395635636e-05,0.02814153302215745
0.23333333333333334,99.99992635924124,3.1002746877696996e-05,0.036762589709083776
0.25,99.99990584545563,3.7101735003764967e-05,0.0470146725925887
0.26666666666666666,99.99988182023385,4.374309709392617e-05,0.059024019798186174
0.2833333333333333,99.99985404333943,5.091729364499857e-05,0.07291112016529372
0.3,99.99982228398167,5.8617851198508825e-05,0.08879172615347954
0.31666666666666665,99.99978631837513,6.68421232029556e-05,0.10677807275449268
0.3333333333333333,99.99974552290615,7.568141034555918e-05,0.12722062718087573
0.35,99.99969996880678,8.498674891910615e-05,0.1500465002974128
0.36666666666666664,99.99964941876206,9.483806994818699e-05,0.1753744674807633
0.38333333333333336,99.9995936275795,0.00010525497821415884,0.20332716689279448
0.4,99.99953234054287,0.00011626086548444906,0.23403199093459184
0.4166666666666667,99.99946529033748,0.00012788464530390432,0.2676226268461592
0.43333333333333335,99.99939219389867,0.0001401609644689871,0.30424063375224397
0.45,99.99931274922146,0.000153130361992095,0.3440370388519771
0.4666666666666667,99.99922663212371,0.00016683944245207807,0.3871739565470331
0.48333333333333334,99.99913349294647,0.00018134107821045307,0.4338262385849467
0.5,99.99903295317226,0.00019669464662426658,0.48418316495316377
0.5166666666666667,99.99892460194044,0.00021296630525115414,0.5384501859546822
0.5333333333333333,99.99880799243805,0.00023022930625709906,0.5968507260528578
0.55,99.99868263814585,0.00024856435001764665,0.6596280598684262
0.5666666666666667,99.99854800891914,0.00026805997700416194,0.7270472702465169
0.5833333333333334,99.99840352688513,0.0002888129963621061,0.7993972976526278
0.6,99.99824856213925,0.00031092894906444555,0.8769930893543492
0.6166666666666667,99.998082428226,0.00033452260313457404,0.960177855941866
0.6333333333333333,99.99790437738999,0.00035971847817344255,1.0493254417741786
0.65,99.9977135955864,0.00038665139630386603,1.1448428149508096
0.6666666666666666,99.99750919724092,0.0004154670566815962,1.2471726814470054
0.6833333333333333,99.99729021975152,0.0004463226309459288,1.3567962271680227
0.7,99.99705561772552,0.0004793873774238485,1.4742359909372784
0.7166666666666667,99.99680425694639,0.0005148432725908704,1.600058870903743
0.7333333333333333,99.99653490806537,0.0005528856592503579,1.7348792666108854
0.75,99.99624624001254,0.000593723912128063,1.8793623590881627
0.7666666666666667,99.99593681312076,0.0006375821230747847,2.0342275318761085
0.7833333333333333,99.99560507195346,0.0006846998097837665,2.200251936932777
0.8,99.99524933782482,0.0007353326537836265,2.3782742109242787
0.8166666666666667,99.9948678009955,0.0007897532753485963,2.5691983494726696
0.8333333333333334,99.99445851252277,0.0008482520547255039,2.773997749473643
0.85,99.99401937573758,0.000911138010530587,2.993719432504815
0.8666666666666667,99.99354813731435,0.0009787397471164633,3.22948846546537
0.8833333333333333,99.9930423778934,0.0010514064829456689,3.4825125977043156
0.9,99.99249950220945,0.0011295091713496162,3.7540871367421604
0.9166666666666666,99.99191672867563,0.0012134417233737279,4.045600086971441
0.9333333333333333,99.99129107836788,0.0013036223396792677,4.358537577132621
0.95,99.99061936335521,0.001400494954788202,4.6944896026353025
0.9666666666666667,99.98989817432222,0.0015045307925771504,5.05515610774276
0.9833333333333333,99.98912386743454,0.0016162300272690821,5.442353430199503
1.0,99.98829255040567,0.0017361235397923135,5.858021127160406
1.0166666666666666,99.98740006773106,0.001864774755902091,6.304229196562297
1.0333333333333334,99.98644198506675,0.0020027815504973893,6.783185702823816
1.05,99.98541357273815,0.0021507782025875772,7.2972448105569425
1.0666666666666667,99.98430978837365,0.002309437387609943,7.848915225472734
1.0833333333333333,99.9831252586624,0.0024794721982013537,8.440869038480145
1.1,99.98185426023785,0.0026616381906838737,9.075950967595624
1.1166666666666667,99.98049069968583,0.0028567354617388984,9.757187992971748
1.1333333333333333,99.97902809266877,0.0030656107671076837,10.487799383111406
1.15,99.97745954214822,0.0032891597006773237,11.271207114862179
1.1666666666666667,99.97577771567327,0.0035283289570586774,12.111046695516889
1.1833333333333333,99.97397482168964,0.003784118703006273,13.011178401508376
1.2,99.97204258481014,0.004057585082361382,13.975698953901265
1.2166666666666666,99.9699722199765,0.00434984287560852,15.008953655285424
1.2333333333333334,99.96775440543512,0.004662068329043535,16.115549015040443
1.25,99.96537925444736,0.004995502160777636,17.300365889797185
1.2666666666666666,99.9628362856568,0.0053514527424696565,18.56857316313998
1.2833333333333334,99.96011439204376,0.005731299448056225,19.925641983415698
1.3,99.95720180840716,0.006136496155060121,21.37736057154003
1.3166666666666667,99.95408607732524,0.006568574881254349,22.929849602782596
1.3333333333333333,99.95075401355875,0.0070291495400549835,24.589578158665006
1.35,99.94719166686777,0.007519919801943304,26.36338023827343
1.3666666666666667,99.94338428321895,0.008042675055814083,28.258471813203936
1.3833333333333333,99.93931626435976,0.00859929847222907,30.282468407394475
1.4,99.93497112573067,0.00919177117859685,32.44340318216047
1.4166666666666667,99.93033145267961,0.009822176562688268,34.74974550727674
1.4333333333333333,99.92537885493176,0.010492704724189082,37.21041999995717
1.45,99.92009391925941,0.01120565709319968,39.834826013825555
1.4666666666666666,99.91445616029064,0.011963451229337854,42.63285755811363
1.4833333333333334,99.90844396939602,0.012768625805761687,45.61492362217412
1.5,99.90203456160002,0.013623845770103787,48.79196887111775
1.5166666666666666,99.8952039204791,0.01453190766071471,52.17549466466252
1.5333333333333334,99.887926741032,0.015495745043889748,55.77758033344777
1.55,99.88017637053564,0.016518434028149794,59.61090462610038
1.5666666666666667,99.87192474743038,0.017603198807232,63.68876721781633
1.5833333333333333,99.8631423383083,0.018753417185740563,68.0251101491233
1.6,99.85379807309893,0.019972626051166002,72.6345390439707
1.6166666666666667,99.84385927856107,0.021264526772945328,77.532343941377
1.6333333333333333,99.8332916101872,0.02263299053213273,82.73451956614066
1.65,99.82205898261088,0.024082063611847258,88.257784862473
1.6666666666666667,99.81012349857576,0.025615972705999905,94.1196016198225
1.6833333333333333,99.79744537647892,0.02723913032854421,100.33819203161774
1.7,99.78398287644632,0.028956140424345578,106.93255504319944
1.7166666666666666,99.76969222483841,0.03077180429291672,113.92248136210371
1.7333333333333334,99.75452753702584,0.03269112693579559,121.32856701886138
1.75,99.73844073822615,0.03471932392653256,129.1722253762545
