Time_hours,I2_COMSOL_nM,I2_FiPy_nM,I2_diff_nM,I2_pct_diff,S2_free_COMSOL_nM,S2_free_FiPy_nM,S2_free_diff_nM,S2_free_pct_diff,S2_total_COMSOL_nM,S2_total_FiPy_nM,S2_total_diff_nM,S2_total_pct_diff
0.0,100.0,100.0,0.0,0.0,2.8448343716463278e-52,1.6367095567691248e-10,1.6367095567691248e-10,0.0,2.8448343716463278e-52,1.6367095567691248e-10,1.6367095567691248e-10,0.0
0.0166666666666666,100.0,99.99999999937704,-6.229612381503102e-10,-6.229612381503102e-10,3.600411725723203e-22,1.1755714722435484e-08,1.1755714722435123e-08,0.0,1.8740928428817177e-20,3.2105962933047204e-07,3.210596293304533e-07,0.0
0.0333333333333333,100.0,99.9999999807415,-1.9258493466622895e-08,-1.9258493466622895e-08,2.692106715896269e-14,1.706180039013757e-07,1.7061797698030854e-07,0.0,1.2752342273479722e-12,9.73303374606025e-06,9.733032470826022e-06,0.0
0.05,99.9999999999998,99.9999997854376,-2.1456220622440014e-07,-2.1456220622440057e-07,2.5970902385748876e-12,1.1929016219840182e-06,1.1928990248937795e-06,0.0,1.0239807442754019e-10,0.0001077297970224,0.00010772969462432557,0.0
0.0666666666666666,99.99999999999815,99.9999986423971,-1.3576010502447389e-06,-1.3576010502447639e-06,4.419006454098601e-11,5.34380231903626e-06,5.343758128971719e-06,0.0,9.732320753230287e-10,0.0006794359450452,0.0006794349718131247,0.0
0.0833333333333333,100.0,99.99999406721264,-5.932787360052316e-06,-5.932787360052316e-06,5.393281088312947e-10,1.7688204560618333e-05,1.76876652325095e-05,0.0,5.393281088312963e-10,0.0029635018159202,0.002963501276592091,0.0
0.1,100.0,99.99998005285316,-1.9947146839172092e-05,-1.9947146839172092e-05,2.485721821370041e-09,4.706489354715484e-05,4.706240782533347e-05,0.0,2.485721821370041e-09,0.0099514402244647,0.009951437738742878,0.0
0.1166666666666666,100.0,99.99994481095008,-5.5189049916748445e-05,-5.5189049916748445e-05,7.541973009195956e-09,0.0001063159018734,0.0001063083599003908,0.0,7.541973009195956e-09,0.0275093545934139,0.027509347051440893,0.0
0.1333333333333333,100.0,99.99986854633012,-0.0001314536698799884,-0.0001314536698799884,1.9176277487616636e-08,0.0002116735051692,0.00021165432889171237,0.0,1.9176277487616636e-08,0.0654822389216194,0.06548221974534192,0.0
0.15,100.0,99.9997217413234,-0.0002782586766016948,-0.0002782586766016948,4.4661765293848754e-08,0.0003815384122133,0.00038149375044800615,0.0,4.4661765293848754e-08,0.1385443200014303,0.138544275339665,0.0
0.1666666666666666,100.0,99.99946425106054,-0.0005357489394555159,-0.0005357489394555159,8.274043511717078e-08,0.0006350121626705,0.0006349294222353828,0.0,8.274043511717078e-08,0.2666459434462365,0.2666458607058014,0.0
0.1833333333333333,100.0,99.99904529063323,-0.0009547093667663376,-0.0009547093667663376,1.4349649927810695e-07,0.0009905031938365,0.000990359697337222,0.0,1.4349649927810695e-07,0.4750166924250693,0.47501654892857,0.0
0.2,100.0,99.99840421959176,-0.0015957804082376015,-0.0015957804082376015,2.2431536318909915e-07,0.0014646063334096,0.001464382018046411,0.0,2.2431536318909915e-07,0.7937712585810418,0.7937710342656786,0.0
0.2166666666666666,100.0,99.99738024584848,-0.0026197541515244893,-0.0026197541515244893,3.3155390910277127e-07,0.0020714364349443,0.0020711048810351973,0.0,3.3155390910277127e-07,1.3049602147251456,1.3049598831712366,0.0
0.2333333333333333,100.0,99.9958700414096,-0.004129958590397109,-0.004129958590397109,4.7017783332492165e-07,0.002821947713243,0.0028214775354096747,0.0,4.7017783332492165e-07,2.0610657697106323,2.061065299532799,0.0
0.25,100.0,99.99387486323096,-0.006125136769043138,-0.006125136769043138,6.384884515158816e-07,0.0037240880149063,0.003723449526454784,0.0,6.384884515158816e-07,3.0598406572368853,3.059840018748434,0.0
0.2666666666666666,100.0,99.99131133728504,-0.008688662714959605,-0.008688662714959605,8.447072740846129e-07,0.0047827567242272,0.004781912016953115,0.0,8.447072740846129e-07,4.34287709273746,4.342876248030186,0.0
0.2833333333333333,100.0,99.988095957621,-0.011904042379001112,-0.011904042379001112,1.0850449249299351e-06,0.0060000754567639,0.00599899041183897,0.0,1.0850449249299351e-06,5.951749830841654,5.951748745796729,0.0
0.3,100.0,99.98414659359618,-0.015853406403820713,-0.015853406403820713,1.3643326786692487e-06,0.0073757223127893,0.0073743579801106305,0.0,1.3643326786692487e-06,7.927237171155867,7.927235806823188,0.0
0.3166666666666666,100.0,99.97938375325548,-0.02061624674452389,-0.02061624674452389,1.6815819434383266e-06,0.0089073059378362,0.008905624355892762,0.0,1.6815819434383266e-06,10.30866241279522,10.308660731213276,0.0
0.3333333333333333,100.0,99.97373159914288,-0.0262684008571199,-0.0262684008571199,2.0371995874510273e-06,0.010590745045272,0.01058870784568455,0.0,2.0371995874510273e-06,13.13335847732514,13.133356440125553,0.0
0.35,100.0,99.96711872827612,-0.032881271723880445,-0.032881271723880445,2.4319083350479126e-06,0.0124206301618416,0.012418198253506551,0.0,2.4319083350479126e-06,16.436250694673568,16.436248262765233,0.0
0.3666666666666666,100.0,99.95947873741248,-0.04052126258751798,-0.04052126258751798,2.8652149538202667e-06,0.0143905535362399,0.01438768832128608,0.0,2.8652149538202667e-06,20.24954799187047,20.24954512665552,0.0
0.3833333333333333,100.0,99.95075059958477,-0.049249400415234845,-0.049249400415234845,3.3370292332858398e-06,0.0164933999969621,0.016490062967728814,0.0,3.3370292332858398e-06,24.60253020492104,24.602526867891807,0.0
0.4,100.0,99.94087887951568,-0.0591211204843205,-0.0591211204843205,3.847391904639362e-06,0.0187215963602673,0.01871774896836266,0.0,3.847391904639362e-06,29.52141829922768,29.521414451835774,0.0
0.4166666666666667,100.0,99.92981381501215,-0.0701861849878469,-0.0701861849878469,4.396051118498617e-06,0.0210673201720772,0.0210629241209587,0.0,0.00048389475809357897,35.0293144068142,35.02883051205611,0.0
0.4333333333333333,100.0,99.91751128961702,-0.08248871038297523,-0.08248871038297523,4.9830437004691335e-06,0.0235226705142399,0.02351768747053943,0.0,0.0012771497070539991,41.14619936747155,41.144922217764496,0.0
0.45,100.0,99.9039327192573,-0.09606728074270166,-0.09606728074270166,5.607595745641421e-06,0.026079804659697,0.02607419706395136,0.0,0.0024108092398824957,47.88897660434846,47.886565795108574,0.0
0.4666666666666667,100.0,99.88904487278916,-0.11095512721084333,-0.11095512721084333,6.268899228982059e-06,0.0287310448000274,0.028724775900798416,0.0,0.004028966079176958,55.27155247042692,55.26752350434774,0.0
0.4833333333333333,100.0,99.87281964347186,-0.12718035652814308,-0.12718035652814308,6.967458134571532e-06,0.0314689591046954,0.031461991646560834,0.0,0.006041746229330906,63.30494453740356,63.29890279117423,0.0
0.5,100.0,99.85523378567596,-0.14476621432403647,-0.14476621432403647,7.70327246240985e-06,0.0342864211594419,0.03427871788697949,0.0,0.008449149690344358,71.99741057986597,71.98896143017562,0.0
0.5166666666666667,100.0,99.8362686286404,-0.16373137135960292,-0.16373137135960292,8.476342212497002e-06,0.0371766514812181,0.0371681751390056,0.0,0.011251176462217297,81.35459218812261,81.34334101166039,722976.3152752992
0.5333333333333333,100.0,99.81590977687918,-0.18409022312081902,-0.18409022312081902,9.301099283721575e-06,0.0401332443932371,0.04012394329395338,0.0,0.014899409548804933,91.37966799974542,91.36476859019662,613210.6664423149
0.55,100.0,99.79414680491683,-0.20585319508316502,-0.20585319508316502,1.0172038321610344e-05,0.0431501831144895,0.04314001107616789,0.0,0.01922158301826405,102.0735124658431,102.05429088282483,530935.9316860345
0.5666666666666667,100.0,99.7709729523897,-0.2290270476103018,-0.2290270476103018,1.10866052704841e-05,0.0462218455032388,0.046210758897968315,0.0,0.024137778895522124,113.434856866197,113.41071908730147,469847.3690482792
0.5833333333333334,100.0,99.74638482416832,-0.25361517583168336,-0.25361517583168336,1.2044800130342845e-05,0.0493430025104847,0.04933095771035436,0.0,0.029647997180579155,125.46044996625442,125.43080196907384,423066.6955514856
0.6,100.0,99.72038209900812,-0.2796179009918802,-0.2796179009918802,1.3050265118981018e-05,0.0525088110554417,0.05249576079032272,0.0,0.03565154463259764,138.14521628007157,138.10956473543897,387387.32405204076
0.6166666666666667,100.0,99.69296724929092,-0.30703275070908376,-0.30703275070908376,1.4128895166617592e-05,0.0557148027334223,0.055700673838255686,0.0,0.04143252654341507,151.4824103791792,151.4409778526358,365512.2930868056
0.6333333333333333,100.0,99.66414527365257,-0.33585472634743496,-0.33585472634743496,1.52622911726511e-05,0.0589568695063843,0.05894160721521165,0.0,0.04749960691189765,165.46376608050426,165.41626647359237,348247.6534603891
0.65,100.0,99.63392344367496,-0.36607655632504077,-0.36607655632504077,1.6450453137081535e-05,0.0622312473050858,0.062214796851948716,0.0,0.05385278573804537,180.0796396687009,180.02578688296285,334292.4315162773
0.6666666666666666,100.0,99.60231106532824,-0.3976889346717627,-0.3976889346717627,1.7693381059908896e-05,0.065534498285545,0.0655168049044851,0.0,0.06049206302185825,195.31914657024507,195.2586545072232,322783.9236308874
0.6833333333333333,99.99999232852299,99.56931925546472,-0.43067307305827285,-0.43067310609726117,1.901111346825368e-05,0.0688634923272403,0.06884448121377205,0.0,0.06659482507751746,211.17029110796372,211.1036962828862,316997.1481074664
