CCD_um,COMSOL_I2_final_nM,Python_I2_final_nM,Difference_nM,Relative_Difference_percent
200,1.942971017793738,1.6813169916585,0.261654026135238,14.438920165993292
300,2.5403762196497013,2.1468242448254,0.39355197482430126,16.792623989824314
800,8.222471133148815,6.7871182293270005,1.4353529038218147,19.125811761515838
1000,15.557921499267366,12.0886805438078,3.469240955459565,25.097051348692084
1200,37.35442117140303,26.581915673405,10.772505497998033,33.69759992395566
1300,67.62429181235049,47.977655912770096,19.646635899580396,33.99014685513146
1500,98.39724040315969,93.118254457615,5.27898594554469,5.512855186346499
