Time_hours,I2_diff_nM,I2_percent_diff,S2_free_diff_nM,S2_free_percent_diff,S2_total_diff_nM,S2_total_percent_diff,COMSOL_I2_nM,FiPy_I2_nM
0.0,-0.8464664416131598,-0.8464664416131598,7.89648942133433e-11,7.896489421334331e-11,7.89648942133433e-11,1.5483312590851628e-12,100.0,99.15353355838684
0.016666666666666666,-0.8464664418459193,-0.8464664418459193,3.3398982239127127e-09,3.3398982239127127e-09,1.1892550713965809e-07,2.3318726890129038e-09,100.0,99.15353355815408
0.03333333333333333,-0.8464664462742633,-0.8464664462742633,2.9995045216510445e-08,2.9995045216510445e-08,2.3448819940367116e-06,4.5978078314445326e-08,100.00000000011026,99.153533553836
0.05,-0.8464664807949873,-0.8464664807949873,1.3572920724431757e-07,1.3572920724431757e-07,1.9622378817442556e-05,3.84752525832207e-07,100.00000000558974,99.15353352479475
0.06666666666666667,-0.8464666944307453,-0.8464666944307453,4.108192007647148e-07,4.108192007647148e-07,0.00012647245677882188,2.47985209370239e-06,100.00000005585655,99.1535333614258
0.08333333333333333,-0.8464674690778082,-0.8464674690778082,9.552870854183121e-07,9.552870854183121e-07,0.0005042717223763268,9.887680830908368e-06,100.00000034844649,99.15353287936868
0.1,-0.8464693035815003,-0.8464693035815003,1.8625126412185122e-06,1.8625126412185122e-06,0.0013707296948950241,2.68770528410789e-05,100.00000120257882,99.15353189899731
0.11666666666666667,-0.8464728861246442,-0.8464728861246442,3.2062172337732255e-06,3.2062172337732255e-06,0.0029846918084921502,5.852336879396373e-05,100.00000304338208,99.15353015725744
0.13333333333333333,-0.8464791334773878,-0.8464791334773878,5.032992988224503e-06,5.032992988224503e-06,0.005634222339259529,0.00011047494782861822,100.00000649075905,99.15352735728166
0.15,-0.8464889785498713,-0.8464889785498713,7.3699094689042835e-06,7.3699094689042835e-06,0.009629097561465957,0.00018880583453854816,100.00001216231799,99.15352318376812
0.16666666666666666,-0.846502596896002,-0.846502596896002,1.0230335221988013e-05,1.0230335221988013e-05,0.01524621388072311,0.00029894537021025704,100.00001991164196,99.15351731474595
0.18333333333333332,-0.8465209667388933,-0.8465209667388933,1.3620415424185657e-05,1.3620415424185655e-05,0.022694393304829176,0.0004449881040162584,100.00003039587591,99.15350942913702
0.2,-0.846544604929278,-0.846544604929278,1.7542943604277786e-05,1.7542943604277786e-05,0.03211142802564395,0.0006296358436400774,100.00004381548354,99.15349921055426
0.21666666666666667,-0.8465735398813052,-0.8465735398813052,2.2001079852376733e-05,2.2001079852376733e-05,0.0432909183054844,0.0008488415354016549,100.00005988801362,99.15348634813232
0.23333333333333334,-0.8466075982015866,-0.8466075982015866,2.7002348553186103e-05,2.7002348553186103e-05,0.05552667175093501,0.0010887582696261766,100.00007813340494,99.15347053520335
0.25,-0.846647050072022,-0.846647050072022,3.2560572995334747e-05,3.2560572995334747e-05,0.06798725176575762,0.0013330833679560318,100.00009851657806,99.15345146650604
0.26666666666666666,-0.8466924065195514,-0.8466924065195514,3.872047478458421e-05,3.872047478458421e-05,0.08114976002283332,0.0015911717651535943,100.00012107643123,99.15342866991168
0.2833333333333333,-0.8467440243815503,-0.8467440243815503,4.5456753320578667e-05,4.5456753320578667e-05,0.09522065826650475,0.0018670717307157794,100.00014595888375,99.1534019345022
0.3,-0.8468021801972156,-0.8468021801972156,5.282396002587569e-05,5.282396002587569e-05,0.1103236977682012,0.0021632097601608077,100.00017310217842,99.1533709219812
