CCD_um,I2_initial_nM,I2_final_nM,t50_I2_hr,S2_free_initial_nM,S2_free_final_nM,t50_S2_free_hr,S2_total_initial_nM,S2_total_final_nM,t50_S2_total_hr
200,100.0,1.942971017793738,0.3997323113056865,-2.4593855898452644e-21,151.14707581815603,0.4488327700218212,-3.71922428787881e-21,5240.796971689652,0.3205112807694134
300,100.0,2.5403762196497013,0.5585062159614933,7.313501442495246e-27,115.11198351179007,0.6067074005612044,-4.245445181471914e-27,5201.031241719919,0.46556291413003453
500,100.0,4.025364302823604,0.9010539896063202,-3.7035618118640975e-36,71.2942233646477,0.9221356006590992,1.705048171938809e-35,5146.210648525027,0.7822973477990345
800,100.0,8.222471133148815,1.5602458242394737,5.5226438898543326e-43,33.21993188830061,1.5514571809733149,-2.8801571085818425e-42,5080.804215391779,1.3594736330347088
1000,100.0,15.557921499267366,2.252226733219236,2.7041654918367107e-47,16.261297030941595,2.2044884372266393,-9.640700664706237e-46,5013.576850738463,1.90410613570406
1100,100.0,23.036104438175627,2.7615076095056277,-7.615774327354671e-48,10.034121032956186,2.6801935783903446,6.754535955965147e-48,4947.234916988969,2.2912410781575065
1200,100.0,37.354421171403025,3.500383077778662,-5.744391718898511e-50,4.996435677449099,3.3208793726063073,3.957151563085688e-49,4809.375790783848,2.794277687699029
1300,100.0,67.62429181235049,4.473910889230459,4.45517780338637e-50,1.4109279505048016,4.065114732519894,-5.343845110500543e-50,4225.929239914365,3.5128117058703854
1500,100.0,98.39724040315967,4.695273056076872,2.8448343716463278e-52,0.05089098751776691,3.9758857432983423,-3.642838909199171e-51,715.1264931313069,4.488074235804733
