x,phi
0.125,4.652216665648122e-52
0.375,5.060397574239504e-52
0.625,5.912016253167471e-52
0.875,7.280583210014491e-52
1.125,9.2841067198588e-52
1.375,1.2095105987294919e-51
1.625,1.5955229056352713e-51
1.875,2.1195693755040215e-51
2.125,2.826525236336894e-51
2.375,3.776800220469875e-51
2.625,5.051417544688929e-51
2.875,6.75881077359562e-51
3.125,9.043899297579797e-51
3.375,1.2100189397957672e-50
3.625,1.618589454475966e-50
3.875,2.164539544014276e-50
4.125,2.8937793503670143e-50
4.375,3.8674885524466525e-50
4.625,5.167164772082898e-50
4.875,6.901332476685181e-50
5.125,9.214455315735517e-50
5.375,1.2298771383919807e-49
5.625,1.6410004530905044e-49
5.875,2.1888213879243684e-49
6.125,2.9185452369989103e-49
6.375,3.890244535299027e-49
6.625,5.18372140663347e-49
6.875,6.904951178527253e-49
7.125,9.194618556294861e-49
7.375,1.2239422011237009e-48
7.625,1.628703892577761e-48
7.875,2.1665930136287078e-48
8.125,2.881153977501283e-48
8.375,3.8300943609330974e-48
8.625,5.089865437175789e-48
8.875,6.761715576236745e-48
9.125,8.979687344037792e-48
9.375,1.1921178750099676e-47
9.625,1.582088596953554e-47
9.875,2.0989203835185274e-47
10.125,2.7836500923628523e-47
10.375,3.690513367171848e-47
10.625,4.891165212522753e-47
10.875,6.480242249905957e-47
11.125,8.5826906181387e-47
11.375,1.1363416639619172e-46
11.625,1.503999209699344e-46
11.875,1.9899375146073553e-46
12.125,2.6319908397478865e-46
12.375,3.4800249589663356e-46
12.625,4.599740638607823e-46
12.875,6.077672284298205e-46
13.125,8.02775502399094e-46
13.375,1.0599949352781915e-45
13.625,1.3991564054956753e-45
13.875,1.846211639327651e-45
14.125,2.4352827799745853e-45
14.375,3.211219214380596e-45
14.625,4.232949637486346e-45
14.875,5.5778751576916774e-45
15.125,7.347624744845343e-45
15.375,9.675592859714569e-45
15.625,1.273680766708958e-44
15.875,1.6760845912789043e-44
16.125,2.204872916042543e-44
16.375,2.8995021009013405e-44
16.625,3.8116716127566017e-44
16.875,5.009099540792935e-44
17.125,6.580455097003907e-44
17.375,8.641800393219388e-44
17.625,1.1345000360116339e-43
17.875,1.4888698275985753e-43
18.125,1.953263456404521e-43
18.375,2.5616320691952747e-43
18.625,3.3583384229985122e-43
18.875,4.40132962066038e-43
19.125,5.766270479397732e-43
19.375,7.551926495335615e-43
19.625,9.887171712518408e-43
19.875,1.2940108777495928e-42
20.125,1.6929933614190996e-42
20.375,2.2142365253267725e-42
20.625,2.8949705014164545e-42
20.875,3.7836904766427386e-42
21.125,4.943543243808475e-42
21.375,6.456725146178006e-42
21.625,8.430191451186999e-42
21.875,1.1003065590760268e-41
22.125,1.4356250974533992e-41
22.375,1.872489573295153e-41
22.625,2.4414551462887894e-41
22.875,3.1822113300865917e-41
23.125,4.146294649552845e-41
23.375,5.400601475842239e-41
23.625,7.031935462929307e-41
23.875,9.152892209489844e-41
24.125,1.1909471671185359e-40
24.375,1.5490922100325957e-40
24.625,2.014246515088697e-40
24.875,2.6181739578069705e-40
25.125,3.402004264886409e-40
25.375,4.418975931864909e-40
25.625,5.737976911625602e-40
25.875,7.448113477446464e-40
26.125,9.66460373217358e-40
26.375,1.253637711010632e-39
26.625,1.625587021434843e-39
26.875,2.1071649253893756e-39
27.125,2.730466890057474e-39
27.375,3.53692077191259e-39
27.625,4.579981568578328e-39
27.875,5.92859879233143e-39
28.125,7.671676393085654e-39
28.375,9.923807302728975e-39
28.625,1.2832644245327305e-38
28.875,1.6588370309662685e-38
29.125,2.1435863102101134e-38
29.375,2.769031298568384e-38
29.625,3.575726903566099e-38
29.875,4.615835873907462e-38
30.125,5.956427549363797e-38
30.375,7.683707245459099e-38
30.625,9.908436876752668e-38
30.875,1.277287984788185e-37
31.125,1.6459695639885954e-37
31.375,2.1203327355422193e-37
31.625,2.7304575708232133e-37
31.875,3.5149244379993135e-37
32.125,4.523198554013481e-37
32.375,5.818678487883304e-37
32.625,7.4825920827590175e-37
32.875,9.618973568909619e-37
33.125,1.2361019628636876e-36
33.375,1.5879203539449868e-36
33.625,2.0391629944189213e-36
33.875,2.617724420701728e-36
34.125,3.359267722464374e-36
34.375,4.30937184848467e-36
34.625,5.526267913869422e-36
34.875,7.084324811150752e-36
35.125,9.07848770860852e-36
35.375,1.1629927890704922e-35
35.625,1.4893231935984194e-35
35.875,1.9065546326018797e-35
36.125,2.439820514598086e-35
36.375,3.121150977270839e-35
36.625,3.991350817288075e-35
36.875,5.102384752041114e-35
37.125,6.52040597317664e-35
37.375,8.329600089508162e-35
37.625,1.0637062219589058e-34
37.875,1.3578982670984482e-34
38.125,1.7328489467935605e-34
38.375,2.2105587905790793e-34
38.625,2.8189753281313424e-34
38.875,3.5935879213034543e-34
39.125,4.579446837001106e-34
39.375,5.833718482885166e-34
39.625,7.42891800612464e-34
39.875,9.45699732674472e-34
40.125,1.2034513093376702e-33
40.375,1.5309157459489649e-33
40.625,1.946800805423984e-33
40.875,2.4747945915246972e-33
41.125,3.144880628778873e-33
41.375,3.994997312335496e-33
41.625,5.073131140348813e-33
41.875,6.439956155309955e-33
42.125,8.172160905510422e-33
42.375,1.0366640477622294e-32
42.625,1.3145776601979097e-32
42.875,1.6664085813158808e-32
43.125,2.1116587058214704e-32
43.375,2.6749329603347777e-32
43.625,3.387263411657121e-32
43.875,4.287774003962157e-32
44.125,5.425772784405356e-32
44.375,6.863380426984968e-32
44.625,8.678831310981439e-32
44.875,1.097061771618497e-31
45.125,1.3862690560492764e-31
45.375,1.7510983640726242e-31
45.625,2.211159517644673e-31
45.875,2.791104387357687e-31
46.125,3.5219120792254245e-31
46.375,4.442498808463613e-31
46.625,5.601733745553862e-31
46.875,7.060962280849566e-31
47.125,8.897163267879485e-31
47.375,1.120689807724263e-30
47.625,1.4111248217669337e-30
47.875,1.776198671290791e-30
48.125,2.2349288661883675e-30
48.375,2.811136130480646e-30
48.625,3.534646700015279e-30
48.875,4.442792815910144e-30
49.125,5.582284679784663e-30
