param_value,I2_center_final_nM_mean,I2_center_final_nM_std,S2_free_center_final_nM_mean,S2_free_center_final_nM_std,S2_total_center_final_nM_mean,S2_total_center_final_nM_std,half_time_center_hr_mean,half_time_center_hr_std,wall_time_s_mean,wall_time_s_std,n_cells_mean,n_cells_std
0.0,37.36283355649944,,10.247662950181184,,461.4925350057935,,1.1887574800978975,,208.1382164042443,,10728.0,
6.12245e-07,37.464035137506805,,10.201618540658142,,461.2954747885956,,1.1876923607027479,,210.57901430130005,,10728.0,
1.22449e-06,37.56476187997952,,10.156044998830662,,461.0994386298693,,1.1866332610404204,,208.1555218603462,,10728.0,
1.83673e-06,37.66501489135816,,10.110936334606953,,460.90442055454815,,1.185580176647954,,209.2843619529158,,10728.0,
2.44898e-06,37.76479531745528,,10.06628664155977,,460.7104146101164,,1.1845330987808427,,200.55236807838082,,10728.0,
3.06122e-06,37.86410434319388,,10.022090094934011,,460.5174148631178,,1.1834920216544162,,201.29303697869182,,10728.0,
3.67347e-06,37.96294319068979,,9.978340950889129,,460.3254154008988,,1.1824744318634282,,205.27863786369562,,10728.0,
4.28571e-06,38.06131311785081,,9.935033545425744,,460.1344103321657,,1.181465880835072,,209.54750642180443,,10728.0,
4.89796e-06,38.15921541807682,,9.89216229300245,,459.9443937857438,,1.180463192605004,,206.20379459485412,,10728.0,
5.5102e-06,38.2566514192669,,9.84972168540004,,459.755359910592,,1.1794663578120588,,206.5651596430689,,10728.0,
6.12245e-06,38.3536224823066,,9.807706290784711,,459.5673028766712,,1.1784753665308367,,197.7517501283437,,10728.0,
6.73469e-06,38.45013000071936,,9.766110752409787,,459.3802168739408,,1.1774902082757264,,206.80782234109938,,10728.0,
7.34694e-06,38.54617539927395,,9.724929787664834,,459.1940961130791,,1.1765108720215955,,197.17598569579422,,10728.0,
7.95918e-06,38.64176013353515,,9.68415818685168,,459.0089348246863,,1.1755373462095102,,199.39346918463707,,10728.0,
8.57143e-06,38.73688568861889,,9.643790812238802,,458.8247272598376,,1.1745696187650694,,198.63255297020078,,10728.0,
9.18367e-06,38.83155357830478,,9.603822597016563,,458.64146769009824,,1.173607677111207,,196.95210962556303,,10728.0,
9.79592e-06,38.9257653445307,,9.564248544139224,,458.4591504068495,,1.172651508174934,,204.6745472829789,,10728.0,
1.04082e-05,39.01952255587012,,9.52506372553938,,458.2777697224527,,1.1717010984102691,,205.5184962619096,,10728.0,
1.10204e-05,39.1128268074239,,9.486263280871391,,458.09731996896494,,1.1707564337988838,,205.40014595724642,,10728.0,
1.16327e-05,39.20567971923206,,9.44784241678688,,457.9177954994655,,1.1698174998739574,,204.2035596203059,,10728.0,
1.22449e-05,39.298082936141846,,9.409796405723686,,457.73919068684967,,1.168884281721323,,204.2716021668166,,10728.0,
1.28571e-05,39.390038126415966,,9.372120585156129,,457.56149992489367,,1.1679567640004633,,197.11251865513623,,10728.0,
1.34694e-05,39.4815469813302,,9.334810356507392,,457.3847176275683,,1.167034930949966,,197.22859333828092,,10728.0,
1.40816e-05,39.572611214169285,,9.297861184303471,,457.2088382294591,,1.1661295972561496,,204.64928754605353,,10728.0,
1.46939e-05,39.66323255950002,,9.26126859524069,,457.0338561857258,,1.165237087233774,,194.83592762611806,,10728.0,
1.53061e-05,39.753412772403685,,9.225028177288069,,456.859765972161,,1.1643501052956655,,195.844023572281,,10728.0,
1.59184e-05,39.84315362771811,,9.18913557880256,,456.6865620852333,,1.1634686343893461,,195.4104239102453,,10728.0,
1.65306e-05,39.93245691929942,,9.153586507656057,,456.5142390421556,,1.1625926571081722,,195.6927620600909,,10728.0,
1.71429e-05,40.0213244591937,,9.118376730409665,,456.3427913811255,,1.161722155703089,,195.887572767213,,10728.0,
1.77551e-05,40.10975807727468,,9.083502071347404,,456.1722136607345,,1.1608571120880409,,195.21614678762853,,10728.0,
1.83673e-05,40.19775961997348,,9.048958411831835,,456.0025004610687,,1.1599975078586144,,191.42059201560915,,10728.0,
1.89796e-05,40.28533095008515,,9.014741689318258,,455.8336463828817,,1.1591433242946425,,192.26246900856495,,10728.0,
1.95918e-05,40.37247394577138,,8.980847896646264,,455.6656460482226,,1.1582945423750264,,191.7583772353828,,10728.0,
2.02041e-05,40.45919049995943,,8.947273081222809,,455.498494100385,,1.1574511427864935,,192.1200248040259,,10728.0,
2.08163e-05,40.54548251989291,,8.914013344167584,,455.3321852036343,,1.1566131059300522,,191.64619281888008,,10728.0,
2.14286e-05,40.6313519263154,,8.881064839596661,,455.166714043567,,1.1557804119330886,,192.3344219084829,,10728.0,
2.20408e-05,40.71680065260087,,8.848423773936483,,455.00207532762727,,1.154953040662557,,191.1290317233652,,10728.0,
2.26531e-05,40.80183064469241,,8.816086404990598,,454.8382637841735,,1.1541309717253383,,190.81179047003388,,10728.0,
2.32653e-05,40.88644385984692,,8.78404904140942,,454.675274163722,,1.153314184487384,,191.91343563050032,,10728.0,
2.38776e-05,40.970642266599256,,8.752308041779443,,454.5131012380082,,1.1525026580738609,,176.0932430755347,,10728.0,
2.44898e-05,41.05442784389185,,8.720859813996295,,454.3517398005921,,1.1516963713823238,,190.04881903156638,,10728.0,
2.5102e-05,41.13780258049216,,8.689700814562125,,454.1911846669448,,1.1508953030914197,,191.67428543046117,,10728.0,
2.57143e-05,41.22076847436344,,8.658827547905252,,454.0314306746378,,1.1500994316703386,,191.94343734532595,,10728.0,
2.63265e-05,41.3033275324162,,8.628236565599043,,453.8724726828901,,1.1493222444169486,,190.24345020763576,,10728.0,
2.69388e-05,41.38548176968555,,8.597924465774653,,453.7143055731426,,1.1485520556514477,,191.1326895840466,,10728.0,
2.7551e-05,41.46723320888511,,8.567887892427555,,453.5569242489983,,1.1477869006806027,,172.3208475355059,,10728.0,
2.81633e-05,41.54858387988386,,8.538123534761784,,453.40032363629314,,1.1470267575862694,,172.25399759039283,,10728.0,
2.87755e-05,41.62953581919255,,8.508628126544476,,453.2444986831948,,1.1462716042832273,,172.6195723488927,,10728.0,
2.93878e-05,41.71009106946753,,8.479398445468332,,453.0894443602688,,1.1455214185266116,,171.7337247300893,,10728.0,
3e-05,41.79025167909262,,8.450431312501102,,452.9351556604319,,1.144776177918121,,191.57208152487874,,10728.0,
