Time_hours,I2_nM,S2_free_nM,S2_total_nM
0.0,99.99999999999999,1.6367095567691248e-10,1.6367095567691248e-10
0.016666666666666666,99.99999999937704,1.1755714722435485e-08,3.2105962933047204e-07
0.03333333333333333,99.9999999807415,1.706180039013757e-07,9.73303374606025e-06
0.05,99.99999978543761,1.1929016219840182e-06,0.00010772979702241413
0.06666666666666667,99.9999986423971,5.34380231903626e-06,0.0006794359450452954
0.08333333333333333,99.99999406721264,1.7688204560618333e-05,0.0029635018159202774
0.1,99.99998005285315,4.706489354715484e-05,0.009951440224464715
0.11666666666666667,99.99994481095008,0.00010631590187343517,0.0275093545934139
0.13333333333333333,99.99986854633012,0.0002116735051692755,0.06548223892161945
0.15,99.9997217413234,0.00038153841221333406,0.13854432000143038
0.16666666666666666,99.99946425106054,0.0006350121626705078,0.26664594344623654
0.18333333333333332,99.99904529063325,0.0009905031938365692,0.47501669242506933
0.2,99.99840421959175,0.0014646063334096786,0.7937712585810418
0.21666666666666667,99.99738024584848,0.002071436434944378,1.3049602147251456
0.23333333333333334,99.9958700414096,0.002821947713243039,2.0610657697106323
0.25,99.99387486323097,0.003724088014906369,3.0598406572368853
0.26666666666666666,99.99131133728503,0.004782756724227213,4.34287709273746
0.2833333333333333,99.988095957621,0.006000075456763972,5.951749830841654
0.3,99.98414659359618,0.007375722312789302,7.927237171155867
0.31666666666666665,99.97938375325549,0.008907305937836273,10.30866241279522
0.3333333333333333,99.97373159914288,0.010590745045272073,13.13335847732514
0.35,99.96711872827612,0.012420630161841606,16.436250694673568
0.36666666666666664,99.95947873741248,0.014390553536239945,20.24954799187047
0.38333333333333336,99.95075059958475,0.016493399996962137,24.60253020492104
0.4,99.94087887951567,0.018721596360267385,29.521418299227676
0.4166666666666667,99.92981381501217,0.0210673201720772,35.0293144068142
0.43333333333333335,99.91751128961702,0.02352267051423998,41.14619936747155
0.45,99.9039327192573,0.02607980465969706,47.88897660434846
0.4666666666666667,99.88904487278917,0.02873104480002747,55.27155247042692
0.48333333333333334,99.87281964347186,0.03146895910469545,63.30494453740356
0.5,99.85523378567596,0.034286421159441915,71.99741057986597
0.5166666666666667,99.83626862864041,0.03717665148121817,81.35459218812261
0.5333333333333333,99.81590977687918,0.04013324439323716,91.37966799974542
0.55,99.79414680491683,0.04315018311448951,102.0735124658431
0.5666666666666667,99.7709729523897,0.046221845503238865,113.434856866197
0.5833333333333334,99.74638482416833,0.049343002510484735,125.46044996625442
0.6,99.72038209900813,0.052508811055441744,138.14521628007157
0.6166666666666667,99.69296724929093,0.0557148027334223,151.48241037917919
0.6333333333333333,99.66414527365257,0.058956869506384305,165.46376608050426
0.65,99.63392344367495,0.06223124730508584,180.0796396687009
0.6666666666666666,99.60231106532824,0.06553449828554503,195.31914657024507
0.6833333333333333,99.56931925546473,0.06886349232724039,211.17029110796375
0.7,99.53496073336505,0.07221538823208676,227.62008913361774
0.7166666666666667,99.4992496271098,0.075587614977836,244.65468346990704
0.7333333333333333,99.46220129438076,0.07897785329364623,262.25945219793414
0.75,99.42383215717062,0.0823840177560187,280.4191099069178
0.7666666666666667,99.38415954979622,0.08580423954739444,299.11780208414524
0.7833333333333333,99.34320157955277,0.08923684997508792,318.3391928684208
0.8,99.30097699931555,0.09268036481292655,338.0665464226505
0.8166666666666667,99.25750509137998,0.09613346950026744,358.2828022031891
0.8333333333333334,99.21280556183224,0.09959500521159696,378.9706444172677
0.85,99.16689844475218,0.10306395579346946,400.11256596690595
0.8666666666666667,99.11980401556924,0.1065394355531872,421.69092717960325
0.8833333333333333,99.07154271291644,0.11002067787452015,443.68800962396836
0.9,99.02213506835547,0.11350702462927625,466.0860653031827
0.9166666666666666,98.97160164337673,0.11699791634912014,488.867361511614
0.9333333333333333,98.91996297311009,0.12049288311924057,512.0142216305818
0.95,98.86723951621606,0.12399153615396465,535.5090621287453
0.9666666666666667,98.81345161045786,0.1274935600138729,559.3344260212317
0.9833333333333333,98.75861943348994,0.13099870542419764,583.4730130297762
1.0,98.7025629845397,0.13451030384850915,607.9987044170654
1.0166666666666666,98.64549517307753,0.13802389798933357,632.8054656160914
1.0333333333333334,98.58743542985164,0.14154042614079998,657.876573258348
1.05,98.5284029140903,0.1450598504019096,683.1955500193535
1.0666666666666667,98.46841649797534,0.1485821704759886,708.7461810668309
1.0833333333333333,98.40749475034936,0.15210741963468166,734.5125290950107
1.1,98.34565592318151,0.15563566071578808,760.4789474222465
1.1166666666666667,98.28291794056206,0.15916698243981173,786.6300912928704
1.1333333333333333,98.21929838999175,0.1627014960342148,812.9509275244941
1.15,98.15481451575056,0.16623933214077338,839.4267426330129
1.1666666666666667,98.08948321414827,0.16978063798243956,866.0431495584999
1.1833333333333333,98.02332103047559,0.17332557476816013,892.7860931066996
1.2,97.95634415749011,0.17687431531595613,919.641854212886
1.2166666666666666,97.88856843528487,0.1804270418762275,946.597053127444
1.2333333333333334,97.8200093524007,0.18398394413872637,973.6386516155745
1.25,97.75068204805375,0.18754521740799354,1000.75395425702
1.2666666666666666,97.68060131536255,0.19111106093328314,1027.9306089256131
1.2833333333333334,97.60978160546675,0.19468167638014555,1055.1566065227255
1.3,97.53823703244043,0.19825726643188613,1082.4202800333805
1.3166666666666667,97.46598137890985,0.20183803351009622,1109.7103029687657
1.3333333333333333,97.39302810229441,0.20542417860434029,1137.0156872542432
1.35,97.31939034159572,0.2090159002019233,1164.3257806175802
1.3666666666666667,97.24508092466647,0.21261339330942086,1191.6302635280629
1.3833333333333333,97.17011237589689,0.21621684855835682,1218.9191457333573
1.4,97.09449692426148,0.2198264513880757,1246.1827624374491
1.4166666666666667,97.01824651167442,0.2234423812994396,1273.4117701596977
1.4333333333333333,96.94137280160564,0.22706481117354232,1300.5971423119645
1.45,96.8638871879146,0.23069390665013273,1327.730164527929
1.4666666666666666,96.78580080386189,0.23432982556090984,1354.8024297760285
1.4833333333333334,96.70712453126288,0.23797271741327283,1381.8058332850046
1.5,96.62786900975007,0.24162272292051026,1408.732567308718
1.5166666666666666,96.54804464611463,0.2452799735747639,1435.5751157547681
1.5333333333333334,96.46766162369912,0.2489445912594457,1462.3262486994497
1.55,96.3867299118167,0.2526166878980719,1488.9790168097597
1.5666666666666667,96.30525927517431,0.25629636513677073,1515.5267456914082
1.5833333333333333,96.22325928327808,0.2599837140579748,1541.9630301802335
1.6,96.14073931980346,0.26367881492302536,1568.2817285929273
1.6166666666666667,96.05770859191085,0.26738173694165507,1594.4769569515897
1.6333333333333333,95.97417613949295,0.271092538066488,1620.5430831953854
1.65,95.89015084433771,0.2748112648108841,1646.474721391371
1.6666666666666667,95.80564143919466,0.27853795208862436,1672.2667259554783
1.6833333333333333,95.72065651673242,0.2822726230740691,1697.9141858936214
1.7,95.63520453837599,0.2860152890815687,1723.41241907195
1.7166666666666666,95.54929384301433,0.28976594946302425,1748.7569665244132
1.7333333333333334,95.46293265556864,0.2935245915226098,1773.943586804973
1.75,95.37612909541305,0.29729119044777447,1798.9682503910785
1.7666666666666666,95.28889118464004,0.3010657092557287,1823.8271341443133
1.7833333333333334,95.20122685616361,0.30484809875471325,1848.516615833487
1.8,95.11314396165352,0.30863829751941646,1873.0332687248554
1.8166666666666667,95.02465027929485,0.3124362318799813,1897.3738562436145
1.8333333333333333,94.93575352136742,0.31624181592410644,1921.5353267103003
1.85,94.84646134164005,0.32005495151179914,1945.514808155275
