Time_hours,I2_diff_nM,I2_percent_diff,S2_free_diff_nM,S2_free_percent_diff,S2_total_diff_nM,S2_total_percent_diff,COMSOL_I2_nM,FiPy_I2_nM
0.0,0.0,0.0,2.4456782168077653e-13,0.2445678216807765,2.4456782168077653e-13,0.2445678216807765,100.0,100.0
0.016666666666666666,-9.947598300641403e-13,-9.947598300631455e-13,1.859877529224933e-11,18.598775292182363,4.94063997472978e-10,494.0639973803858,100.0,99.999999999999
0.03333333333333333,-3.1036506698001176e-11,-3.103650669797014e-11,2.815421313754783e-10,281.46635762831124,1.5668743766548218e-08,15471.446584240126,100.0,99.99999999996896
0.05,-3.5716141155717196e-10,-3.571614115568155e-10,2.0281011273812164e-09,1976.7628133167877,1.7936099862933445e-07,88617.9372687396,99.9999999999998,99.99999999964264
0.06666666666666667,-2.318145675417327e-09,-2.3181456754150517e-09,9.26260135579106e-09,6423.883216418254,1.1602703217682743e-06,108109.91848329207,99.99999999999815,99.99999999768
0.08333333333333333,-1.0396760785624792e-08,-1.0396760785608144e-08,3.078900546408809e-08,4815.837914646207,5.1931237923986605e-06,-17738.626643188465,100.00000000006013,99.99999998966337
0.1,-3.57930787231453e-08,-3.5793078722921054e-08,8.191976936007388e-08,3168.158642706152,1.7925318683237624e-05,-5433.474714402735,100.0000000005265,99.99999996473342
0.11666666666666667,-1.010039909488114e-07,-1.0100399094635546e-07,1.8491655605734174e-07,2419.7488768256862,5.069641513144228e-05,-3357.464697048013,100.00000000233153,99.99999990132754
0.13333333333333333,-2.464738599883276e-07,-2.4647385996489555e-07,3.667458372661462e-07,1902.5760419860562,0.00012365908961124513,-2223.2915353015874,100.0000000094069,99.99999976293304
0.15,-5.401711007380072e-07,-5.401711005487209e-07,6.548110977859106e-07,1462.8804147630344,0.00027007498441161465,-1458.8070484380132,100.00000003494192,99.99999949477082
0.16666666666666666,-1.1909117461073038e-06,-1.1909117451922047e-06,1.0866320206742882e-06,1311.716940087697,0.0005958351733452357,-1514.0616591171063,100.0000000767402,99.99999888582846
0.18333333333333332,-2.2428863530876697e-06,-2.242886349315816e-06,1.6871759478175573e-06,1174.9422557648568,0.0011089621876239147,-1552.6867880688035,100.00000016806963,99.99999792518328
0.2,-3.8089268912244734e-06,-3.8089268797822814e-06,2.4910130075437657e-06,1110.0011033757805,0.0018694295542075327,-1641.9598754490248,100.0000003003046,99.99999649137771
0.21666666666666667,-6.067420201816276e-06,-6.067420170522226e-06,3.519147909085299e-06,1061.09043569114,0.00294779841834666,-1744.2424782876315,100.00000051567193,99.99999444825173
0.23333333333333334,-9.197277151429262e-06,-9.197277073651283e-06,4.788655190602968e-06,1018.2608771386457,0.004419789174303951,-1851.7120801408462,100.0000008455631,99.99999164828594
0.25,-1.3392133894285507e-05,-1.339213371639676e-05,6.317762771259404e-06,989.3324497588853,0.006363524652147029,-1969.0481546167996,100.00000132820773,99.99998793607384
0.26666666666666666,-1.9087030324271836e-05,-1.9087029896954448e-05,8.109493736171839e-06,959.9223379034985,0.008866219726200084,-2064.062539525136,100.00000223868409,99.99998315165377
0.2833333333333333,-2.6316689272221083e-05,-2.6316688364214845e-05,1.0174102105604405e-05,937.5800293459713,0.01200552734775386,-2164.9238698991253,100.00000345020585,99.99997713351658
0.3,-3.491127088750545e-05,-3.491126927022158e-05,1.2509106097888611e-05,916.7990691991433,0.015836369035781197,-2354.2002729622627,100.00000463245533,99.99996972118444
0.31666666666666665,-4.509570955235631e-05,-4.509570691284901e-05,1.5114461414309961e-05,898.7705120628985,0.020442789065817032,-2590.381813832983,100.00000585302324,99.99996075731369
0.3333333333333333,-5.6882306168404284e-05,-5.688230220272539e-05,1.7986080437179738e-05,882.8392519179308,0.025849705332019576,-3032.2133478099777,100.00000697162713,99.99995008932096
0.35,-7.027298838124807e-05,-7.027298286928205e-05,2.1117604411975016e-05,868.3195738948396,0.03208493078649642,-3927.1984698006167,100.00000784354886,99.99993757056048
0.36666666666666664,-8.548982481215717e-05,-8.548981750190433e-05,2.4502560100233236e-05,855.14369258306,0.039239183767491054,-5579.6307845349065,100.00000855092169,99.99992306109688
0.38333333333333336,-0.00010259175246574159,-0.00010259174321198668,2.8133285438531104e-05,843.0385361741055,0.04732636498036963,-10318.384765091652,100.00000901988018,99.99990642812772
0.4,-0.00012173766394596441,-0.00012173765264399227,3.200166291154899e-05,831.7538725152591,0.056433140198153764,-52757.17180906406,100.00000928377553,99.99988754611158
0.4166666666666667,-0.00014309089192465763,-0.00014309087849179102,3.609992397390922e-05,821.1711335855566,0.06649614089149412,14013.723148518557,100.00000938754704,99.99986629665511
0.43333333333333335,-0.00016675641457197798,-0.0001667563990224046,4.042037489698308e-05,811.1420686739924,0.0775891945886435,6119.865388677405,100.00000932462365,99.99984256820908
0.45,-0.0001932753446709512,-0.00019327532624976128,4.4956737953056384e-05,801.697167468456,0.08963669344938996,3732.8738829700346,100.00000953096135,99.99981625561668
