S2_s2_t50_max,S2_s2_t90_max,center_distance_um_value,I2_initial_nM,I2_final_nM,Th2_initial_nM,Th2_final_nM,S2_initial_nM,S2_final_nM,S2_max_nM,I2_t50_hours,I2_t90_hours,I2_t99_hours,I2_t50_offrange_hours,Th2_t50_hours,Th2_t90_hours,Th2_t99_hours,Th2_t50_offrange_hours,S2_t50_final_hours
6949.535197788467,12744.210544789317,50.0,77.85898339647885,19.892468817942223,3892.949169823941,129.87312786010392,0.0,9.099530278354871,9.099530278354871,2.121779466337574,,,1.6865706131673364,0.7672725744472009,1.8320798958870932,,0.7404512080259839,1.9304264438301295
7075.483533700171,13573.941192071694,110.41666666666666,77.83858762137409,28.82350831154569,3891.929381068702,218.50900087074908,0.0,5.380587605427041,5.380587605427041,2.9438485749978383,,,1.9323352231340052,0.941290897597324,2.466430712877402,,0.8897206628012583,1.965412092694492
6314.348816969493,13735.522604796855,170.83333333333331,77.7827316690489,37.844243492475684,3889.1365834524445,346.1500152582537,0.0,3.4360707380808813,3.4360707380808813,5.285600543019076,,,2.0140907207536256,1.0972607440010955,3.9538338658827312,,1.001254336881132,1.7539857824915257
5572.922228985065,13037.207046250598,231.25,77.69159736771788,45.86555106831271,3884.5798683858925,519.8684141600095,0.0,2.341855832231514,2.341855832231514,,,,2.0077747699082202,1.2570522327351143,,,1.0956308923807128,1.5480339524958513
5164.34228048666,11912.668139169458,291.66666666666663,77.56549568075495,52.02525411193472,3878.274784037745,724.9016318753431,0.0,1.714663522012773,1.714663522012773,,,,1.9914988307322539,1.4336842037836934,,,1.1717736202029434,1.4345395223574053
4968.177007366132,11115.807526940654,352.0833333333333,77.40486118886247,56.54739188903744,3870.243059443122,942.7851013674929,0.0,1.3228812650681294,1.3228812650681294,,,,1.9922814187742897,1.637905604682733,,,1.2436784530984133,1.3800491687128145
4875.738566728946,10668.56496384976,412.5,77.21024464283752,59.9542110281269,3860.512232141876,1161.0930342114912,0.0,1.054112108931323,1.054112108931323,,,,2.006888781727144,1.888661278396072,,,1.3074331641978971,1.354371824091374
5141.423257918667,10795.68167717384,472.9166666666666,79.82437367985047,65.94551777960363,3991.218683992522,1481.4594570262295,0.0,0.7522919645695353,0.7522919645695353,,,,2.112977189608865,2.3685033235762596,,,1.4444396952166794,1.4281731271996299
5117.2137774150515,10706.025192917201,533.3333333333333,79.73762317780769,68.187987625346,3986.8811588903836,1702.363417296063,0.0,0.6117309295021086,0.6117309295021086,,,,2.131351836759427,2.9199364836289767,,,1.5032698595647553,1.421448271504181
5101.762373811304,10683.295876148853,593.75,79.61576448558806,69.96132435142685,3980.7882242794035,1909.8835816298076,0.0,0.5032845997668294,0.5032845997668294,,,,2.148465919312172,4.163591747742043,,,1.5607875650500096,1.4171562149475845
5087.511559501518,10681.999114570866,654.1666666666666,79.45918831058063,71.35708953102753,3972.95941552903,2103.911446293353,0.0,0.41808704215776304,0.41808704215776304,,,,2.1631099394818802,,,,1.6114534494865211,1.4131976554170882
5076.398021134157,10697.733796482175,714.5833333333333,79.26835768955885,72.43714502557299,3963.4178844779417,2279.393801793287,0.0,0.35085895187999205,0.35085895187999205,,,,2.1763627161312424,,,,1.6583361532896308,1.4101105614261547
5034.113039055376,10658.908615976245,775.0,75.08328290299649,69.19860221013023,3754.164145149824,2241.942171640909,0.0,0.31758657504351084,0.31758657504351084,,,,2.17213941451684,,,,1.6650882992228253,1.398364733070938
5342.28967008383,11261.329253009495,835.4166666666666,79.26835768955875,74.88331015769064,3963.417884477936,2644.1654664989483,0.0,0.20319177241603356,0.20319177241603356,,,,2.2835627286057614,,,,1.8393564208795579,1.483969352801064
5331.641333425441,11312.72487432654,895.8333333333333,79.45918831058059,75.73295701553454,3972.959415529027,2788.2339949361262,0.0,0.17002734579945772,0.17002734579945772,,,,2.28925222115742,,,,1.8854593988086585,1.481011481507067
5313.285574748293,11347.556262317023,956.25,79.61576448558807,76.43722171078772,3980.7882242794035,2918.842657227687,0.0,0.14324388840319557,0.14324388840319557,,,,2.2919917534245453,,,,1.9274193205137047,1.4759126596523036
5295.883005793847,11375.40013595049,1016.6666666666666,79.7376231778076,77.011960362913,3986.8811588903804,3035.124872393548,0.0,0.12164875523301316,0.12164875523301316,,,,2.293448758632235,,,,1.9648731199225216,1.4710786127205129
5279.47887468775,11398.861291410418,1077.0833333333333,79.82437367985045,77.47560502724293,3991.218683992521,3138.1819252111354,0.0,0.10410177485875394,0.10410177485875394,,,,2.2937849772186656,,,,1.9987147203111322,1.4665219096354862
5221.9322306408,11361.184970912223,1137.5,77.21024464283752,75.13391288297288,3860.512232141875,3085.528326414877,0.0,0.09560035691494119,0.09560035691494119,,,,2.283949392828258,,,,2.0143307284692566,1.4505367307335557
5217.946019123298,11384.590372572518,1197.9166666666663,77.40486118886238,75.60074011644936,3870.243059443118,3173.9616044725653,0.0,0.08237562840987919,0.08237562840987919,,,,2.2854147786028687,,,,2.0478857387981932,1.4494294497564717
5216.849340817781,11402.318332388888,1258.3333333333333,77.5654956807549,75.992061941747,3878.274784037743,3252.6098461951938,0.0,0.07144270613269577,0.07144270613269577,,,,2.286975037766805,,,,2.078462015973337,1.449124816893828
5220.002858272499,11420.047744211393,1318.75,77.69159736771786,76.314031631304,3884.5798683858925,3322.206882323824,0.0,0.06235668781674256,0.06235668781674256,,,,2.2883312966061142,,,,2.1064609680125828,1.4500007939645831
5227.524624730659,11431.896809871387,1379.1666666666663,77.78273166904887,76.5726059095917,3889.1365834524418,3383.3122116888953,0.0,0.054759512155572496,0.054759512155572496,,,,2.290419368612184,,,,2.132371490742844,1.452090173536294
5240.93964763681,11445.980793539937,1439.5833333333333,77.83858762137406,76.77162073084516,3891.929381068702,3436.504527908023,0.0,0.048385291968833115,0.048385291968833115,,,,2.2925503612773332,,,,2.156613247562177,1.455816568788003
5260.863296562758,11466.477949440647,1500.0,77.85898339647885,76.9155384715335,3892.949169823941,3482.3392021813524,0.0,0.04300920333910819,0.04300920333910819,,,,2.2957646303467376,,,,2.180551367284026,1.4613509157118771
